,Simplified,Pinyin,Meaning
93,修改,xiūgǎi,"revise, amend, alter"
94,帮忙,bāngmáng,"assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn"
95,类型,lèixíng,"category, species, genre, portrait, nature, stamp, cast, type"
96,波,bō,m.[event]
97,毛,máo,"Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking"
98,饭店,fàndiàn,"restraurant, restaurant, hotel"
99,超越,chāoyuè,"overpass, get_ahead, outdo, overshoot, outstrip, overstep, excel, outgo, outgrow, outmatch, overpeer, surpass, tower, exceed, overrun, outrun, transcend, cut_across, forerun, outclass, soar, transgress, antecede, beggar, break, outdistance, surmount"
100,雨,yǔ,rain
101,必要,bìyào,need
102,旁边,pángbiān,"by the side of, side, adjacency, near by"
103,依然,yīrán,"notwithstanding, natheless, withal, even so, yet, nonetheless, nevertheless, all the same, however, still, as before"
104,看出,kànchū,"perceive, tell, see, espy, discover, discern, make out, descry"
105,旅行,lǔxíng,"travel, journey, tour"
106,熟悉,shóuxī,"know sth. well, know sb. well, get into, ken, have an intimate knowledge of, acquaint, know sth., know ... well, familiar, know sth./sb. well, be familiar with, sb. well"
107,不同,bùtóng,difference
108,抓,zhuā,"clutch, cop, grab, press-gang, scrape, arrest, hent, catch, pay special attention to, be responsible for, scratch up, take charge of, paw, grasp, scratch, claw, nab, clapperclaw, glom, seize, capture, snatch, prehend, stress"
109,餐厅,cāntīng,"dining hall, restaurant, eating place, eating house, hall, dining_room, rathskeller, brasserie, dining room/hall, refectory, dining room, lunchroom, diner, inn"
110,不妨,bùfáng,"there is no harm in, might as well"
111,平等,píngděng,equal
112,困难,kùnnán,"difficulty, straitened circumstances, dire straits"
113,颜色,yánsè,"companion, countenance, pigment, coloring, tincture, dyestuff, colour, facial expression, tinct, grain, colouring, color"
114,谈到,tándào,"cite, speak_to, name, hit, about, speak, refer, speak about, mention, advert, allude, speak_of, speak of, talk about, bring up, touch_on, touch on, touch"
115,弹性,tánxìng,elasticity
116,从此,cóngcǐ,"hereon, hence, henceforth, thereupon, therefrom, from now on, from then on"
117,哈,hā,"sound of laughter, haha"
118,待,dài,till
119,硬体,yìngtǐ,hardware
120,种子,zhǒngzi,"pippin, berry, pip, edible seed, key, spore, seed, canary seed"
121,份子,fènzǐ,"share for a joint undertaking, as in buy, member, gift of money, share for a joint undertaking, as in buying a gift"
122,命运,mìngyùn,"foredoom, lot, appointment, lottery, fortune, chance, dole, circumstances, allotment, predestination, cup, luck, fare, destiny, portion, kismet, fate, doom, line, fatality, weird, hazard, karma"
123,看起来,kànqǐlái,"it looks as if, on the face of it, it appears, it seems, ostensibly, seemingly, apparently, it look as if"
124,规范,guīfàn,"constraint, norm"
125,演奏,yǎnzòu,give instrumental performance
126,癌症,yánzhèng,"carcinomatosis, cancer"
127,艺术家,yìshùjiā,"poet, creative person, longhair, artist, painter"
128,过,guò,"too, excessively"
129,得以,déyǐ,"can, so that...can(may)..."
130,日本人,rìběnrén,"Jap, Nipponese, Japanner, skibby, Nip, Japanese"
131,街,jiē,"county fair, fair, place, market, toby, street"
132,极为,jíwéi,"all, absolutely, extremely, dead, utterly, entirely, eminently, exceedingly, vitally, helluva, definitely, superlatively, totally, completely"
133,先进,xiānjìn,advance
134,难道,nándào,Do you really mean to say that...
135,出发,chūfā,"depart, get_off, proceed, take_the_road, part, set out, start from, start out, sidetrack, start/proceed from, stray, take the road, sally out, sally_forth, proceed from, set_off, sally forth, take off, start, set forth, set off, digress, straggle, start off, move"
136,市府,shìfǔ,city government
137,谘询,zīxún,seek counsel of
138,嘴,zuǐ,"spigot, mug, rattletrap, kisser, trap, puss, visage, spile, nib, smiler, beak, countenance, snout, physiognomy, bill, cake-hole, bazoo, spout, anything shaped or functioning like a mouth, mouth, gob, neb"
139,谘询,zīxún,seek counsel of
140,陪,péi,"companion, see, escort, accompany, keep ... company, keep sb. company, assist, keep company, compensate, company"
141,停,tíng,"stay, cease, put_off, cessation, stop, switch off, cheese, stop over, cut off, halt, turn off, lie at anchor, pause, park"
142,连接,liánjiē,"associate, coupled, conjoin, join, cable, interface, tie_in, joint, tie in, couple up, connect, bring together, couple, relate, conjunct, unite, couple_on, tie, couple on, attach, link"
143,外交,wàijiāo,"diplomatics, diplomatic negotiations, diplomacy, nonintervention, diplomatism, diplomatic, foreign affairs"
144,营业,yíngyè,do business
145,期待,qídài,look forward to
146,骂,mà,"chew_out, vituperate, dispraise, condemnation, condemn, baste, scold, rate, curse, tear_apart, chide, call names, abuse, reprove, rebuke, fling, thunder, reproof, swear"
147,期待,qídài,look forward to
148,授权,shòuquán,"empower, authorize"
149,面前,miànqián,"in_front, in front of, in the front of, in the face of, front, presence, before"
150,始终,shǐzhōng,"all_the_time, from beginning to end, from start to finish, always, all along, evermore, throughout"
151,理解,lǐjiě,"understand, comprehend"
152,正好,zhènghǎo,"just, exactly"
153,多么,duóme,"to what extent, to what degree, however, what, how"
154,澳洲,àozhōu,Australia
155,理解,lǐjiě,"understand, comprehend"
156,特定,tèdìng,"specifically, ad-hoc, given, specially designated, specific, specialized, ad hoc, specified"
157,县长,xiànzhǎng,"praefect, head of a county, county magistrate, county head/magistrate, magistrate, county head"
158,认真,rènzhēn,"serious, earnest, take for real"
159,乐团,yuètuán,"orchestra, philharmonic orchestra, philharmonic society/orchestra, dance orchestra, dance band, band, philharmonic society"
160,认真,rènzhēn,"serious, earnest, take for real"
161,主力,zhǔlì,"brunt, main force, backbone"
162,福利,fúlì,"well-being, fringe_benefit, material benefits, social welfare, weal, welfare"
163,不得不,bùdébù,"cannot but, have to"
164,生意,shēngyì,"business enterprise, vocation, practice, merchant, dealing, patronage, deal, commercial enterprise, trade, biz, business, dealings, racket"
165,情,qíng,"sensibility, soil moisture content, affection, feeling, state of affairs, circumstances, interest, emotion, sentiment, condition, mood, situation, kindness, love, inclination, favour, passion"
166,从小,cóngxiǎo,"from childhood, as a child"
167,展出,zhǎnchū,exhibit
168,看看,kànkàn,"think, consider"
169,取代,qǔdài,"replace, substitute for, replacement, supersede, substitute, supersession, supplant, displace, preempt, outplace, take the place of, displacement"
170,全面,quánmiàn,"overall, comprehensive, all-round, all-out"
171,名称,míngchēng,"title, denotation, compellation, appellative, designation, name, denomination, calling, rubric, appellation"
172,队,duì,m.[general]
173,派,pài,"send, dispatch, assign, appoint"
174,华人,huárén,"Chinese, Ch. people"
175,藉由,jièyóu,depend/rely on
176,生气,shēngqì,"get angry, be angry"
177,县府,xiànfǔ,county government
178,冲击,chōngjí,"lash, pound, charge, assault"
179,资产,zīchǎn,"resource, belongings, holding, material possession, asset, capital fund, competency, substance, property, capital, assets"
180,试,shì,"offer, attempt, essay, flesh, try, seek, assay, test"
181,发出,fāchū,"voice, send_out, give_forth, send out, exhale, sound, fetch, pass off, shoot, effuse, issue, emanate, raise, give, shed, send/give out, utter, go, escape, proceed, send, give forth, give_off, give off, fall, eradiate, emit, flash, scintillate, issue_forth, give_out, give out, clank, reek, place, breathe"
182,毫无,háowú,completely lack
183,停止,tíngzhǐ,"cease, flunk, desist, pass, suspend, stint, pass_off, break_up, stash, cut, stay, cessation, adjourn, rain_out, give, detain, blow_over, seize, give up, balk, cheese, abstain, refrain, knock_off, rest, abandon, break, knock off, drop, go, tie_up, stop, interdict, strike, lay_off, stow, cut off, discontinue, pause, leave_off, leave off, set aside, give_out, cut_out, give_up, delay, quit, cut out"
184,基地,jīdì,base
185,感动,gǎndòng,"be touched, be moved, affect, feel, stir, thrill, melt, magnetize, inspire, touch, reach, move"
186,矛盾,máodùn,contradictory
187,药物,yàowù,"healer, pharmic, medicine, druggery, curative, drug, pharmaceuticals, medicines, medicaments, medicinal, medicament, pharmaceutical, medication, remedy, drugs"
188,不幸,búxìng,unfortunate
189,矛盾,máodùn,contradictory
190,改造,gǎizào,"recast, rebuild, re-form, reconstruct, remake, transformation, remould, transmake, reform, transform, remodel, reorganize, retread, remold, remodify, reshape, remoulding, redo, alter, recreate, transmute, make over, refashion, revamp"
191,感觉,gǎnjué,"feel, perceive, become aware of"
192,董事长,dǒngshìzhǎng,board chair
193,竞争力,jìngzhēnglì,competitive ability
194,中间,zhōngjiān,"center, middle"
195,毛泽东,máozédōng,"CCP leader, founder of PRC"
196,痛,tòng,"ache, pain"
197,采购,cǎigòu,choose and purchase
198,堆,duī,m.[proximation]
199,蛇,shé,"ophidian, serpent, Indian python, snake, Python molurus, viper"
200,有意,yǒuyì,"have a mind to, be interested in"
201,估计,gūjì,"forecast, set, evaluate, rate, gauge, measure, count, assess, calculate, estimate, reckon, appraisal, compute, estimated, value, appraise, put, overrate, make, place, size_up"
202,层次,céngcì,"administrative levels, rank order, arrangement, arrangement of ideas, stratification, levels, gradation, level, grade, hierarchy, coat, place"
203,主导,zhǔdǎo,"leading, dominant, guiding"
204,足够,zúgòu,"fully, enough, last, amply, suffice, sufficiently"
205,林,lín,"circle, group, forest, wood, woods, line, circles, grove, collection of literary works, Lin, Surname, forestry"
206,饭,fàn,"food, meal, repast, cooked rice or other cereals, dinner"
207,号,hào,m.[general]
208,亲自,qīnzì,"personally, in person, firsthand"
209,主导,zhǔdǎo,"leading, dominant, guiding"
210,等到,děngdào,until
211,便宜,piányí,cheap
212,更为,gèngwéi,(even) more
213,天空,tiānkōng,"firmament, heavenly, empyrean, heavens, welkin, blue, canopy, cloud, the heavens, vault, air, sky, the sky, Aether, wild blue yonder, blue air, heaven, blue sky, space"
214,反弹,fǎntán,rebound
215,似,sì,"be similar/like, seem, appear"
216,些,xiē,a little bit
217,爸,bà,"papa, dad, father"
218,训练,xùnliàn,"train, drill"
219,寻求,xúnqiú,"seek, explore"
220,反弹,fǎntán,rebound
221,手法,shǒufǎ,"manoeuvering, artifice, manner, hanky-panky, legerdemain, tactical manoeuver, trick, tactical maneuver, maneuver, technique, play, tactic, manoeuvre, modus_operandi, prestidigitation, stroke, tact, skill, maneuvering, sleight, implement, touch, gimmick"
222,私人,sīrén,"one's own man, private, personal relative, personal friend/relative, personal friend, confidant"
223,光碟,guāngdié,"compact disk, compact disc, CD ROM, compact_disk, CD"
224,立法院,lìfǎyuàn,"general assembly, Legislative House, law-makers, Legislative Yuan/House, Legislative Yuan, legislature, House, legislative assembly"
225,组合,zǔhé,"make up, compose, unite"
226,稍,shāo,"a little bit, any, slightly, a little, mezzo, poco, a bit"
227,层面,céngmiàn,"storey, level, side, story, range, floor, coverage"
228,中研院,zhōngyányuàn,Academia Sinica
229,困扰,kùnrǎo,"perplexity, puzzle"
230,热闹,rènào,"lively, buzzing with excitement"
231,日后,rìhòu,in the future
232,实,shí,"truely, really, actually"
233,热闹,rènào,"lively, buzzing with excitement"
234,喜爱,xǐài,"like, love, be fond of"
235,时,shí,"time (when), period, hour"
236,美好,měihǎo,"fine, happy, glorious"
237,机车,jīchē,"motorbike, motorcycle, put-put, pig, loco, engine, locomotive"
238,韩国,hánguó,"South Korea, Corea, Korea, ROK, Korean"
239,收入,shōurù,"earning, incoming, gainings, finance, ingathering, proceed, receipts, income, coming-in, taking, pocket, earnings, fruit, revenue, proceeds, living"
240,议员,yìyuán,"councillor, member of legislative body, deputy, councilman, council member, legislator, solon, Congresswoman, Member of Parliament, assemblyman, Congressman"
241,卫星,wèixīng,"man-made satellite, artificial satellite, moon, acolyte, satellite"
242,胜,shèng,"be superior to, surpass, succeed, win victory, be victorious, get the better of, can bear, carry, excel, be successful, win"
243,注,zhù,"explanatory note, annotation"
244,彻底,chèdǐ,"thorough, drastic, exhaustive, outright, complete"
245,预定,yūdìng,"predetermination, predetermine, forespeak, preordain, engage, budget, reserve, phase, slate, fix in advance, predestine, state, preconcert, prearrange, take, schedule, destine, bespeak, foreordain, predestinate"
246,房屋,fángwū,"casa, premises, buildings, digging, houses, housing, tenement, house"
247,提醒,tíxǐng,"remind, warn, alert to"
248,盖,gài,"cover, seal, affix seal, surpass, top, prevail over"
249,营运,yíngyùn,"operation, orbit, be in motion, gravitate, run (a program), do business, move"
250,提醒,tíxǐng,"remind, warn, alert to"
251,所在,suǒzài,"ubiety, location, place, locality"
252,详细,xiángxì,"detailed, minute"
253,盖,gài,"cover, seal, affix seal, surpass, top, prevail over"
254,结论,jiélùn,"ultimate, sequitur, consequent, ending, close, inference, closing, end matter, afterword, consequence, verdict, finality, back matter, conclusion, peroration, summation, summing-up, end, upshot, illation, outcome, conclusion (of a syllogism)"
255,反正,fǎnzhèng,"anyway, anyhow, in any case"
256,牛,niú,"ox, cattle, cow"
257,右,yòu,"right side as side of precedence, right side, west, winger, right, the right side, the Right, the right"
258,广泛,guǎngfàn,"extensive, wide-ranging"
259,愉快,yūkuài,"be happy, be cheerful"
260,阵,zhèn,m.[event]
261,愉快,yūkuài,"be happy, be cheerful"
262,优势,yōushì,"ascendence, laterality, preponderancy, vantage, ascendancy, ascendent, transcendency, dominance, predominance, draw, gree, upper_hand, prevalence, advantage, mastery, ascendency, supremacy, advantageousness, control, preeminence, dominion, jump, edge, better, deadwood, overweight, superiority, domination, sovereignty, preponderance, ascendance, transcendence, prepotency, hank, asce"
263,流程,liúchéng,"workflow, course (of river, technological process, process, driftage, manufacturing/technological process/workflow, etc.), course (of river/etc.), course, manufacturing, manufacturing process, technological workflow, circuit, flow"
264,搭,dā,"put up, construct, join together, add (money/etc.)"
265,阶级,jiējí,"state, social class, degree, people, gradation, echelon, persuasion, position, order, class, remove, social status, notch, parity, social rank, sort, step, condition, rank, social station"
266,境界,jìngjiè,"confine, state, delimitation, extent reached, ambit, bourne, realm, hem, boundary, bourn, plane attained, region, precinct, mete, division"
267,大部份,dàbùfèn,"most, gross, heft, generality, mass, majority, det.: most of, the majority of, bulk"
268,限制,xiànzhì,"restrict, confine"
269,连续,liánxù,"continuously, successively"
270,客人,kèrén,"stranger, guest, caller, client, visitant, invitee, company, visitor"
271,秩序,zhìxù,"order, sequence"
272,力,lì,"power, strength, ability, force, physical strength"
273,这儿,zhèēr,"now, here"
274,养,yǎng,"keep in good repair, keep, cultivate, cultivation, form, maintenance, foster, give birth to, convalesce, sustain, nourish, support, provide for, convalescence, grow, raise, maintain, acquire, rest, recuperate"
275,保守,bǎoshǒu,conservative
276,过去,guòqù,"go over, pass by"
277,市立,shìlì,"city-established, municipal"
278,引发,yǐnfā,"trigger, motivate, set, evoke, initiate, evoke emotion, initiation"
279,东方,dōngfāng,"oriental, dawning, northeast, eastward, E, Orient, orient, orientation, the Orient, Surname, sunrise, eastern, eastern hemisphere, Dongfang, due east, East, the East, east, the east"
280,大盘,dàpán,"grail, market quotation, current price"
281,奥会,àohuì,International Olympic Committee
282,财务,cáiwù,"finance, financial affairs, financial"
283,经历,jīnglì,"go through, undergo, experience"
284,面,miàn,m.[general]
285,错误,cuòwù,"error, blunder"
286,爷爷,yéyé,"grandad, Grandpa, granddad, grandpa, (paternal) grandfather, gramps, granddaddy, grandfather"
287,国会,guóhuì,"Storthing, Oireachtas, Cortes, Congress, congress, diet, the Diet, duma, congressional, Capitol, parliament, house"
288,差距,chājù,spatial difference
289,伤害,shānghài,harm
290,委讬,wěituō,"authorize, commend, consign"
291,之所以,zhīsuǒyǐ,conj.: why
292,台,tái,m.[event]
293,赶快,gǎnkuài,"quickly, hastily"
294,移民,yímín,emigrant/immigrant
295,商店,shāngdiàn,"concern, hospital, business, store, shoppe, shop"
296,委讬,wěituō,"authorize, commend, consign"
297,投票,tóupiào,"ballot, tender, bid, poll, cast, cast a vote, vote"
298,同事,tóngshì,"brother, coadjutor, workmate, friend, yokefellow, co-worker, fellow worker, confrere, colleague, stablemate, companion, crew, workfellow, staff, socius, coworker, bedfellow, fellow, haver, rival, comrade"
299,进而,jìnér,conj.: proceeding to the next step
300,将军,jiāngjūn,"problem, mate, general, high-rank officer, marshal, full general, shogun, aga, warlord, tycoon, check"
301,球员,qiúyuán,"ballplayer, player, ball team member"
302,原来,yuánlái,original
303,冷,lěng,"cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange"
304,感染,gǎnrǎn,"infect, influence, affect"
305,导演,dǎoyǎn,director
306,人间,rénjiān,the human world
307,古,gǔ,"ancient, age-old;not following current customs/practice"
308,感染,gǎnrǎn,"infect, influence, affect"
309,财产,cáichǎn,"aught, belonging, fortune, material possession, cash, riches, substance, assets, property, wealth, belongings, estate, seizin, thing, holding, possession, means, goods, asset, pelf, money, propertied, seisin, res, having"
310,分享,fēnxiǎng,"share (joy/rights/etc.), partake of"
311,遗址,yízhǐ,"ruins, remains, monument, relics"
312,发觉,fājué,"light upon, discovery, find, see, espy, discover, perceive, strike, come upon, detection, come across, happen upon, detect, chance upon, chance on"
313,造型,zàoxíng,"moulding, molding, style, mold, mold-making, fashioning, mould-making, modelling, model"
314,一面,yīmiàn,"at the same time, simultaneously"
315,分享,fēnxiǎng,"share (joy/rights/etc.), partake of"
316,不只,bùzhǐ,"not only, not merely, not_only"
317,不禁,bùjīn,can't help (doing sth.)
318,打破,dǎpò,"shiver, better, explode, smash, crush, fall apart, discomfit, part, shatter, force, murder, wear, break, bust, drub, wear out"
319,忽略,hūluè,"overpass, fail, pretermit, outlook, pass, overlook, neglectful, snub, cut, neglect, marginalize, miss, lose sight of, disregard, slur, ignore, forget"
320,原有,yuányǒu,"originally possess, previously exist"
321,草案,cǎoàn,"ground plan, plan, blueprint, a protocol, skeleton, a draft plan, a draft, sketch, rough, an outline, draft"
322,害怕,hàipà,"dread, be afraid/scared, fearful, frighten, fear, frightened, shrink_from, be afraid, funk, scared, be scared, tremble"
323,身为,shēnwéi,"as, in the capacity of"
324,性能,xìngnéng,"operation, function (of machine, functioning, natural capacity, etc.), capability, behavior, capacity, performance, function, funtion, property, function (of machine/etc.)"
325,活泼,huópō,"lively, vivacious, vivid"
326,记录,jìlù,"record, note"
327,清华,qīnghuá,"Qinghua, National Tsing Hua University"
328,综合,zònghé,"synthetical, comprehensive, multiple, composite"
329,讲话,jiǎnghuà,"parley, jaw, turn to, address, talk, speak, say, speak to"
330,尽量,jǐnliàng,to the best of one's ability
331,违反,wéifǎn,"outrage, depart, offend, violate, go_against, deviate, infringe, diverge, vary, go against, violation, contravene, transgress, infringement, infract, breach, break, run counter to"
332,伟大,wěidà,"great, mighty"
333,金额,jīné,"amount of money, sum_of_money, sum, money, penny, amount/sum of money, sum of money, amount"
334,功课,gōngkè,"task, schoolwork, homework, preparation, prep, subject, lesson"
335,伟大,wěidà,"great, mighty"
336,场地,chǎngdì,"grounds, site, ground, yard, precinct, space, course, place, park, property"
337,庞大,pángdà,"huge, immense"
338,市区,shìqū,"urban area, city proper, row, urban district, downtown, urban_area"
339,巴黎,bālí,"City of Light, French capital, capital of France, Paris"
340,反省,fǎnxǐng,"introspect, self-questioning"
341,主角,zhǔjiǎo,"leading role, title_role, star, protagonist, lead, principal, title role, name part"
342,理事长,lǐshìzhǎng,"presiding officer, chairman_of_the_board, chairman of the board, council chairperson"
343,背后,bèihòu,"rear, in the rear, behind, rearward, at the back, backside, back end"
344,庞大,pángdà,"huge, immense"
345,反省,fǎnxǐng,"introspect, self-questioning"
346,牺牲,xīshēng,"sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else"
347,天,tiān,"God, Heaven, nature, weather, season"
348,蛮,mán,"pretty, very, quite, more or less, pretty much, fairly, rather, somewhat, to some extent"
349,以便,yǐbiàn,"conj.: so that, in order to, with the aim of"
350,牺牲,xīshēng,"sacrifice oneself, die martyr's death, do sth. at the expense of self or sb. else"
351,预防,yūfáng,"prevent, guard against"
352,争,zhēng,"be short of, disagree, argue, duel, arguement, compete, vie, dispute, contest, fence, be wanting, contend, debate, disputation, strive"
353,种类,zhǒnglèi,"kidney, description, race, form, nature, manner, variety, feather, ordering, ilk, style, class, order, stamp, type, genus, category, stripe, kind, strain, cast, shape, denomination, species, persuasion, league, classification, breed, sort"
354,预防,yūfáng,"prevent, guard against"
355,就业,jiùyè,get or take up a job
356,本土,běntǔ,"mainland, native, one's native country, metropolitan territory, continent"
357,天气,tiānqì,"sky, elements, weather condition, atmospheric condition, weather"
358,夫妻,fūqī,"couple, spouse, pair, man and wife, husband and wife"
359,左,zuǒ,"left side, east, the Left"
360,优点,yōudiǎn,"strong, merit, vantage, excellency, perfection, assets, beaut, advantage, excellence, upside, strong_point, good point, virtue, desert, desirability, strong point, long_suit, beauty, strong/good point, desirableness"
361,嗯哼,ēnhēng,well
362,就业,jiùyè,get or take up a job
363,事物,shìwù,"proposition, pigeon, object, thing, affair, un"
364,困境,kùnjìng,"hell, soup, muddle, hell on earth, kettle of fish, embarrassment, mess, straits, stymie, hot potato, jam, hole, swamp, howdo-you-do, dilemma, spot, inferno, corner, difficult position, adversity, scrape, lurch, the pits, mire, box, fix, hot_potato, hardship, squeeze, pickle, dire straits, extremity, bind, puzzledom, morass, difficulty, quagmire, predicament"
365,呼籲,hūyū,appeal to
366,据说,jùshuō,"they say, it is said, it is said that..., reputedly, allegedly"
367,人事,rénshì,"personnel, ways of the world, what is humanly possible, human affairs, occurrences in human life, consciousness of the outside world, personnel matters"
