,Simplified,Pinyin,Meaning
65,宣佈,xuānbù,"expose, disclose, herald, outlaw, bid, preconize, announce, hail, acclaim, condemn, certify, give, decree, blazon, kithe, break, say, hammer, bring out, divulge, delate, enunciate, impart, publish, reveal, intimate, let on, pronounce, proclaim, discover, let out, hand_down, declare, black, promulgate, give away"
66,变动,biàndòng,"change, fluctuate"
67,点,diǎn,"dot, decimal point, point, spot, drop (of liquid), dot stroke (in Ch. characters), place, aspect, feature, appointed time"
68,市政府,shìzhèngfǔ,"municipality, city government, municipal government, city_hall, corporation, city hall"
69,躺,tǎng,"couch, lie, lean back, recline"
70,渐,jiàn,"gradually, by degrees"
71,普通,pǔtōng,"ordinary, common, average"
72,进来,jìnlái,"come in, enter"
73,涉及,shèjí,"come to, pertain, involvement, implicate, entail, relate, cover, deal, concern, bear on, run_on, involve, touch on, refer, touch upon, deal with, touch, come_to, relate to"
74,保护区,bǎohùqū,"reserve, reservation, nature preserve, wilderness area"
75,版本,bǎnběn,"variant, text, variation, version, edition"
76,制定,zhìdìng,"formulate, draft"
77,定义,dìngyì,definition
78,事项,shìxiàng,"issue, item, topic, subject, particular, transaction, matter"
79,法则,fǎzé,"principle, rule, formula, standard method, binding agreement, theorem, statute, law, precept"
80,否认,fǒurèn,"deny, disavow, repudiation, naysay, denial, gainsay, reject, veto, negate, disclaim, disown, challenge, dispute, renounce, disaffirm, negative, contradict, contravene, repudiate"
81,抱怨,bàoyuàn,"croak, kvetch, scold, quarrel, bitch, squeal, complain, bellyache, plain, grumble, whimper, natter, grizzle, repine, nark, complaint, sound off, nag, whine, quetch, grouch, kick, yammer, backbite, squawk, crab, beef, yawp, rail, rabbit, gripe, inveigh, grouse, moan, holler"
82,宜兰,yílán,Yilan (city in Taiwan)
83,人群,rénqún,"multitude, scrooge, herd, ruck, scrouge, meiny, crowd, troop, confluence, drove, throng, flock, gang"
84,广大,guǎngdà,"large, wide, vast, ample, large-scale, numerous, wide-spread"
85,邻居,línjū,neighbor
86,模型,móxíng,"formula, pattern, mould, mold, modeling, construct, die, convention, exponent, plaything, former, modelling, model, simulation, normal, rule, moulding, molding, shape, matrix, clay sculpture, restoration, toy"
87,忍不住,rěnbúzhù,"unable to endure, can't help but do something, can't help but do sth., cannot help, unable to bear, can't bear"
88,现行,xiànxíng,"operation, in force/operation, currently in operation, in effect, force, currently in effect, in effect/force/operation, active, current"
89,瓷器,cíqì,"porcelain, chinaware"
90,荷兰,hélán,"Dutch, Benelux, Netherland, The Netherlands, Netherlands, Holland"
91,家乡,jiāxiāng,"fatherland, country, home, country of origin, native place, mother country, hometown, native land, motherland, homeland"
92,前途,qiántú,"lookout, future, prospects, prospect, futurity, career"
93,花莲,huālián,"city in Taiwan, Hualien(city in Taiwan)"
94,含,hán,"keep in mouth, cherish"
95,合约,héyuē,"contract, booking, obligation, treaty"
96,官方,guānfāng,"authorities, official, authority, regime, authorization, government"
97,成效,chéngxiào,"effect, result"
98,克服,kèfú,"surmount, conquer, put up with (hardship/etc.)"
99,循环,xúnhuán,"circulate, cycle.circulatory system"
100,新鲜,xīnxiān,"freshen, novel, fresh, new, strange"
101,和解,héjiě,become reconciled
102,原先,yuánxiān,"ab initio, at_first, initially, at the start, in_the_beginning, at first, originally"
103,金,jīn,"metals, gold, money, ancient metal percussion instruments"
104,油,yóu,"oil, fat, grease"
105,台,tái,the short for Taiwan
106,巨大,jùdà,"gigantic, gargantuan, huge"
107,公车,gōngchē,"bus, cars provided by an organization"
108,传说,chuánshuō,legend
109,动力,dònglì,"driving force, impetus, motivity, (motive) power, wheel, (motive) power/force, agency, vector, dynamics, force, motive_power, momentum, power"
110,推行,tuīxíng,"carry out, practice"
111,鸡,jī,"capercailzie, Gallus gallus, giblets, chook, horse of the wood, capercaillie, gallinaceous, Tetrao urogallus, sultan, chicken"
112,回应,huíyìng,"echo, react, answer, respond"
113,介入,jièrù,"intervene, interpose, get involved"
114,内在,nèizài,"inhesion, intrinsic, internality, inherent, internal, immanence, inherence"
115,人体,réntǐ,"soma, form, body, build, human body, anatomy, figure, chassis, physique, bod, carcass, shape, frame, physical body, material body, flesh, anthropometry"
116,介入,jièrù,"intervene, interpose, get involved"
117,谓,wèi,"mean, be called, say"
118,台大,táidà,National Taiwan University
119,确,què,"firmly, indeed, truly"
120,能,néng,"can, be able to, be capable of"
121,美术,měishù,"constructivism, beaux arts, beaux-arts, artistic production, artistic creation, painting, fineart, fine_art, cubism, art, fine arts"
122,活力,huólì,"juvenility, sprightliness, pulse, youthfulness, stamina, bounciness, birr, sparkle, will, vigor, life, energy, vinegar, zap, vim, viridity, pride, livingness, vis, starch, get-up-and-go, mercury, vitality, zing, ginger, sap, pepper, zip, bang, verve, verdure, lifeblood, devilry, dynamism, nature, oomph, vigour, flush, punch, ambition, virility, life-blood, liveliness, pazazz, peppiness, pep, p"
123,致,zhì,"incur, cause"
124,活动,huódòng,"exercise, move about, use personal influence or irregular means"
125,完,wán,"exhaust, run_out, wipe_out, run out, pay, complete, completion, finish, be through, be over, use_up, wind up, payment, use up, pay (taxes), end up"
126,那么多,nàmeduō,det.: so much
127,物理,wùlǐ,"physical, physics, natural philosophy, physical science"
128,推行,tuīxíng,"carry out, practice"
129,终,zhōng,"eventually, after all, in the end"
130,分成,fēnchéng,"divide, split a bonus, divide into, divide (into)"
131,台中市,táizhōngshì,Taichung(big city in Taiwan)
132,代理,dàilǐ,act as agent/proxy
133,乐趣,lèqù,"amusement, playfulness, fun, merriment, pleasure, sweet, delight, bang, entertainment, enjoyment, pleasance, joy"
134,超级,chāojí,super
135,劳动,láodòng,"work, labor"
136,唯有,wéiyǒu,"only, alone"
137,宣传,xuānchuán,"propagandist, publicist"
138,交给,jiāogěi,"relinquish, give_away, submit, give to, hand/give to, hand to, give_up, reach, hand"
139,受伤,shòushāng,"injure, bruise, injured, be wounded, crush, hurt, sustain an injury, be injured, wounded, maimed, wound"
140,讲师,jiǎngshī,"docent, professor, lecturer, instructor, reader, lector"
141,抵达,dǐdá,"reach, arrive at"
142,体重,tǐzhòng,"body weight, beef, (body) weight, avoirdupois, weight"
143,不见得,bújiàndé,"not likely, not necessarily/likely, likely, unlikely, not necessarily"
144,领导,lǐngdǎo,leader
145,蜗牛,guānióu,snail
146,群众,qúnzhòng,"swarm, posse, herd, huddle, ruck, concourse, crowd, varletry, the masses/People, lineup, throng, the masses, mob, multitude, press, mobility, clamjamfry, People, crush, jam, horde, the People, confluence, army, flock, mass"
147,抵达,dǐdá,"reach, arrive at"
148,刻意,kèyì,"fastidiously, sedulously, conscious, purposely, painstakingly"
149,李登辉,lǐdēnghuī,"Li Denghui, a past president of Taiwan"
150,合作社,hézuòshè,"cooperative, cooperation, co-op, artel"
151,印尼,yìnní,Indonesia
152,规格,guīgé,"quality requirements, requirement, specification, standard, spec, criterion, measure, touchstone, specifications"
153,价值观,jiàzhíguān,"values, valuation"
154,依赖,yīlài,rely/depend on
155,百货公司,bǎihuògōngsī,department store
156,负担,fùdān,"bear, shoulder"
157,封,fēng,m.[general]
158,马路,mǎlù,"drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic"
159,通知,tōngzhī,"notify, inform"
160,普及,pǔjí,"popularize, disseminate, spread"
161,坪,píng,m.[standard]
162,绿,lù,green
163,不安,bùān,be anxious; be uneasy; be restless
164,铁路,tiělù,"rails, railroad track, loop-line, rail, Pullman, railway, road, couchette, chemmy, railroad"
165,普及,pǔjí,"popularize, disseminate, spread"
166,录影带,lùyǐngdài,"videotape, video tape, recording"
167,局面,júmiàn,"aspect, picture, state of affairs, situation, conjuncture, facet, position, phase"
168,团队,tuánduì,team
169,优先,yōuxiān,"preferential, preferred, priority"
170,对,duì,"treat, be trained on, answer, reply, compare, check, set, adjust"
171,进去,jìnqù,"enter, entry, go_in, get in, go in"
172,黄,huáng,Surname
173,神经,shénjīng,"nervus, nerve"
174,近来,jìnlái,"newly, of late, lately, fresh, new, latterly, in recent times, freshly, yesterday, late, recently"
175,英语,yīngyǔ,"English, English (language), profit, surplus"
176,刺激,cìjī,"stimulate, provoke, irritate, upset"
177,羊,yáng,"kidney, drover, baa, trotter, argali, mutton, sheep, Surname"
178,老虎,lǎohǔ,"cat, tiger, Panthera tigris, puss"
179,所得,suǒdé,"harvest, gains, taking, earnings, finance, revenue, proceeds, income"
180,健全,jiànquán,"sound, perfect"
181,边,biān,v.1 and v.2 simultaneously
182,主体,zhǔtǐ,"main body, body, hypostasis, main body/part, subject, principal part, corpus, main part, part"
183,大致,dàzhì,roughly
184,对手,duìshǒu,"mate, competitor, opposite, antagonist, comparative, contender, adversary, opponent, opposition, counterpart, equal, counterworker, rival, match"
185,还要,háiyào,"even more, even/still more, even, still more"
186,健全,jiànquán,"sound, perfect"
187,建构,jiàngòu,fabricate
188,星星,xīngxīng,star
189,建构,jiàngòu,fabricate
190,大哥,dàgē,"eldest brother, elder brother, gang leader"
191,培育,péiyū,"cultivate, foster, breed"
192,用心,yòngxīn,be diligent/attentive
193,书记,shūjì,"scribe, penpusher, clerkship, amanuensis, secretarial assistant, pencil pusher, actuary, recorder, secretary, secretariat, clerk, scrivener"
194,财政部,cáizhèngbù,"exchequer, ministry of finance, Treasury Department, Ministry of Fianance, Treasury, treasury, Comptroller of the Currency, Department of the Treasury"
195,培育,péiyū,"cultivate, foster, breed"
196,遊行,yóuxíng,"parade, march, demonstrate"
197,行,xíng,be all right
198,太平洋,tàipíngyáng,"Pacific_Ocean, the Pacific, Pacific, Pacific Ocean, the Pacific Ocean"
199,造,zào,"arrive at, training, create, go to, build, invent, construct, education, concoction, mint, invention, cook up, educate, establish, fabricate, make, concoct, train"
200,咖啡,kāfēi,"arabica, coffee, cafe, Java, java, mocha, blackstrap"
201,名单,míngdān,"checklist, register, registry, list, roll, listing, roster, name list"
202,注重,zhùzhòng,"lay stress on, pay attention to"
203,周围,zhōuwéi,"all around, circumference, circumambience, compass, ambit, periphery, circumambiency, round, surrounding, perimeter, environment, precinct, vicinity, circuit, ambience, around"
204,主权,zhǔquán,"imperium, ascendance, reign, ascendency, ascendancy, possession, empire, majesty, signory, paramountcy, lordship, sovereign rights, sovereignty, raj, supremacy, dominion, ownership"
205,水泥,shuǐní,cement
206,近,jìn,"close, near"
207,合法,héfǎ,"legal, well-formed, rightful, lawful, legitimate"
208,便利,biànlì,facilitate
209,落后,luòhòu,fall/lay behind
210,询问,xúnwèn,"ask about, inquire"
211,送给,sònggěi,"present to, to give as a present, send to, give, send/present to, to present"
212,惟,wéi,"only, alone, but"
213,表,biǎo,"table, form, list"
214,纠纷,jiūfēn,"entanglement, embarrassment, cobweb, skein, embroilment, dissension, complication, issue, conflict, confusion, dispute, shindig, knottiness, dustup, aggro, tangle, betanglement, maze, imbroglio, strife"
215,空中,kōngzhōng,"in_the_air, air, in the sky, sky, aerial, open air/sky, open air, space, open sky, midair"
216,过于,guòyū,"to a fault, unduly, too_much, troppo, over-, excessively, too, too much"
217,任,rèn,"serve in a position, appoint to a position"
218,晚,wǎn,"far on in time, late"
219,车站,chēzhàn,station
220,有助于,yǒuzhùyū,"helpful to, lead, advantage, redound, be conducive, conduce, be conducive to, conduce to, sell, contribute to, subserve, avail, contribute"
221,便利,biànlì,facilitate
222,落后,luòhòu,fall/lay behind
223,之类,zhīlèi,conj.: such like
224,下降,xiàjiàng,"descend, go/come down, drop, fall, decline"
225,手续,shǒuxù,"formality, procedures, formalities, procedure"
226,转换,zhuǎnhuàn,"change, transform"
227,立法,lìfǎ,"legislation, legislative, legislate"
228,刀,dāo,"knife, sword, blade, sth. shaped like a knife"
229,带给,dàigěi,"take, bring to"
230,涵盖,hángài,"cover, include"
231,差不多,chābùduō,good enough
232,主持人,zhǔchírén,"anchor, emcee, host, symposiarch, anchorman, director, impresario, chair, chairperson, linkman, presenter, compere, master of ceremonies, moderator"
233,完工,wángōng,finish doing sth.
234,里,lǐ,m.[standard]
235,杨,yáng,"poplar tree, Surname, Yang, poplar"
236,内政部,nèizhèngbù,"Interior, Ministry of the Interior Affairs, interior, Department of the Interior, Ministry of Home Affairs, Interior Department"
237,躲,duǒ,"avoid, hide, hide oneself, dodge, hide (oneself)"
238,美术馆,měishùguǎn,"picture gallary, salon, art gallery, pinacotheca, museum, gallery"
239,领先,lǐngxiān,"lead, lead (in competition), precede, lead_up, be in lead, show, be in the lead, get the jump"
240,不当,búdàng,"unsuitable, inappropriate"
241,用地,yòngdì,"site, location, land (of certain purpose)"
242,认知,rènzhī,"cognize, perceive"
243,基层,jīcéng,"grass-roots unit, basic/primary level"
244,做出,zuòchū,"throw_off, give, to make, to do, make, place"
245,政权,zhèngquán,"rein, political power, political/state power, state power, power, regime, political"
246,什么,shéme,det.: what
247,风景区,fēngjǐngqū,scenic spot
248,季节,jìjié,season
249,享有,xiǎngyǒu,enjoy (right/etc.)
250,对不起,duìbùqǐ,"be unfair to, I'm sorry, let ... down, let sb. down, excuse me"
251,建设,jiànshè,"build, construct"
252,出口,chūkǒu,export
253,引导,yǐndǎo,"guide, lead"
254,实行,shíxíng,"put into effect, fulfil, put ... into practice, practise, practice, put into practice/effect, live, pass, obtain, prosecute, cause, phase, meet, carry_out, pull, effect, operate, carry out, actualize, use, effectuate, put ... into effect, perform, apply, put into practice, run, implement, execute, do, make, wage, implementation"
255,错误,cuòwù,"wrong, mistaken"
256,国内外,guónèiwài,inside and outside the country
257,迄,qì,till
258,神话,shénhuà,"fairy story, fairy tale, mythos, mythic, fable, fairytale, myth, mythology"
259,尽,jìn,"use up, exhaust, try one's best, put to best use, end"
260,花园,huāyuán,flower garden
261,非洲,fēizhōu,Africa
262,组织,zǔzhī,"organize, form"
263,音乐会,yīnyuèhuì,"musicale, philharmonic, concert"
264,继,jì,"then, afterwards"
265,预估,yūgū,predict
266,著作,zhùzuò,"composition, writing, composing, oeuvre, work, opus, literature, writings, book, production, bookmaking, body of work"
267,感受到,gǎnshòudào,"feel, sense, experience"
268,保障,bǎozhàng,"guarantee, safeguard"
269,自主,zìzhǔ,"be one's own master, take initiative"
270,好多,hǎoduō,"det : many, much"
271,自主,zìzhǔ,"be one's own master, take initiative"
272,姑娘,gūniáng,"quiff, cummer, gill, calico, girlie, missy, moll, damsel, fille, girl, jill, miss, judy, jeune fille, sheila, jane, lass, colleen, toots, daughter, young girl, lassie"
273,财团,cáituán,"financial group, foundation, consortium, a consortium, a syndicate, syndicate, pool, conglomerate, empire, big business, a money clique"
274,预期,yūqí,"expect, anticipate"
275,安定,āndìng,stabilize
276,上升,shàngshēng,rise
277,未必,wèibì,"may_not, not necessarily, may not"
278,吨,dùn,"metric ton, acre, ton, m.[standard], ,A, MT, tonne, t"
279,模拟,mónǐ,"imitate, simulate"
280,发言,fāyán,"speak, make statement/speech"
281,底下,dǐxià,"under, below, beneath"
282,安定,āndìng,stabilize
283,模拟,mónǐ,"imitate, simulate"
284,票,piào,"ticket, ballot, note"
285,出门,chūmén,"go_out, go on journey, go out, go on a journey, be away from home"
286,辅助,fǔzhù,assist
287,倾向,qīngxiàng,"tendency, trend, inclination"
288,过年,guònián,celebrate/spend New Year
289,照,zhào,"according to, in accordance with, towards"
290,庙,miào,"shrine, sanctorium, joss house, temple fair, temple"
291,帮,bāng,"help, assist"
292,人工,réngōng,"man-made, artificiality, manual work, manpower, art, labor"
293,礼,lǐ,"gift, present"
294,信,xìn,"believe, true"
295,胜利,shènglì,win victory/success
296,魅力,mèilì,"personal appeal, allurement, charisma, fascination, spell, attractive feature, glitter, witchery, lure, appeal, grace, loveliness, attraction, allure, enticement, seduction, glamour, pazazz, charm, pishogue, prestige, enchantment, glamor, witchcraft, magnetism, attractiveness, appealingness, hypnotism, bewitchment, invitation, personal magnetism, captivation"
297,首长,shǒuzhǎng,"magistrate, lord, principal, header, chief, governor, raja, leading cadre, doge, senior officer"
298,胜利,shènglì,win victory/success
299,过年,guònián,celebrate/spend New Year
300,毫不,háobù,"nohow, not at all, no, no more, none, nowise, nothing"
301,组长,zǔzhǎng,chief/head of group/section
302,专长,zhuāncháng,"department, excellence, metier, knowledge, speciality, specialty, specialism, specialisation, special skill/knowledge, special knowledge, adept, expertise, special skill, medium, forte, specialization"
303,物品,wùpǐn,"whatchamacallit, sundry, stuff, commodity, affair, physical object, goods, article, object, content, whatsis, res, sundries"
304,哇,wā,Wah!
305,后者,hòuzhě,"latter, the latter"
306,辅助,fǔzhù,assist
307,珍贵,zhēnguì,"valuable, precious"
308,景象,jǐngxiàng,"prospects, spectacle, scene, picture, sight, show"
309,选出,xuǎnchū,"come_up, winnow, mark, come up, mark_out, select, single_out, center out, return, single out, vote, designate"
310,澎湖,pénghú,Peng-hu(county in Taiwan)
311,学员,xuéyuán,"trainee, member of institution of learning, student"
312,监督,jiāndū,"supervise, superintend, control"
313,加拿大,jiānádà,"Northman, Canadian, Canada"
314,以色列,yǐsèliè,"Beulah, Israel, Zion"
315,参赛,cānsài,"take part in match, enter competition"
316,混乱,hǔnluàn,"confused, chaotic"
317,走出,zǒuchū,"leave, walk out"
318,收到,shōudào,"hear, find, achievement, receive, receipt, obtain, achieve, incur, get, come_to"
319,佛,fó,"Buddha, Buddhism, image of Buddha"
320,如同,rútóng,"like, similar to"
321,初,chū,"at the beginning of, in the early part of"
322,混乱,hǔnluàn,"confused, chaotic"
323,排,pái,"stand in line, arrange, put in order, sequence"
324,岁月,suìyuè,"precession, years, days, time"
325,参赛,cānsài,"take part in match, enter competition"
326,届时,jièshí,"at appointed time, on the occasion"
327,这边,zhèbiān,"this side, here"
328,班,bān,m.[event]
329,塑造,sùzào,"model, mold, portray"
330,权威,quánwēi,"authoritativeness, sanction, pontiff, prince, pundit, a person of authority, authority, princedom, muscle, power, pope"
331,双重,shuāngchóng,"twofold, dual, diploid, double"
332,古老,gǔlǎo,"ancient, old"
333,广播,guǎngbō,"broadcast, air"
334,乐观,lèguān,be optimistic; be hopeful
335,塑造,sùzào,"model, mold, portray"
336,定期,dìngqí,"fixed (of time), periodically, regularly"
337,强大,qiángdà,"big and powerful, formidable"
338,社会主义,shèhuìzhǔyì,"socialist, socialism"
339,事宜,shìyí,"arrangements, matters concerned, affairs, arrangement, personal business"
340,交往,jiāowǎng,"associate, contact"
341,时空,shíkōng,"time and space, space-time"
342,露出,lòuchū,"bare, demonstrate, disclose, expose, crop out, show, basset, uncover, protrude, appear, reveal, emerge, evidence, tell, uncase, outcrop, peep, betray, ride, ascertain"
343,请教,qǐngjiào,"consultation, Please enlighten me., seek advice, take counsel, consult, ask, ask for advice"
344,繁荣,fánróng,"flourishing, prosperous, booming"
345,嬉皮,xīpí,"flower child, hippy, hippie"
346,繁荣,fánróng,"flourishing, prosperous, booming"
347,斤,jīn,m.[standard]
348,暨,jì,conj.: and
349,行情,hángqíng,"prices, quotation, (market) quotations, market, price, quotations"
350,先导,xiāndǎo,"pacesetter, forerunner, precursor, vanguard, guide"
351,防治,fángzhì,"prevent and cure, prophylaxis and treatment"
352,列入,lièrù,"be listed, be listed/placed, placed, be placed, rank"
353,依据,yījù,"basis, foundation"
354,完美,wánměi,"perfect, consummate"
355,同胞,tóngbāo,"offspring of same parents, paisano, neighbour, countrymen, countryfolk, fellow countryman, neighbor, compatriot, countryman, cousin"
356,原理,yuánlǐ,"principle, tenet"
357,财富,cáifù,"opulence, pile, worth, fortune, moneybag, riches, mammon, substance, wealth, wealthy, gold, lucre, means, shekel, pelf, opulency, money, oof, nabobery"
358,黄,huáng,"yellow, spoiled, withered"
359,难免,nánmiǎn,hard to avoid
360,中小企业,zhōngxiǎoqìyè,"medium and small enterprise, middle and small types enterprises"
361,全力,quánlì,"all one's strength, wholehearted dedication"
362,影响到,yǐngxiǎngdào,"concern, impinge_on, interfere"
363,贵族,guìzú,"baron, aristocratism, atheling, nobleman, jarl, grandee, raja, aristocracy, patrician, blue blood, lord, magnifico, noble, aristocrat, baronage, peer, mogul, nobility, patricianhood, peerage, sirdar, amir, nobles"
364,祖先,zǔxiān,"parent, father, forbear, forefathers, origin, progenitor, propositus, pedigree, forebear, forefather, antecedent, ascendent, grandfather, ancestor, forerunner, grandsire, stirp, root, ancestry, grandmother, antecedents, forbears, stirps, ascendant, primogenitor, ancestral, ancestors, sire, stock, forebears"
365,待,dài,"treat, entertain"
366,怎么,zěnme,what
367,流通,liútōng,circulate
368,姊姊,jiějiě,"big_sister, older sister, big sister"
369,纯,chún,"pure, simple"
370,学会,xuéhuì,"learn, master"
371,联系,liánxì,"integrate, relate, link, get in touch with"
372,报,bào,"report, reply"
373,台风,táifēng,typhoon
374,盘,pán,m.[event]
375,精致,jīngzhì,"fine, exquisite, delicate"
376,联考,liánkǎo,"general examination, entrance examination"
377,队伍,duìwǔ,"cue, procession, contingent, ranks, troops, gang"
378,大台北,dàtáiběi,Taipei area
379,和尚,héshàng,"bonze, talapoin, monk, Bhikku, Buddhist monk"
380,联系,liánxì,"integrate, relate, link, get in touch with"
381,回收,huíshōu,recycle
382,便是,biànshì,even if
383,后,hòu,"det.: later, succeeding"
384,师范,shīfàn,"teacher-training, pedagogical"
385,陷入,xiànrù,"plunge, be immersed in, land oneself in, slump, be caught in, lapse, launch, get_into, fall_in, invaginate, be deep in, engulf, run_into, fall_into, be lost/immersed in, be lost, sink into, tangle, fall into, immerse, sink, be lost in, bed, immersed in, get bogged down in, land, sink/fall into"
386,旅,lǔ,travel
387,高度,gāodù,"altitude, height, high degree"
388,租,zū,rent out
389,副,fù,m.[general]
390,义大利,yìdàlì,Italy
391,篮球,lánqiú,basketball
392,生产力,shēngchǎnlì,"fecundity, fertility, productive force, prolificacy, output, productivity"
393,犯,fàn,"violate, offend, attack, assail, work against, commit, have recurrence (of old illness), revert (to bad habit)"
394,评鑑,píngjiàn,"pass judgment on, evaluate, assess"
395,搜寻,sōuxún,"search/look for, seek"
396,有利,yǒulì,be advantageous/beneficial
397,情境,qíngjìng,"situation, experimental condition, condition, circumstances"
398,处处,chùchù,"everywhere, in all respects"
399,则,zé,m.[general]
400,物价,wùjià,commodity prices
401,宜,yí,"right, suitable"
402,弄,nòng,"play with, make, do, handle, engage in, obtain, get, fetch, play tricks"
403,根,gēn,"roots of a plant, the base"
404,评鑑,píngjiàn,"pass judgment on, evaluate, assess"
405,趟,tàng,m.[activity]
406,歌曲,gēqǔ,"melody, aria, song, madrigal, chant, lied, tune"
407,烧,shāo,"oven broil, roast, burn, broil, run a fever, baking, stew ... in soy sauce, cook, heat, bake, burning, burnt, stew, grill, cooking, have a temperature"
408,赵,zhào,"Zhao, Surname"
409,文物,wénwù,"historical relics, cultural objects, artifact, historical relic, cultural relic, cultural/historical objects/relics, cultural, historical objects, relics"
410,四处,sìchù,"about, all around, everywhere, everyplace, all over, throughout, around"
411,心脏,xīnzàng,"ticker, cardiac, center, pump, heart"
412,难怪,nánguài,no wonder
413,唱歌,chànggē,sing
414,数目,shùmù,"figure, count, amount, number"
415,不时,bùshí,"betweentimes, every so often, frequently, somewhile, at any time, every now and then, often"
416,修订,xiūdìng,revise
417,词汇,cíhuì,"mental lexicon, vocabulary, wordbook, lexicon, word-stock, lexis, words and phrases"
418,干脆,gāncuì,"direct, forthright"
419,社长,shèzhǎng,"director (of association, principal, etc.), director, president/director (of association/etc.), president"
420,修订,xiūdìng,revise
421,唱歌,chànggē,sing
422,球场,qiúchǎng,"playing_field, gridiron, court, ball field, field, pitch, course, park, ballpark"
