,Simplified,Pinyin,Meaning
42,轴,zhóu,"axle, shaft, axis, spool, rod"
43,标竿,biāogān,surveyor's pole
44,载入,zàirù,"load, enter into, record in"
45,要紧,yàojǐn,"be in a hurry to, serious, critical, essential, weigh, be anxious to, count, signify, important, matter"
46,订购,dìnggòu,order goods
47,前方,qiánfāng,"front_line, (war) front, ahead, front direction, front, the front"
48,军官,jūnguān,"wardroom, officer, military officer, military_officer, striper, officiary"
49,烈,liè,"strong, violent, intense"
50,保送,bǎosòng,recommend sb. for admission to school/etc.
51,美妙,měimiào,"beautiful, splendid, wonderful"
52,哈佛,hāfó,Harvard
53,东区,dōngqū,Eastern area
54,保费,bǎofèi,"insurance premium, premium, insurance (fee)"
55,近代史,jìndàishǐ,modern history
56,相通,xiāngtōng,"communicate, intercommunicate, communicate with each other, be interlinked"
57,怨,yuàn,"blame, reproach, reprove"
58,相对于,xiāngduìyú,relative
59,恰好,qiàhǎo,"exactly, just right"
60,乘坐,chéngzuò,travel (by a conveyance)
61,受损,shòusǔn,"suffer loss, go, damage from"
62,祈求,qíqiú,"call_down, invoke, plead, petition, earnestly hope, may, pray for, supplicate, adjure, pray"
63,立,lì,"stand, exist, live"
64,佛法,fófǎ,"Buddha dharma, Buddhist doctrine, power of Buddha"
65,弦,xián,"spring (of watch, string, quarter, string of musical instrument, etc.), catling, chord, quadrature, bowstring, spring (of watch/etc.), spring, the string of a musical instrument, quartile, catgut, cord, subtense, hypotenuse"
66,汗,hàn,"sudor, khan, sweat, lather, perspiration"
67,作成,zuòchéng,"help, consummate, successfully complete, compose"
68,法治,fǎzhì,"constitutionality, rule of law, law"
69,成年,chéngnián,"grow up, come of age"
70,非凡,fēifán,"outstanding, extraordinary, uncommon"
71,白雪,báixuě,white snow
72,肺,fèi,lungs
73,官司,guānsī,lawsuit
74,树干,shùgàn,"shaft, tree_trunk, trunk, stock, bole, tree trunk"
75,拜托,bàituō,request sb. to do sth.
76,比对,bǐduì,map
77,山东,shāndōng,"Shantung, Shandong province, Shandong"
78,加值,jiāzhí,add value
79,水分,shuǐfèn,"moisture, inprecision, humidity, wet, moisture content, exaggeration"
80,左边,zuǒbiān,"portside, nearside, the left-hand side, the left side, left, the left, left side"
81,史前,shǐqián,prehistoric era
82,台中县,táizhōngxiàn,Taichung County
83,敲,qiāo,"strike, beat (drum/etc.)"
84,水土,shuǐtǔ,"natural environment and climate, climate, water and soil"
85,幕僚,mùliáo,"aides and staff, assistant to high official/general"
86,巩固,gǒnggù,"consolidate, strengthen, solidify"
87,演习,yǎnxí,"maneuver, exercise, drill, practice"
88,福特,fútè,Ford
89,演习,yǎnxí,"maneuver, exercise, drill, practice"
90,调,tiáo,"regulate, adjust, mediate"
91,巩固,gǒnggù,"consolidate, strengthen, solidify"
92,赔,péi,"compensate, pay for, stand a loss"
93,出动,chūdòng,"start_out, set out, dispatch, start off, send out"
94,覆盖,fùgài,"plate, enshroud, cap, overlay, deluge, inundate, bestrew, steep, blanket, bespread, superimpose, clothe, clot, submerge, muffle, shroud, face, spread, shadow, drape, overflow, spread over, mantle, cover, sheathe, smother, coat, hood, lap, enclothe"
95,点心,diǎnxīn,"collation, snack, refreshment, refection, dimsum, pastry, light refreshments"
96,举凡,jǔfán,conj.: whatever
97,响应,xiǎngyìng,"respond, answer"
98,联谊,liányí,socialize
99,职责,zhízé,"department, responsibility, function, incumbency, office, charge, province, duty, obligation, role"
100,谎言,huǎngyán,"tarradiddle, lie, inveracity, false statement, taradiddle, squib, falsehood, falsity, story, prevarication, fib, fairy-tale, crammer, fibbery, leasing, flam, untruth, tale, unveracity, fabrication"
101,人类学,rénlèixué,"physical_anthropology, Pithecanthropus, humanics, anthropology"
102,手足,shǒuzú,brothers
103,会报,huìbào,"proceeding, transactions"
104,主讲,zhǔjiǎng,"be the speaker, give a lecture"
105,刀子,dāozi5,"knife, pocketknife, dagger, small knife"
106,北平,běipíng,"Beiping, Peking, Peiping"
107,古物,gǔwù,"ancient objects, antiquities"
108,天使,tiānshǐ,"intelligence, angel, angelic, nimbus, spirit"
109,大哥大,dàgēdà,"hand phone, man with power, rich person, cellular telephone, super boss, cellular_phone, portable, walkie-talkie, boss, mobile phone, portable/cellular telephone, godfather, powerful person, portable telephone, rich/powerful person"
110,比对,bǐduì,map
111,四肢,sìzhī,"arms and legs, extremity, four limbs"
112,情意,qíngyì,"tender regards, affection"
113,液晶,yìjīng,liquid crystal
114,陪伴,péibàn,"accompany, keep sb. company"
115,陈述,chénshù,state
116,莫不,mòbù,there's no one who doesn't/isn't
117,陆军,lùjūn,"ground force, army, ground, ground/land force, land force"
118,声称,shēngchēng,"avouch, claim, assertion, purport, hold, profession, allege, represent, avow, declare, confess, announce, assert, say, aver, profess"
119,追赶,zhuīgǎn,"chase after, pursue"
120,教化,jiàohuà,enlighten people by education
121,细则,xìzé,detailed rules and regulations
122,累计,lěijì,add up
123,处,chǔ,"punish, sentence"
124,累计,lěijì,add up
125,动植物,dòngzhíwù,animal and plant
126,长年,chángnián,all year around
127,封闭,fēngbì,"seal, seal off, close"
128,桶,tǒng,m.[container]
129,透视,tòushì,perspective
130,急,jí,"impatiently, anxiously, rapidly, urgently"
131,贼,zéi,thief
132,毁灭,huǐmiè,"destroy, exterminate"
133,残障者,cánzhàngzhě,"disabled, handicapped person, cripple"
134,诗歌,shīgē,"ode, verse, poetic, strain, rhyme, song, poems and songs, poetry, Parnassus"
135,落成,luòchéng,be completed (of a building/etc.)
136,几,jī,"almost, nearly"
137,贫困,pínkùn,"poor, impoverished"
138,募款,mùkuǎn,raise money
139,透视,tòushì,perspective
140,停下来,tíngxiàlái,stop
141,晚饭,wǎnfàn,"supper, dinner"
142,祕密,mìmì,"confidential, sly, darkness, stealth, confidentiality, privacy, penetralia, huggermugger, arcanum, hugger-muggery, secrecy, secret"
143,贫困,pínkùn,"poor, impoverished"
144,记住,jìzhù,"remember, learn by heart, bear in mind"
145,剪,jiǎn,"wipe out, exterminate, cut (with scissors), clip, trim"
146,教化,jiàohuà,enlighten people by education
147,饮茶,yǐnchá,drink tea
148,落成,luòchéng,be completed (of a building/etc.)
149,李远哲,lǐyuǎnzhé,"Yuan Tseh Lee, Nobel laureate"
150,活生生,huóshēngshēng,"actually, really, while still alive, real, in real life, actual, living"
151,国军,guójūn,armed forces of Republic of China
152,青菜,qīngcài,"greengrocery, vegetable, greenstuff, green vegetables, greens, Chinese cabbage, vegetables, pakchoi, Ch. cabbage"
153,幽浮,yōufú,UFO
154,虐待,nuèdài,"maltreat, tyrannize, abuse"
155,准,zhǔn,"allow, grant, permit"
156,为数,wéishù,"amount to, number"
157,面对面,miànduìmiàn,face to face
158,组,zǔ,"form, make up (into), compose"
159,细部,xìbù,detail (of drawing)
160,堂哥,tánggē,elder male cousin (with same surname)
161,素养,sùyǎng,"accomplishment, attainment"
162,扫,sǎo,"sweep, sweep away"
163,理事,lǐshì,"trustee, senator, manager, directorate, commissioner, director, governor, council member, board member, syndic, administrator"
164,放入,fàngrù,"interpose, load into, include"
165,高涨,gāozhǎng,"rise, surge up, run high"
166,商务,shāngwù,business affairs
167,高涨,gāozhǎng,"rise, surge up, run high"
168,能干,nénggàn,"able-minded, competent"
169,核能,hénéng,"nuclear_power, nuclear energy, atomic power, atomic energy, nuclear_energy, nuclear power"
170,造访,zàofǎng,"pay visit, call on"
171,通,tōng,"communicate/connect (with), join, share, be interchangeable with..."
172,泪水,lèishuǐ,"tear, tear-drops"
173,教育部长,jiàoyūbùzhǎng,minister of Education
174,时而,shíér,"from time to time, sometimes, now...now, sometimes...sometimes"
175,造访,zàofǎng,"pay visit, call on"
176,雪梨,xuělí,Sydney
177,快要,kuàiyào,"in a short time, promptly, at once, instantly, pronto, immediately, shortly, without delay, tout-de-suite, right away, forthwith, soon, in a few seconds, before long, straightaway, in a minute, in no time"
178,合理化,hélǐhuà,rationalize
179,佔领,zhànlǐng,"occupy, possess, hold, invade, seize, seizure, occupation, capture, conquer, take over"
180,汽机车,qìjīchē,vehicle
181,批准,pīzhǔn,"ratify, approve, sanction"
182,刺激,cìjī,provoking
183,西德,xīdé,West Germany
184,份量,fènliàng,"percentage, weight, quantity"
185,合同,hétong,"bond, paction, covenant, bargain, compact, agreement, indenture, contract, whiz"
186,似,sì,seem
187,村庄,cūnzhuāng,"small town, village, thorpe, wick, settlement, thorp, hamlet"
188,那里,nàlǐ,how could it be possible?
189,洞穴,dòngxuè,"cavern, grotto, scoop, subterranean, pocket, cave, subterrane, burrow, mine, souterrain, pothole, opening"
190,老化,lǎohuà,"age, grow older"
191,风光,fēngguāng,grand
192,走过去,zǒuguòqù,walk to
193,伸,shēn,"extend, crane, stretch, extension"
194,老化,lǎohuà,"age, grow older"
195,免于,miǎnyū,"avoid, fend off, debar, head off, cheat, avert, ward off, deflect, stave off, obviate"
196,房租,fángzū,"house rent, rent (for house, rent (for house/flat/etc.), etc.), rent, flat"
197,阿美族,āměizú,Ami ethnic minority (in Taiwan)
198,纠缠,jiūchán,"bug, be in a tangle, pester, shadow, imply, worry, beset, enlace, intertwine, beleaguer, badger, tease, besiege, mat, tangle, weave, lock, kink, entangle, snarl, haunt, nag, harass, pursue, get entangled"
199,放出,fàngchū,"radiate, emission, give_off, spew, give off, extricate, deflate, emit, expel, release, effuse, evolve, pay_out, let_out, give, discharge, let out, give out, eject, discard"
200,风筝,fēngzhēng,kite
201,放映,fàngyìng,"project (film), screen, projection, project, show"
202,风光,fēngguāng,grand
203,电,diàn,give/get an electric shock
204,改用,gǎiyòng,"change to use of sth., change use of sth."
205,方位,fāngwèi,"AZ, aspect, quarter, exposure, position, trend, spatial relation, azimuth, points of the compass, direction, orientation, bearing"
206,头衔,tóuxián,"viscountcy, title, official title, inheritance, style, handle, doctorate, prefix"
207,码,mǎ,"sth. indicating number, code"
208,整,zhěng,"put in order, arrange, consolidate, repair, mend, do"
209,踏上,tàshàng,"tread on, step on"
210,憧憬,chōngjǐng,"long for, look forward to"
211,总务,zǒngwù,"general affairs, person in charge of general affairs"
212,憧憬,chōngjǐng,"long for, look forward to"
213,台北县,táiběixiàn,Taipei County
214,撞,zhuàng,"run into, strike, collide, meet by chance, rush, dash, dupe"
215,认清,rènqīng,"recognition, see clearly, see through to, get a clear understanding of, recognize"
216,出炉,chūlú,come out of the oven
217,期许,qíxǔ,"hope, expect"
218,子弹,zǐdàn,"musket ball, lead, shell, cartridge, bullet, ball, payload, slug"
219,尝试,chángshì,try
220,回流,huíliú,"regurgitate, refluent, regurgitation, backwash"
221,大肆,dàsì,wantonly
222,公演,gōngyǎn,perform in public
223,不慎,búshèn,"immodest, incautious"
224,外长,wàizhǎng,"Foreign Minister, exogenous, Minister of Foreign Affairs, foreign minister"
225,水电,shuǐdiàn,"hydropower, water and electricity"
226,心脏病,xīnzàngbìng,"heart trouble, heart disease, cardiopathy, heart_disease, heart condition"
227,公演,gōngyǎn,perform in public
228,巴格达,bāgédá,"Bagdad, Baghdad, capital of Iraq"
229,小贩,xiǎofàn,"wallah, hucksterer, grifter, hawker, Higgler, pedlar, coster, badger, vendor, chapman, peddler, roadman, faker"
230,公认,gōngrèn,"legalize, acknowledge generally, recognize, accept, generally acknowledge/recognize/accept, acknowledged, generally recognize/accept, generally acknowledge, vote"
231,瀑布,pùbù,"falls, linn, overfall, Niagara, waterfall, fall, cataract, chute, cascade, sault"
232,女郎,nǔláng,"young_girl, young lady, young woman, fille, girl, miss, missy, maiden"
233,意涵,yìhán,"meaning, implication, connotation"
234,合理化,hélǐhuà,rationalize
235,须要,xūyào,"must, have to"
236,复兴,fùxīng,"revive, resurge, rejuvenate"
237,期许,qíxǔ,"hope, expect"
238,禁,jìn,prohibit
239,遇见,yūjiàn,"come across, encounter, come_across, forgather, meet, meet up with"
240,解说,jiěshuō,"comment, interpretation"
241,照射,zhàoshè,"shine on, light up"
242,景物,jǐngwù,scenery
243,量,liáng,"estimate, measure"
244,发泄,fāxiè,"exhale, give vent to, give vent, let off, ventilate, let_out, abreact, vent, wreak"
245,衔接,xiánjiē,"link up, join"
246,干员,gànyuán,capable official
247,衔接,xiánjiē,"link up, join"
248,照射,zhàoshè,"shine on, light up"
249,顺,shùn,"smooth-going, plain sailing, arrange, put in order"
250,开阔,kāikuò,"tolerant, open, widen, spacious, expansive"
251,质询,zhíxún,request explanation
252,热络,rèluò,enthusiastic
253,选取,xuǎnqǔ,select
254,热络,rèluò,enthusiastic
255,质询,zhíxún,request explanation
256,图画,túhuà,"illustration, painting, picture, portrait, graphic, depiction, drawing"
257,盘旋,pánxuán,"circle, whorl, stay, linger, hover, twist, wheel, spiral, yaw, whirl, convolve"
258,余地,yūdì,"leeway, margin, room, latitude"
259,鱼塭,yūwēn,fishpond
260,感恩,gǎnēn,"feel grateful, be thankful"
261,鸡蛋,jīdàn,hen's egg
262,摊位,tānwèi,"stand, booth, stall"
263,嚼,jué,"chew, munch"
264,惊喜,jīngxǐ,be pleasantly surprised
265,杂货店,záhuòdiàn,"grocery store, chandlery, drugstore, chandler, sundry store, grocery, bodega, grocery_store, general store"
266,批准,pīzhǔn,"ratify, approve, sanction"
267,法律系,fǎlùxì,legal department
268,键盘,jiànpán,"clavier, keyset, keyboard, fingerboard, piano keyboard, Klavier"
269,偶而,ǒuér,occasionally
270,虔诚,qiánchéng,"pious, devout"
271,偶然,ǒurán,"fortuitous, chance"
272,脉络,mòluò,"arteries and veins, vein (of leaf/etc.), sequence of ideas"
273,耗费,hàofèi,"consume, expend"
274,抗原,kàngyuán,antigen
275,耗费,hàofèi,"consume, expend"
276,效用,xiàoyòng,"effectuality, service, efficiency, effectivity, help, value, effectualness, usefulness, utility, avail, effectiveness"
277,婚礼,hūnlǐ,wedding ceremony
278,起,qǐ,start
279,时髦,shímáo,"fashionable, in vogue"
280,情调,qíngdiào,"sentiment, tone and mood, taste"
281,系数,xìshù,"quotiety, coefficient, ingredient, factor, constituent, modulus, element, component"
282,这里,zhèlǐ,here
283,拍卖,pāimài,"auction, sell at reduced price"
284,虔诚,qiánchéng,"pious, devout"
285,盛况,shèngkuàng,"grand occation, spectacular event, pomp, grand occasion, eclat"
286,混淆,hǔnyáo,"blur, confuse, mix up"
287,国手,guóshǒu,national contestant (in chess/etc.)
288,窄,zhǎi,"narrow, petty, hard up"
289,神仙,shénxiān,immortal
290,时效,shíxiào,"effectiveness, aging, prescription, period of effectiveness"
291,顶多,dǐngduō,at most/best
292,连锁,liánsuǒ,chain
293,疼,téng,"hurt, ache, pain"
294,依循,yīxún,follow
295,任用,rènyòng,"appoint, assign to post"
296,沉重,chénzhòng,"heavy, serious"
297,来不及,láibùjí,be too late to do sth.
298,字眼,zìyǎn,"words, wording, diction"
299,作曲家,zuòqǔjiā,"tunesmith, harmonist, musician, songsmith, composer"
300,自强,zìqiáng,"improve oneself, self-strengthening"
301,任用,rènyòng,"appoint, assign to post"
302,盯,dīng,"fix one's eyes on, gaze/stare at, gaze, stare at, gaze at"
303,前辈,qiánbèi,"senior (in age/experience/etc.), elder, older generation"
304,疫苗,yìmiáo,"bacterin, inoculum, vaccine"
305,疲倦,píjuàn,"languid, weary, tire, tiredness, lassitude, languor, jade, tired, ennui"
306,巷,xiàng,"back street, lane, alleyway, alley"
307,服,fú,take (medicine)
308,政客,zhèngkè,"hack, politico, ward-heeler, politician, political hack, machine politician, statist"
309,版权,bǎnquán,"right of first publication, copyright"
310,服气,fúqì,"be convinced, convince, feel things are fair"
311,服药,fúyào,take medicine
312,争夺,zhēngduó,"fight for, enter into rivalry over, campaign, agitate, contend for, fight, push, crusade, scramble, vie with sb. for sth."
313,病例,bìnglì,"case of illness, case (of illness), case"
314,信件,xìnjiàn,"correspondence, missive, mail, letters, post, letter"
315,拍卖,pāimài,"auction, sell at reduced price"
316,票价,piàojià,"admission fee, the price of a ticket, entrance fee, ticket price, carfare"
317,长短,chángduǎn,"length, right and wrong, strong and weak points"
318,座位,zuòwèi,"perch, table, saddle, pew, place to sit, place, seat, locus"
319,上去,shàngqù,go up
320,预先,yūxiān,"in advance, beforehand"
321,实话,shíhuà,"true statement, truth, true story"
322,县委,xiànwěi,county Party committee
323,北区,běiqū,northern area
324,母,mǔ,female (of birds/animals/etc.)
325,而今,érjīn,now
326,互,hù,"mutually, each other, mutual, together"
327,下挫,xiàcuò,"fall, decline, decrease"
328,山顶,shāndǐng,"mountaintop, summit of a mountain, hilltop, top of a mountain, mountain top, knap, ben"
329,未知,wèizhī,unknow
330,打到,dǎdào,hit (the target)
331,淹没,yānmò,"engross, float, overshadow, deluge, submerse, inundate, overwhelm, die, flood, submerge, drench, deafen, bury, swallow up, flood out, swallow, drown, whelm, inundation, swamp, immerse, submergence, overwhelming, eat up"
332,地层,dìcéng,"measure, geological formation, formation, geology, bed, stratification, stratum, layer"
333,谋生,móushēng,"make a living, seek a livelihood, seek livelihood"
334,一手,yīshǒu,"single-handedly, alone"
335,中断,zhōngduàn,"drop, go_off, go off, cut_off, suspend, discontinuance, intermit, discontinue, pause, break_off, terminate, suspension, break off, corrupt, fall_through, break, interrupt, knock off"
336,餵,wèi,"salt, feed"
337,惩罚,chéngfá,"punish, penalize"
338,讲解,jiǎngjiě,"explain, narrate"
339,听取,tīngqǔ,listen to
340,苏格兰,sūgélán,Scotland
341,矿工,kuànggōng,miner
342,筹措,chóucuò,raise money
343,举起,jǔqǐ,"heize, heave, elevate, put_up, wind, put up, lift_up, set up, lift_out, hoist, uphold, hold_up, uprear, hold up, uplift, upraise, uptake, raise_up, raise, pry, rear, lift, erect, upheave, hoise, heft"
344,槟榔,bīnláng,"betel_nut, betel palm, areca, areca_nut, betel nut, pinang, areca nut"
345,下挫,xiàcuò,"fall, decline, decrease"
346,画廊,huàláng,"painted corridor, (picture) gallery"
347,货车,huòchē,"goods/freight train/wagon/van/car, truck, lorry"
348,酗酒,xùjiǔ,drink excessively
349,无常,wúcháng,"impermanent, changeable"
350,发扬,fāyáng,"develop, carry on, make most of"
351,烦,fán,trouble
352,感人,gǎnrén,"touching, moving"
353,发扬,fāyáng,"develop, carry on, make most of"
354,策划,cèhuà,"plan, plot, engineer"
355,遇上,yūshàng,come across
356,殖民地,zhímíndì,"Colony, plantation, colony, habitation, settlement, colonial"
357,顺,shùn,"obey, follow, submit to"
358,垦丁,kěndīng,Kenting (national park)
359,路段,lùduàn,section of highway/railway
360,馆长,guǎnzhǎng,"director (of library, head, director (of library/etc.), etc.), curator, director, conservator"
361,童工,tónggōng,"child laborer, child labor"
362,嗜好,shìhào,"hobby, addiction, habit"
363,亲爱,qīnài,"endear, beloved, dear"
364,营利,yínglì,VA4
365,论点,lùndiǎn,"line, question, line of reasoning, argumentation, talking point, logical argument, contention, thesis, argument"
366,获取,huòqǔ,"derive, obtain, procure, gain, get, liberate, angle, win"
367,编号,biānhào,serial number
368,独裁,dúcái,"dictatorial, autarchical, despotism, dictatorship"
369,历史系,lìshǐxì,"department of history, Department of History, history department"
370,雌,cí,female
371,台南,táinán,Tainan
372,混淆,hǔnyáo,"blur, confuse, mix up"
373,着想,zháoxiǎng,"consider, take into consideration"
374,依循,yīxún,follow
375,祕书,mìshū,secretary
376,送往,sòngwǎng,deliver to
377,杰作,jiézuò,"tour de force, masterwork, showpiece, classic, tour_de_force, masterpiece"
378,纷争,fēnzhēng,"odds, affray, trouble, fracas, wrangle, dispute, squall, dispeace, imbroglio, strife, dissension, altercation"
379,途,tú,"road, route, journey, way"
380,参选,cānxuǎn,"take part in election, enter election"
381,食用,shíyòng,"edible, eat"
382,张贴,zhāngtiē,put up (poster/etc.)
383,得失,déshī,"gains and losses, successes and failures, merits and faults"
384,抽籤,chōuqiān,draw/cast lots
385,剥削,bōxuè,exploit
386,服从,fúcóng,"obey, submit (oneself) to, be subordinated to"
387,风行,fēngxíng,"be in fashion, be popular"
388,到时候,dàoshíhòu,"at appointed time, on the occasion"
389,张,zhāng,"stretch, spread, expand, display, set out"
390,现成,xiànchéng,ready-made
391,损坏,sǔnhuài,"damage, injure"
392,农夫,nóngfū,farmer
393,农药,nóngyào,"agricultural chemical, pesticide, farm chemical, insecticide, agricultural"
394,登陆,dēnglù,"land, disembark"
395,剩余,shèngyū,"be left over, leave, remain"
396,假设,jiǎshè,hypothesis
397,阵容,zhènróng,"battle array, lineup, disposition"
398,最多,zuìduō,at (the) most
399,张贴,zhāngtiē,put up (poster/etc.)
400,参选,cānxuǎn,"take part in election, enter election"
401,健行,jiànxíng,hike
402,莫名其妙,mòmíngqímiào,"be baffled, without rhyme or reason, inexplicable"
403,侮辱,wǔrù,"insult, humiliate"
404,邮政,yóuzhèng,"dawk, postal service, dak, mail, postal_service, post, postal"
405,投降,tóuxiáng,"surrender, capitulate"
406,风行,fēngxíng,"be in fashion, be popular"
407,振动,zhèndòng,"judder, ruffle, vibration, rock, riffle, oscillate, pulse, vibratory, vibrate, flick, flutter, flap, shimmy, pulsate"
408,剥削,bōxuè,exploit
409,肥,féi,"fertile, fat, fertilize, rich"
410,约谈,yuētán,schedule a meeting
411,苦难,kǔnàn,"suffering, misery, distress"
412,投降,tóuxiáng,"surrender, capitulate"
413,省思,xǐngsī,introspect
414,吃掉,chīdiào,"polish_off, wipe out, annihilate, consume (food)"
415,沈默,chénmò,"reticent, taciturn, silent"
416,交流道,jiāoliúdào,slip road
417,好事,hǎoshì,"an act of charity, alms, good deed/turn, good turn, good works, turn, good deed"
418,波兰,pōlán,Poland
419,因缘,yīnyuán,"principal and secondary causes, silver dollar, predestined relationship, opportunity, chance"
420,吸血鬼,xīxiěguǐ,"bloodsucker, lamia, vampire, leech, Dracula"
421,初中,chūzhōng,"junior high school, junior_high_school, junior middle school, junior high"
422,为由,wéiyóu,for the reason of...
423,烈酒,lièjiǔ,"strong drink, hard drink, grog, tipple, aqua vitae, firewater, poison, spirits, tanglefoot, rozener, John Barleycorn, hard liquor, hooch, tangle-legs, short, spirit, ardent_spirits, strong_drink, knockdown, ardent spirits, liquor, booze, hard_drink, eyewater"
424,约谈,yuētán,schedule a meeting
425,沼泽,zhǎozé,"sump, cienaga, curragh, marshland, moss, vlaie, peat bog, morass, moorland, fen, slough, bog, fenland, marish, swamp, marsh, mere, moor"
426,计算机,jìsuànjī,"counter, arithmometer, calculating machine, calculating_machine, computer, calculator"
427,省思,xǐngsī,introspect
428,抽籤,chōuqiān,draw/cast lots
429,挥,huī,"brandish, wipe off/away, command (an army), scatter, disperse, squander (money/etc.)"
430,陌生人,mòshēngrén,"unco, alien, stranger, outcomer, outlander, foreigner, unknown"
431,香槟,xiāngbīn,"Champagne, champagne"
432,服从,fúcóng,"obey, submit (oneself) to, be subordinated to"
433,枕头,zhěntou,pillow
434,飞翔,fēixiáng,"wheel, circle in the air, hover, fly"
435,侮辱,wǔrù,"insult, humiliate"
436,首相,shǒuxiàng,prime minister
437,分担,fēndān,share responsibility for
438,反观,fǎnguān,"look_back, look at sth. from different aspect"
439,功利,gōnglì,"utility, material gain"
440,分,fēn,"distribute, allot"
441,人世,rénshì,"the human world, human world"
442,巨,jù,"huge, gigantic"
443,考核,kǎohé,examination
444,本领,běnlǐng,"address, proficiency, skill, knack, ability, capability, flair"
445,生育,shēngyū,"give birth to, bear"
446,天命,tiānmìng,"Destiny, dispensation, destiny, vocation, the mandate of heaven, kismet, Fate, mandate of heaven, manifest destiny, fate, God's will"
447,田园,tiányuán,"pastoral, fields and gardens, homestead, countryside, geoponics"
448,公务,gōngwù,"public service, public affairs, official business"
449,分担,fēndān,share responsibility for
450,公债,gōngzhài,"government_bond, Treasury bond, government bond, fund, public loan, security, loan, government loan"
451,损坏,sǔnhuài,"damage, injure"
452,月球,yuèqiú,"luminary, moon"
453,太阳能,tàiyángnéng,"solar_energy, solar power, solar_power, solar energy"
454,缩减,suōjiǎn,"reduce, cut"
455,键,jiàn,"key (of piano/computer/etc.), bond, bolt (of door)"
456,觉,jiào,sleeping
457,镇压,zhènyā,"suppress, repress, put down, execute (counterrevolutionary)"
458,灌输,guànshū,"instill into, imbue with, teach, impart"
459,大规模,dàguīmó,"large-handed, on large-scale, largely"
460,大街,dàjiē,"calzada, thoroughfare, prado, avenue, high street, boulevard, street, main street"
461,共产,gòngchǎn,communist
462,回教,huíjiào,"Moslemism, Islam, Mohammedanism, Islamism"
463,心智,xīnzhì,"intelligence, psyche, mental, wit, mental capacity, brain, mentality, wisdom, learning ability, brainpower"
464,下手,xiàshǒu,"put one's hand to, start, set about, set to, start"
465,大伙,dàhuǒ,"us, we, we all, everyone"
466,出海,chūhǎi,"outstand, go to or put out to sea, put out to sea, go to sea"
467,打断,dǎduàn,"fragment, disrupt, desist_from, cut_off, put_in, cut off, put in, discontinue, break up, cut short, barge in, punctuate, chime in, break_in, break in, butt in, interruption, burst_in_on, interpellate, cut in, break, interrupt"
468,大大小小,dàdàxiǎoxiǎo,"all sorts/kinds, various"
469,登陆,dēnglù,"land, disembark"
470,天色,tiānsè,"sky, time of day, color of sky, weather"
471,滴,dī,m.[general]
472,歌坛,gētán,vocal circle/group
473,顽皮,wánpí,"naughty, mischievous"
474,歌舞,gēwǔ,song and dance
475,绵延,miányán,"continuing, be continuous, stretch long and unbroken"
476,适宜,shìyí,"fit, accommodate, befit, suitable, suit, appropriate"
477,精进,jīngjìn,"energetic, aggressive, enterprising"
478,节庆,jiéqìng,"fete, fiesta, feast, festival"
479,喜好,xǐhào,"like, love, be fond of"
