,Simplified,Pinyin,Meaning
42,构造,gòuzào,"constitution, configuration, make-up, build, anatomy, construction, structure, tectonic, fabric, compages, making, contexture, texture, conformation, apparatus, formation, architecture, makeup"
43,热情,rèqíng,enthusiastic
44,必定,bìdìng,"inevitably, sure, for sure, by all means, needs, necessarily, sure enough, sure as shooting, be sure to, surely, certainly, of necessity, for certain"
45,水平,shuǐpíng,"level, horizontal, grade, degree, standard, horizontality"
46,比赛,bǐsài,compete in a game/activity/match
47,在乎,zàihū,"care about, take ... to heart, lie in, rest with, worry, care, mind"
48,协议,xiéyì,agreement
49,编制,biānzhì,authorized staff/force
50,平面,píngmiàn,"smooth, planar, planeness, plane, tabulate, level, flatness, two-dimensionality, table, sheet, horizontal surface, flat"
51,刚好,gānghǎo,"exact, just right"
52,彭,péng,Surname
53,放心,fàngxīn,"disburden, set one's mind at rest, set one's mood at rest, be at ease, feel relieved, rest assured"
54,含有,hányǒu,"have, involve, infer, imply, tinge, include, number, carry, contain"
55,停留,tíngliú,stay for a time or at a place
56,停车场,tíngchēchǎng,"parking_lot, parking area, parking, car_park, parking lot, car park, halt, yard, park"
57,停留,tíngliú,stay for a time or at a place
58,售价,shòujià,"asking price, selling price, selling_price, sell price, price"
59,解除,jiěchú,"remove, relieve, get rid of"
60,照,zhào,"shine, illuminate"
61,无形,wúxíng,invisible
62,违法,wéifǎ,"illegal, be illegal, offend, violate, violate law, transgress, illegitimate, break the law"
63,解除,jiěchú,"remove, relieve, get rid of"
64,北方,běifāng,"norland, septentrion, compass north, northern part of country, northernness, northern, magnetic north, northward, north, the North, the northern part of the country"
65,感觉到,gǎnjuédào,"become aware, feel, sense"
66,打击,dǎjí,"stun, frustration, blow"
67,幢,chuáng,"Buddhist stone pillar, ancient streamer, ancient pennant, ancient pennant/streamer, m.[general],"
68,模糊,móhú,"dim, fade, befog, blur, mix up, slur, fade out, blear, confuse, obscure"
69,对抗,duìkàng,"baulk, pit, combat, antagonise, encounter, counterwork, countervail, counteract, opposition, resistance, cope, breast, defend, fight, stem, play, battle, fight down, meet, fight back, antagonize, face, confront, front, oppose, contradict, controvert, balk, resist, jib, countercheck, take on, counterbalance, match"
70,驻,zhù,"halt, stay, be stationed at"
71,会场,huìchǎng,"assembly_hall, fraternity house, conference, assembly hall, conference/assembly hall, theater, meeting-place, chapterhouse, meeting place, venue, conference hall, frat house"
72,赢,yíng,"lick, beat, whip, gain, capot, win"
73,负,fù,"betray, abandon, go against"
74,景,jǐng,"view, Jing, shot, routine, bit, act, number, situation, scene, scenery, Surname, turn, condition"
75,回馈,huíkuì,"reward, feedback"
76,歧视,qíshì,"treat with bias, despise"
77,昆虫,kūnchóng,"bug, creeper, hexapod, coreid, insect, dor, coreid bug"
78,原料,yuánliào,"making, stuff, feedstock, ingredient, primary, raw_material, fodder, material, staple, raw material"
79,歧视,qíshì,"treat with bias, despise"
80,被迫,bèipò,"forced, be forced, be compelled/forced, be compelled"
81,云,yún,cloud
82,邮件,yóujiàn,"mail, postal items, V-mail, mailing, postal matter, post, postbag, posting"
83,守,shǒu,"guard, defend, keep watch"
84,下来,xiàlái,[aspect]
85,枪,qiāng,"rifle, gun"
86,剑,jiàn,"sword, skewer, fox, sabre, steel, snickersnee, brand, bilbo, saber, blade, glaive, falchion"
87,课外,kèwài,"extracurricular, outside class, after school"
88,宁静,níngjìng,"peaceful, tranquil, quiet"
89,论,lùn,"discuss, talk about, consider, regard, mention, determine, decide on, discourse"
90,编,biān,"group, arrangement, arrange, invent, entwine, weave, organize, edit, compilation, write, invention, pleach, cook up, plait, make up, braid, raddle, fabricate, compose, compile, fabrication"
91,分组,fēnzǔ,divide into groups
92,预测,yūcè,"calculate, forecast"
93,一同,yītóng,together
94,密集,mìjí,"concentrated, crowded together"
95,代替,dàitì,"fill in, replace, supply, supersede, replacement, substitute for, surrogate, oust, substitute, stand_in, stand in, cover, supplant, take the place of, fill_in, sub"
96,凡是,fánshì,conj.: whatever
97,开办,kāibàn,"open, set up, start (business/etc.)"
98,意志,yìzhì,"volition, will, zap, determination, pleasure, heart, willpower"
99,创造力,chuàngzàolì,"imagination, creativeness, creative power, numen, device, creativity, Shakti, originality, ability, ingenuity, creative ability, wallop, creative power/ability"
100,开办,kāibàn,"open, set up, start (business/etc.)"
101,猜,cāi,"guess, conjecture, speculation, suspect, put_on, speculate"
102,晚间,wǎnjiān,"(in the) evening, night, in the evening, evening, (at) night, at night"
103,密集,mìjí,"concentrated, crowded together"
104,挣扎,zhēngzhá,"pull, buffet, flounder, labour, scrabble, struggle, worry, twist, grapple, tug, baffle, touse, wallow, flounce, writhe, welter, agonize"
105,瓶,píng,"cruse, flask, vase, bottle, ninepin, jug, jar, pot, ampulla, m.[container],"
106,美金,měijīn,"buck, dollar, U.S. dollar"
107,挖,wā,"scrape, scoop up, scoop, pick, excavate, excavation, grub, lift out, take up, scoop out, dig, grave"
108,投手,tóushǒu,"pitcher, twirler, hurler, caster, bowler"
109,归,guī,"return ... to, put in sb.'s charge, take refuge, turn over to, return sth. to, come together, belong, give back to, marry, converge, return, take refuge (in Buddha/etc.), go back to"
110,发明,fāmíng,"invent, expound"
111,分组,fēnzǔ,divide into groups
112,考察,kǎochá,"inspect, make on-the-spot investigation, observe and study"
113,惊讶,jīngyà,"amazed, astounded"
114,听众,tīngzhòng,"auditor, listener, hearer, audience, auditory, gallery, listeners"
115,惊讶,jīngyà,"amazed, astounded"
116,不可以,bùkěyǐ,"cannot, should not, must not"
117,考察,kǎochá,"inspect, make on-the-spot investigation, observe and study"
118,外国人,wàiguórén,"tramontane, gaijin, outlander, foreigner, alien, stranger, foriegner, uitlander, noncitizen, malihini"
119,工资,gōngzī,"earning, hire, remuneration, screw, laborage, pay, paycheck, wages, earnings, pay_packet, salary, wage_scale, differential, wage"
120,平台,píngtái,"patio, terrace, hathpace, platform"
121,模样,móyàng,"sign, air, aspect, form, look, front, appearance, shape, suggestion"
122,说到,shuōdào,"touch_on, touch on, mention, refer to"
123,遥远,yáoyuǎn,"distant, faraway, remote"
124,豪华,háohuá,"luxurious, sumptuous"
125,交,jiāo,"associate with, make friends, fall in with, mate"
126,心力,xīnlì,"study, mental and physical efforts, mental and physical effort, work"
127,决赛,juésài,"runoff, fight-off, cup_final, playoff, cup final, match_game, finals, final, run-off"
128,剩,shèng,"leave, be left (over), surplus, remnant, be left, remain"
129,安慰,ānwèi,"comfort, console"
130,取向,qǔxiàng,orientation
131,两性,liǎngxìng,"amphiprotic, hermaphroditic, both sexes, bi, amphoteric"
132,度过,dùguò,"pass, spend (time/etc.)"
133,哇,wā,particle: formed by linking syllable ending in u-sound and the final particle a
134,哈哈,hāhā,"sound of laughter, haha"
135,笑容,xiàoróng,"grinning, smiling expression, laugh, smiling, a smile, a smiling face, smile, grin"
136,专用,zhuānyòng,use for special purpose
137,把握,bǎwò,grasp firmly
138,扩张,kuòzhāng,"expand, enlarge, extend, dilate"
139,载,zài,"transport, fill"
140,伤心,shāngxīn,"injure, offend, broken-hearted, be sad, pierce, hurt, grieved, sad, spite, aggrieve, grieve, be grieved, sadden, smart, wound"
141,尽,jìn,"to the greatest extent, utmost"
142,疑问,yíwèn,"interrogation, enquiry, question, interrogatory, demand, dubiousness, inquiry, interrogative, interrogative mood, doubtfulness, query, quaere, doubt"
143,遵守,zūnshǒu,"honour, comply with, obey, keep, hold back, abide, keep back, comply, observe, abide_by, observance, abide by, respect, restrain, honor"
144,介面,jièmiàn,interface
145,共和国,gònghéguó,"commonweal, commonwealth, republic"
146,下雨,xiàyǔ,rain
147,感受,gǎnshòu,"be affected by, experience, feel"
148,扩张,kuòzhāng,"expand, enlarge, extend, dilate"
149,示范,shìfàn,"demonstrate, exemplify, exhibit"
150,大战,dàzhàn,"war, world war"
151,定位,dìngwèi,orientate
152,亮,liàng,"bright, light, loud and clear"
153,示范,shìfàn,"demonstrate, exemplify, exhibit"
154,间接,jiànjiē,"collaterally, indirect, collateral, indirectly, roundabout, secondhand"
155,侦办,zhēnbàn,investigate (crime)
156,特有,tèyǒu,"characteristic, especial"
157,消除,xiāochú,"smooth, lull, removal, cancel, eradicate, rase, to clear up, turn back, counteract, iron_out, wipe, drive off, abate, die, eliminate, drive away, obviate, avoid, exorcise, chase away, wipe out, annihilate, run off, unblock, drive out, stamp out, kill, lift, disarm, get rid of, slake, rid of, decimate, to remove, demagnetize, undo, to clear, sublate, carry off, blue-pencil, exterminate, sa"
158,区分,qūfēn,"section, demarcate, compart, sectionalize, zone, screen, compartmentalize, individuate, differentiation, distinguish, mark off, secern, district, segment, separate, mark, sieve, differentiate, mark out, classify, divide, ramify, screen out, set apart, sort"
159,评价,píngjià,"estimate, diagnoses, appraisal, mark, rating, rate, value, assessment, esteem, image, estimation, valuation, appraisement, opinion, rank, remark, evaluation"
160,发掘,fājué,"excavate, unearth, explore"
161,外销,wàixiāo,sell abroad or elsewhere within country
162,还可以,háikěyǐ,"can, may"
163,外销,wàixiāo,sell abroad or elsewhere within country
164,不宜,bùyí,be unsuitable
165,不如,bùrú,conj.: it would be better to
166,随即,suíjí,"therewith, thereupon, presently, hereupon, soon after that, immediately"
167,随意,suíyì,as one pleases
168,踊跃,yǒngyuè,"enthusiastical, leap, jump, eager"
169,能量,néngliàng,"energy, capabilities"
170,接下来,jiēxiàlái,"next, immediately after"
171,接到,jiēdào,"welcome, receive, meet"
172,治安,zhìān,"peace, order, public security, police, public order, security, public order/security"
173,指示,zhǐshì,"directive, instructions"
174,同步,tóngbù,synchronize
175,茶叶,cháyè,"tea, tea leaf, tea leaves"
176,骗,piàn,"chisel, cozen, palter, green, cheat, slang, put one over, defraud, befool, trick, jockey, victimize, outjockey, take in, leap on a horse, gum, put on, pigeon, humbug, betray, fob, flimflam, dupe, gyp, illude, mulct, deceit, put one across, rook, gull, bunco, hoodwink, beguile, diddle, fox, bilk, swindle, cod, fool, do, nobble, sting, deceive, con"
177,富裕,fùyū,"plentiful, abundant, rich"
178,优美,yōuměi,"graceful, exquisite"
179,压抑,yāyì,"constrain, inhibit"
180,优美,yōuměi,"graceful, exquisite"
181,预料,yūliào,"expect, predict, anticipate"
182,剧团,jùtuán,"opera troupe, theater company, showman, rep, theatrical company, troupe, company"
183,跨,kuà,"lead, go, bestride, straddle, go beyond, run, pass, extend, stride, ride, cut across, step"
184,压抑,yāyì,"constrain, inhibit"
185,开闢,kāipì,"open/set up, start, build (road)"
186,没关系,méiguānxì,"it doesn't matter, never mind"
187,机能,jīnéng,function
188,名叫,míngjiào,"be called, be known as"
189,开闢,kāipì,"open/set up, start, build (road)"
190,念头,niàntóu,"thing, purport, spirit, intention, idea, vision, notion, thought, train, intent"
191,富裕,fùyū,"plentiful, abundant, rich"
192,改良,gǎiliáng,"improve, ameliorate"
193,利,lì,"profit, interest, advantage, benefit"
194,核准,hézhǔn,"check and approve, ratify"
195,接收,jiēshōu,"receive, take over (property/etc.)"
196,核准,hézhǔn,"check and approve, ratify"
197,接收,jiēshōu,"receive, take over (property/etc.)"
198,相似,xiāngsì,"resemblance, alike, be alike, be similar/alike, match, be similar, resemble"
199,闻,wén,smell
200,贫穷,pínqióng,"poor, needy"
201,动物园,dòngwùyuán,"zoological_garden, zoo, zoological garden, menagerie"
202,接近,jiējìn,"intimate, close"
203,饿,è,starve
204,瞧,qiáo,"look at, lay eyes on, behold, see, look, glaum, regard"
205,诸如,zhūrú,"such as, all are alike"
206,分公司,fēngōngsī,branch
207,总统府,zǒngtǒngfǔ,The Office of the President
208,同情,tóngqíng,sympathize with
209,贫穷,pínqióng,"poor, needy"
210,镇公所,zhèngōngsuǒ,"town_hall, public affairs office of town, town hall, townhouse, tolbooth"
211,沙漠,shāmò,desert
212,放下,fàngxià,"set_down, set down, lay/put down, lay, lower, lay_down, draw, lay down, dismount, put_down, plank, drop_away, deposit, digress, drop_off, depose, put down, place down"
213,音色,yīnsè,"tone color, clang, speech, colour, tone, timbre, quality, timber, color"
214,相较,xiāngjiào,compare
215,拖,tuō,"pull, drag, haul"
216,好友,hǎoyǒu,"peer, chum, crony, great friend, good friend, brick"
217,吸,xī,"drop, absorption, absorb, draw to oneself, sip, breathe in, attraction, suck, suck up, sup, draw_in, puff, drink, inhale, attract, inhaust"
218,同情,tóngqíng,sympathize with
219,走势,zǒushì,"alignment, run, tendency, trend"
220,西洋,xīyáng,"West, New World, the Western world, the West, occident, western hemisphere"
221,书目,shūmù,"booklist, bibliography, title catalogue, bibliology"
222,资本主义,zīběnzhǔyì,"capitalistic, capitalist economy, capitalism"
223,增,zēng,"add, increase, rise, gain"
224,历程,lìchéng,"appendage, kinetics, process, journey, course, outgrowth"
225,浓厚,nónghòu,"thick, strong, dense, rich, pronounced"
226,失业,shīyè,lose one's job; be out of work
227,视野,shìyě,"visual_field, eyeshot, view, ken, horizon, visual field, field of regard, purview, field of view, coast, sight, eyesight, field of vision, field, sight-shot, eyereach"
228,永恒,yǒnghéng,"eternalize, perpetual, eternize, eternal"
229,同志,tóngzhì,"brother, pal, chum, crony, coterie, confrere, colleague, frater, tovarisch, compeer, paisano, brotherhood, copemate, brethren, sidekick, fellow, buddy, tavarish, comrade"
230,中年,zhōngnián,middle age
231,极了,jíle5,"extremely, very"
232,清大,qīngdà,National Tsing Hua University
233,记录,jìlù,record
234,风味,fēngwèi,"race, gust, special flavour, savor, flavor, savour, local color, relish, sapor, spice, tasting, local colour, smack, gusto, snack, savoriness, special flavor, flavorsomeness, zest, taste"
235,合格,hégé,"measure_up, reach standard, measure up, qualify, nail, make it, pass, qualified"
236,身子,shēnzi5,body
237,百姓,bǎixìng,"common_people, civvy, vulgus, crowd, common people, husbandman"
238,太空,tàikōng,"firmament, outer space"
239,大力,dàlì,"vigorously, energetically"
240,勉强,miǎnqiǎng,do with difficulty
241,外来,wàilái,"foreign, adventive, externally, incoming, external, outside, exotic"
242,失业,shīyè,lose one's job; be out of work
243,生病,shēngbìng,"come down, ail, fall ill, traik, sick, sicken"
244,钢琴,gāngqín,"forte-piano, piano, pianoforte"
245,号码,hàomǎ,"pressmark, call mark, identification number, (serial) number, call number, no., number"
246,另,lìng,"conj.: in addition, besides"
247,口味,kǒuwèi,"a person's taste, flavor of food"
248,天生,tiānshēng,"inbred, born"
249,回头,huítóu,"turn one's head, turn round, repent"
250,心想,xīnxiǎng,"think, assume"
251,包装,bāozhuāng,"package, packing, packaging"
252,对待,duìdài,"treat, approach, handle"
253,遊,yóu,"travel, rove"
254,感激,gǎnjī,feel grateful/indebted
255,单,dān,"singly, alone"
256,师,shī,"teacher, master"
257,学科,xuékē,"study, area, school subject, science, subject field, subject, course, subject area, discipline, branch of learning, course of study, field of study, branch of knowledge, field"
258,感激,gǎnjī,feel grateful/indebted
259,弟子,dìzǐ,"scholar, pupil, disciple, student, follower, child, adherent, youngster"
260,招生,zhāoshēng,recruit students
261,好人,hǎorén,"a healthy person, good person, goodman, sb. who tries to get along with everyone, bawcock, good, agreeable individual, good egg, a person who tries to get along with everyone (oft"
262,倒,dào,pour
263,捕,bǔ,"prawn, seizure, seize, arrest, catch"
264,招生,zhāoshēng,recruit students
265,针,zhēn,"needle, pin, stitch, injection, shot, acupuncture"
266,温度,wēndù,"barothermohygrograph, temperature, barothermohygrogram"
267,长久,chángjiǔ,"permanently, long, for a long time"
268,运动,yùndòng,"move, turn around, arrange things through pull"
269,焦虑,jiāolù,"anxious, apprehensive"
270,支出,zhīchū,"defrayal, payout, outgo, outgoing, expense, disbursal, expenditure, outlay, disbursement"
271,焦虑,jiāolù,"anxious, apprehensive"
272,上班族,shàngbānzú,office worker
273,一律,yīlù,"equally, without exception"
274,转移,zhuǎnyí,"shift, transfer, divert, change, transform"
275,关注,guānzhù,"follow with interest, pay close attention to"
276,响,xiǎng,make a sound
277,党部,dǎngbù,local party committee
278,转移,zhuǎnyí,"shift, transfer, divert, change, transform"
279,硬,yìng,"hard, stiff, firm, tough, obstinate"
280,洗澡,xǐzǎo,"have a bath, lave, take a bath, tub, bath, wash, bathing, bathe"
281,关注,guānzhù,"follow with interest, pay close attention to"
282,老鼠,lǎoshǔ,"mouse, rat"
283,昂贵,ángguì,"cost, costly, expensive"
284,决议,juéyì,resolution
285,动员,dòngyuán,"mobilize, arouse"
286,在场,zàichǎng,"present, be present, be on the spot, stand_by, spot, be on the scene"
287,兼顾,jiāngù,"take account of, give consideration to, deal with two or more things"
288,相比,xiāngbǐ,"liken, equate, compare, comparison"
289,后果,hòuguǒ,"aftereffect, aftermath, consequent, wake, backwash, sequel, consequence, subsequence"
290,混合,hùnhé,"associate, immingle, muddle, incorporate, mixed, meld, confect, amalgamate, blend in, fuse, interblend, hybrid, admix, mingle, wuzzle, mix, shuffle, mercurify, engraft, concoct, interlace, interweave, immix, go, interfuse, mix_up, sophisticate, marry, combine, mix in, conflate, merge, intermix, jumble, commingle, decompound, intermingle, knead, coalesce, interflow, compound, commix, blend,"
291,动员,dòngyuán,"mobilize, arouse"
292,阴影,yīnyǐng,"umbrage, shadow, shadiness, hatching, spectre, hatch, blight, umbra, penumbra, cloud, umber, shade, shadowiness"
293,海峡,hǎixiá,"narrow, channel, straits, gullet, sound, strait, gut"
294,幻想,huànxiǎng,"imagine, daydream, reverie, stargaze, fantasticate, fancify, dream, visionary, fancy, illusion, fantasize, chimerical, woolgather, illusory, fantasy"
295,剧场,jùchǎng,theater
296,衡量,héngliáng,"weigh, measure, judge"
297,频率,pínlù,"relative frequency, frequency, periodicity"
298,衡量,héngliáng,"weigh, measure, judge"
299,亲切,qīnqiè,"cordial, genial, warm"
300,蓝,lán,blue
301,大胆,dàdǎn,"courageous, audacious, venture"
302,议会,yìhuì,"Sanhedrin, general assembly, Cortes, Knesset, diet, senate, Majlis, duma, law-makers, forum, junta, parliament, legislature, meeting place, parliamentary, assembly, president, house, legislative assembly"
303,语意,yǔyì,semantic
304,主因,zhǔyīn,"main reason, major cuase"
305,团员,tuányuán,member (of delegation/organization/etc.)
306,亲切,qīnqiè,"cordial, genial, warm"
307,世,shì,"generation, life, lifetime, age, era, epoch, world, Surname"
308,激动,jīdòng,"boil, tingle, kindle, seethe, toss, inflammatory, tizz, excited, fire, throb, carry_away, ferment, effervesce, stirred, bespirit, heat, agitation, hound, agitate, invigorate, burnt, actuate, inflame, stir, agitated, excite, move, impassion"
309,村民,cūnmín,"village, villager, cottager"
310,投,tóu,"heave, agree with, throw, drop, mail, join, toss, go to, cater to, lodge, send, put into, fit in with, flip, peck, pitch, hurtle, betoss, project, deliver, stay, sky, post, cast, delivery, throw into, throw oneself into, hurl, fling, poll, vote"
311,交,jiāo,"hand over, deliver"
312,官,guān,"government official, officeholder"
313,次数,cìshù,"number of times, frequancy, frequency, absolute frequency, legal case, oftenness, lawsuit, time, frequence"
314,恐怖,kǒngbù,"fearful, horrible"
315,弱,ruò,"infirm, a little less than, young, inferior, weak, a bit less than, feeble"
316,屋顶,wūdǐng,"roofing, rigging, rooftree, cap, roof top, house top, rooftop, attic, roof, housetop"
317,迷宫,mígōng,"inner ear, maze, labyrinth, internal ear"
318,批判,pīpàn,criticize
319,民生,mínshēng,"the people's livelihood, people's livelihood"
320,规画,guīhuà,"plan, program"
321,唯,wéi,"only, alone, but"
322,感,gǎn,"feel, sense, move, touch, be affected (by cold)"
323,赏,shǎng,"admire, enjoy"
324,绿色,lùsè,"verdure, green, greenness, green color, verdancy, bice, virescence, vert, pistachio, viridity"
325,遗憾,yíhàn,"regret, pity"
326,灵活,línghuó,"nimble, agile, flexible, elastic"
327,内阁,nèigé,cabinet
328,山区,shānqū,mountain area
329,做成,zuòchéng,"put, form, crimp, accomplish, successfully complete, model"
330,观光客,guānguāngkè,"rubberneck, dude, tripper, traveler, excursionist, visitant, holidaymaker, tourist, tourism, sightseer"
331,出,chū,"go/come out, exit"
332,老先生,lǎoxiānshēng,"deary, dearie, old gentleman"
333,灵活,línghuó,"nimble, agile, flexible, elastic"
334,研习,yánxí,examine and study
335,周边,zhōubiān,"circumference, computer peripheral, environs, peripheral device, precinct, peripheral, periphery, perimeter"
336,希腊,xīlà,"Ellas, Hellas, Greece, Greek"
337,姓名,xìngmíng,"surname and personal name, name, full name"
338,抓住,zhuāzhù,"clutch, grip, grab, kep, nail, grapple, get_hold_of, catch, seize hold of, take_hold_of, grip sb.'s attention, cleek, grasp, hold, nab, seize, tackle, capture, snatch, take, take hold of, prehend, catch hold of, glaum, hold on"
339,合适,héshì,"set, fit, accommodate, befit, suitable, right, appropriate, belong, beseem, becoming, suit"
340,老百姓,lǎobǎixìng,"plebe, populace, mister, civilians, roturier, ordinary people, common people"
341,再见,zàijiàn,"good-bye, see you again"
342,指责,zhǐzé,"censure, criticize"
343,限于,xiànyū,"be confined, restrict, be limited to, be confined to, limited to"
344,研习,yánxí,examine and study
345,车祸,chēhuò,"smash-up, road accident, traffic accident"
346,曝光,pùguāng,expose
347,优惠,yōuhuì,give preferential/special treatment
348,无意,wúyì,"have no intention, not be inclined to, have no intention to"
349,优惠,yōuhuì,give preferential/special treatment
350,涨,zhàng,"rise, go up (of water/prices/etc.)"
351,实务,shíwù,matter-of-factness
352,潜能,qiánnéng,"latent, possibility, latent energy, potency, ability, latent ability, ergal, potentiality, latent energy/ability, potential"
353,闻名,wénmíng,"known, famous, know sb. by repute, be familiar with sb.'s name, well-known, famed"
354,挤,jǐ,"squeeze, press"
355,说完,shuōwán,after saying something
356,歹徒,dǎitú,"evildoer, ruffian, scoundrel"
357,职位,zhíwèi,"slot, appointment, character, berth, post, archbishopric, job, ministry, situation, office, position, spot, billet, place, posting"
358,排列,páiliè,"arrange, put in order"
359,曝光,pùguāng,expose
360,师资,shīzī,"persons qualifies to teach, teachers, person qualified to teach"
361,菲律宾,fēilùbīn,"ylang-ylang, Philippine Islands, Philippine, Philippines"
362,妈祖,māzǔ,a deity of China
363,名义,míngyì,"title, name"
364,客气,kèqì,"be polite, stand on ceremony"
365,服饰,fúshì,"neckline, attire, furnishings, costume, dress, trappings, finery, rig-out, apparel, dress and personal adornment"
366,哎,āi,"dissatisfaction, of surprise, swounds, warning"
367,恐吓,kǒnghè,"threaten, intimidate"
368,专心,zhuānxīn,"occupy, immerge, pore, zoom in, concentrate, betake, dive, pay attention, concentrate effort, advert, give ear, center, rivet, concentrate one's attention, focus, hang, pay heed, devote, apply, be absorbed, be absorbed in, centre, attend"
369,排列,páiliè,"arrange, put in order"
370,执政党,zhízhèngdǎng,ruling party
371,完毕,wánbì,"end, conclude, complete, completion, finish"
372,气,qì,"anger, get angry"
373,卡通,kǎtōng,cartoon
374,犀牛,xīnióu,"rhino, rhinoceros"
375,遍,biàn,m.[activity]
376,诞生,dànshēng,"be born, come into being, emerge"
377,出售,chūshòu,"offer for sale, sell"
378,用品,yòngpǐn,"succedaneum, articles for use, replacer, substitute"
379,欠缺,qiànquē,"lack, be deficient, be short of"
380,自由化,zìyóuhuà,liberalize
381,住户,zhùhù,"denizen, resident, inhabitant, building, household, dweller"
382,台北县,táiběixiàn,Taipei County
383,摆脱,bǎituō,"disembroil, free oneself, cast/shake off, fling_off, break away from, shake_off, disinvolve, disentangle, shake off, shift, wangle, cast off, extricate oneself from, shake, waste, free oneself from, disburden, ditch, manage, lose, cast, unload, extricate oneself, prescind, unship, slip, wriggle, shunt"
384,供应商,gōngyìngshāng,"outfitter, provide merchant"
385,讲究,jiǎngjiù,"be particular about, pay attention to, stress, strive for, backbite"
386,自由化,zìyóuhuà,liberalize
387,命令,mìnglìng,"commend, order"
388,伯伯,bóbó,"uncle-in-law, father's elder brother, uncle"
389,东亚,dōngyǎ,East Asia
390,若要,ruòyào,conj.: if sb. want...
391,笑话,xiàohuà,"joke, jest"
392,胸,xiōng,"thorax, pectus, pectoral, heart, chest, petto, bosom, breast, mind, bust"
393,被害人,bèihàirén,"injured party, dupe, the injured party, victim"
394,启用,qǐyòng,start using/hiring
395,拿来,nálái,"bring, take something for, fetch"
396,带回,dàihuí,"bring, bring_back, take back"
397,启用,qǐyòng,start using/hiring
398,必需,bìxū,need
399,配置,pèizhì,"dispose (troops/etc.), deploy"
400,辅仁,fǔrén,FuJen Catholic University
401,提早,tízǎo,"earlier than planned or expected, in advance, shift to an earlier time"
402,温柔,wēnróu,gentle and soft
403,谈判,tánpàn,"negociate, treat, talks, negotiation, negotiate, talk terms, parley, palaver, negotiations, imparl"
404,头痛,tóutòng,"worry, have a headache"
405,上级,shàngjí,higher level/authority
406,一度,yīdù,once
407,配置,pèizhì,"dispose (troops/etc.), deploy"
408,诸多,zhūduō,"det.: a good deal, a lot of"
409,电动,diàndòng,electric
410,助益,zhùyì,"good, benefit, help and profit"
411,公职,gōngzhí,public office/employment
412,冷静,lěngjìng,"sober, calm"
413,鬼,guǐ,"sinister plot, apparition, dirty trick, sprite, spook, spectre, revenant, spirit, wraith, genie, bogle, specter, ghost"
414,冷静,lěngjìng,"sober, calm"
415,合唱团,héchàngtuán,"choir, chorus, ensemble, glee club"
416,求学,qiúxué,"study, attend school"
417,重量,zhòngliàng,"avoirdupois weight, weight, ponderousness, heaviness, loading, heft, ponderosity, avoirdupois, heftiness, massiveness, gravity, lading"
418,长荣,chángróng,Evergreen Group
419,陌生,mòshēng,"strange, unfamiliar"
