,Simplified,Pinyin,Meaning
124,男士,nánshì,"gent, man, men, menfolk"
125,悲观,bēiguān,pessimistic
126,郊区,jiāoqū,"suburban district, outskirts"
127,准备好,zhǔnbèihǎo,get ready
128,祭典,jìdiǎn,"memorial services, fiesta, sacrificial rites"
129,脱,tuō,"cast/come off, shed, take off, escape from"
130,情事,qíngshì,"affair, matter, thing, business"
131,理,lǐ,"take notice of, pay attention to"
132,持股,chígǔ,own stock
133,面,miàn,"entire area (as opposed to particular points), surface, top, cover, face"
134,油价,yóujià,oil/gasoline/petrol price
135,众,zhòng,every
136,祇,zhǐ,only
137,宝贝,bǎobèi,"treasured object, treasure, darling, baby, cowry, good-for-nothing, odd character"
138,可行性,kěxíngxìng,feasibility
139,平行,píngxíng,"of equal rank, parallel, simultaneous"
140,手脚,shǒujiǎo,"hand and foot, motions (of hands/feet), underhand method, trick"
141,主机板,zhǔjībǎn,mother_board
142,宝,bǎo,treasure
143,山水,shānshuǐ,"mountains and water, landscape, landscape painting"
144,响起,xiǎngqǐ,"ring_out, ring out, speak, sound, start to ring"
145,蓝色,lánsè,"blue, blue (color), blueness"
146,钟头,zhōngtóu,hour
147,纾解,shūjiě,"ease, relieve"
148,重,zhòng,"value, put emphasis/stress on"
149,青,qīng,"nature's color, green, blue, greenish black"
150,急救,jíjiù,"first aid, emergency treatment"
151,表决,biǎojué,(decide by) vote
152,相差,xiāngchā,differ
153,探亲,tànqīn,"go home to visit one's family, visit family, go to visit one's relatives"
154,阻碍,zǔài,"hinder, block, impede, bar"
155,表决,biǎojué,(decide by) vote
156,消灭,xiāomiè,"eradicate, die out, eliminate, abolish, wipe out, annihilate, kill, slake, decimate, carry off, disappear, exterminate, lapse, expunge, abolition, knock out, quell, destroy, pass away, kill off, deafen, extermination, detruncate, liquidate, snuff_out, snuff out, extirpate, snuff, elimination, perish, discreate, vanish, extinguish"
157,透明,tòumíng,"diaphanous, see-through, crystalline, transparent"
158,连络,liánluò,contact
159,追逐,zhuīzhú,"pursue, chase, seek"
160,不可或缺,bùkěhuòquē,indispensable
161,急救,jíjiù,"first aid, emergency treatment"
162,同,tóng,be same as
163,壮,zhuàng,"strong, make better, sturdy, magnificent, robust, make stronger, strengthen, make better/stronger"
164,老,lǎo,"always (doing sth.), for a long time, very"
165,来回,láihuí,"go to a place and come back, make a round trip, make a return journey, move to and fro, move back and forth, go to and fro"
166,君子,jūnzǐ,"a man of noble character, man of noble character, gentleman, man of worth, sovereign"
167,放学,fàngxué,"have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)"
168,判决,pànjué,adjudge
169,射,shè,"loose, discharge in a jet, insinuate, go off, allude to, discharge, send out, fire, firing, shooting, emit, deliver, shoot"
170,合,hé,"be equal to, amount to"
171,东海,dōnghǎi,"East China Sea, Donghai Sea"
172,流浪,liúlàng,lead vagrant life
173,阻碍,zǔài,"hinder, block, impede, bar"
174,流浪,liúlàng,lead vagrant life
175,孩童,háitóng,children
176,穿上,chuānshàng,"assume, wear, put_on, slip, enclothe, put on"
177,异议,yìyì,"remonstrance, dissent, expostulation, exception, dissidence, protestation, demur, objection, demurrer"
178,判决,pànjué,adjudge
179,整整,zhěngzhěng,"fully, full, whole"
180,心境,xīnjìng,"state/frame of mind, mood"
181,荣总,róngzǒng,Veterans General Hospital
182,纾解,shūjiě,"ease, relieve"
183,优雅,yōuyǎ,"graceful, elegant, gracious"
184,驾驶,jiàshǐ,"drive (vehicle), pilot (ship/plane)"
185,录音,lùyīn,record sound
186,图像,túxiàng,"picture, graph, icon, image"
187,检视,jiǎnshì,overlook
188,遗忘,yíwàng,"misplace, bury, neglect, leave behind, escape, leave, elude, mislay, leave_behind, forget"
189,检视,jiǎnshì,overlook
190,钢,gāng,steel
191,实例,shílì,"example, exemplar, specimen, deuce, instance, concrete example"
192,优雅,yōuyǎ,"graceful, elegant, gracious"
193,山林,shānlín,mountain forest
194,录音,lùyīn,record sound
195,烦恼,fánnǎo,"vexed, worried"
196,追逐,zhuīzhú,"pursue, chase, seek"
197,爱丁堡,àidīngbǎo,Edinburgh
198,期盼,qípàn,look forward to
199,菩萨,púsà,"Buddhist idol, a term applied to a kindhearted person, kindhearted person, Bodhisattva, joss, Buddha, Boddhisatva"
200,驾驶,jiàshǐ,"drive (vehicle), pilot (ship/plane)"
201,距,jù,be apart/away from
202,说服,shuìfú,"persuade, talk sb. over"
203,装饰,zhuāngshì,ornament
204,越南,yuènán,"Viet Nam, Vietnam, nam, Annam"
205,象,xiàng,elephant
206,说服,shuìfú,"persuade, talk sb. over"
207,饼,bǐng,"round flat cake, dumpling, pancake, tortilla, goody, cake, sth. shaped like a cake, a round flat cake"
208,总公司,zǒnggōngsī,"main office, home office, headquaters, head office, main_office, home_office, front office, central office, headquarters"
209,极力,jílì,"sparing no effort, spare no effort, doing one's utmost, do one's utmost to"
210,大赛,dàsài,"race, game, tournament, contest"
211,失落,shīluò,lose
212,观看,guānkàn,"eye, view, watch, spectate, eyeball"
213,全垒打,quánlěidǎ,"fourbagger, round-tripper, swot, swat, home_run, home run, home run (baseball), homer"
214,撰写,zhuànxiě,write
215,无情,wúqíng,"merciless, harden, heartless, ruthless"
216,过关,guòguān,"reach standard, pass a barrier, reach a standard, pass test, pass barrier, pass, go through ordeal, pass a test, go through an ordeal"
217,传奇,chuánqí,"legendry, romance, Tang and Song short stories, Ming and Qing poetic dramas, fable, short_story, legend"
218,散,sàn,break up
219,超商,chāoshāng,convenience store
220,鱼类,yūlèi,"Pisces, fin, fish, race of fishes, fish (as a general category)"
221,准确,zhǔnquè,"accurate, exact, precise"
222,震撼,zhènhàn,"shock, shake"
223,摔,shuāi,"throw, cast/throw down/off, drop, plunge, lose one's balance, off, swing, fall, tumble, throw down, cause to fall and break, cast down, cast, hurtle down, throw off, move backward and forward, fling, break"
224,踏,tà,"tread, trample, stamp, step, step on"
225,震撼,zhènhàn,"shock, shake"
226,增设,zēngshè,"add, add on"
227,采访,cǎifǎng,"cover, interview, gather news"
228,欧,ōu,short name for Europe
229,常态,chángtài,"normal, normalcy, normal conditions, normality, order, conditions, normal behavior/conditions, normal behavior"
230,检举,jiǎnjǔ,"report (offense), inform against (offender)"
231,零件,língjiàn,"section, part, components, spares, spare parts, parts, accessory"
232,潜在,qiánzài,"potential, latent"
233,检举,jiǎnjǔ,"report (offense), inform against (offender)"
234,质量,zhíliàng,"weight, molar, mass, quantity, quality"
235,桥樑,liáng,bridge (lit./fig.)
236,撰写,zhuànxiě,write
237,回答,huídá,answer
238,北韩,běihán,North Korea
239,反倒,fǎndào,"conj.: on the contrary, instead"
240,北美,běiměi,"North_America, North America"
241,主意,zhǔyì,"idea, plan, decision, definite view"
242,亲身,qīnshēn,"in person, personally, first-hand"
243,冰,bīng,ice
244,早餐,zǎocān,"breaker, petit dejeuner, brekker, dejeuner, breakfast, morning tea"
245,失落,shīluò,lose
246,更换,gēnghuàn,"change, replace"
247,改建,gǎijiàn,"reconstruct, rebuild"
248,利息,lìxí,"premium, usury, accrual, interest"
249,中央,zhōngyāng,"center, middle"
250,竹子,zhúzi5,bamboo
251,升高,shēnggāo,"up, hike, ascend, come up, arise, move up, climb, go up, lift, wax, loft, soar, heighten, rise, mount, escalate"
252,波动,bōdòng,"undulate, fluctuate"
253,改建,gǎijiàn,"reconstruct, rebuild"
254,成交,chéngjiāo,"conclude a transaction, clinch a deal, strike a bargain, close a deal"
255,情人,qíngrén,"inamorato, steady, sweetie, Gill, jo, girlfriend, swain, valentine, paramour, turtledove, jill, girl, sweetling, mouse, heart-throb, lassie, truelove, soul mate, flame, ladybird, ladylove, lover, sweetheart, mistress, admirer, hon, lovey, inamorata, honeybunch, turtle, sweeting, bedmate"
256,波动,bōdòng,"undulate, fluctuate"
257,终止,zhōngzhǐ,"stop, end"
258,采访,cǎifǎng,"cover, interview, gather news"
259,终止,zhōngzhǐ,"stop, end"
260,野外,yěwài,"air, out-of-doors, open, outdoors, open air, open country, balefire, field"
261,软硬体,ruǎnyìngtǐ,software and hardware
262,到来,dàolái,arrive
263,规矩,guījǔ,"rule, custom"
264,俗称,súchēng,"be commonly called..., be commonly called, be commonly known as..."
265,况且,kuàngqiě,"conj.: moreover, besides, in addition"
266,风俗,fēngsú,"mores, custom, public decency, manner, institution, ritual, Sunna, manners, rite, guise"
267,到来,dàolái,arrive
268,死者,sǐzhě,"deceased person, dead, deceased, slain, the dead, departed, dead soul, decedent, the dead/departed, the deceased, the departed, dead person"
269,村子,cūnzi5,"small town, village, settlement, hamlet"
270,讨好,tǎohǎo,"conciliate, have one's labor rewarded, blandish, accommodate, toady, oblige, toady to, curry favour with, grease, massage, propitiate, woo, fawn on, sugar, soft-soap, ingratiate, ingratiate oneself with"
271,难忘,nánwàng,"unforgettable, memorable"
272,警分局,jǐngfēnjú,branch office of police bureau
273,艺文,yìwén,art and literature
274,盼,pàn,"hope/long for, expect"
275,解说,jiěshuō,"explain orally, appease"
276,藉口,jièkǒu,"excuse, pretext"
277,发烧,fāshāo,"fever, kindle, feverish, temperature, run a temperature, run a fever, have a fever, have a temperature"
278,堂,táng,m.[event]
279,狭窄,xiázhǎi,"narrow, bottleneck, narrow and limited, cramped"
280,通行,tōngxíng,"pass/go through, be current or of general use"
281,国代,guódài,representative to People's Congress
282,通行,tōngxíng,"pass/go through, be current or of general use"
283,杀害,shāhài,"cut_down, liquidate, killing, kill, slay, cut_off, grease, remove, murder, destroy, do in, waste, ice, knock off"
284,保母,bǎomǔ,baby-sitter
285,林立,línlì,stand in great numbers
286,科长,kēzhǎng,section chief
287,孙子,sūnzi5,"son's son, grandson"
288,筹码,chóumǎ,"counter, jetton, dib, poker chip, chip, bargaining chip, medium_of_exchange"
289,放松,fàngsōng,"relax, slacken, loosen"
290,收购,shōugòu,"purchase, buy"
291,地下室,dìxiàshì,"rumpus_room, soutane, undercroft, rooms built below ground, ground_floor, serdab, cellar, hypogeum, crypt, subterranean, silo, subterrane, souterrain, vault, cellarage, basement"
292,竹东,zhúdōng,Zhu Dong (town in Taiwan)
293,佔地,zhàndì,"cover, cover an area of, occupy (space)"
294,抗体,kàngtǐ,antibody
295,砍,kǎn,"ax, hack, cut, shear, hew, chop_down, whack, carbonado, throw sth. at, hag, fall, chop"
296,向量,xiàngliàng,"vector, vector quantities, vectorial"
297,容许,róngxǔ,"let_in, have, receive, can, permission, permit, allow for, may, adhibit, might, admissive, provide for, admit, concede, cede, leave, suffer, tolerate, allow"
298,存有,cúnyǒu,"harbour, entertain, cherish, harbor, inhere"
299,免,miǎn,"duty-free, be not allowed"
300,放松,fàngsōng,"relax, slacken, loosen"
301,军方,jūnfāng,"armed forces, the military, military"
302,面子,miànzi5,"reputation, face, prestige"
303,视听,shìtīng,"seeing and hearing, audiovisual"
304,收购,shōugòu,"purchase, buy"
305,切,qiē,"cut, slice"
306,显示器,xiǎnshìqì,"monitor, display, caller ID, indicator"
307,迈进,màijìn,"forge ahead, stride forward, advance with big strides"
308,听起来,tīngqǐlái,it sounds like
309,平凡,píngfán,"ordinary, common"
310,口袋,kǒudài,pocket
311,分区,fēnqū,"zone, district"
312,大队,dàduì,"a military group, production brigade, a large number (of)"
313,功,gōng,"meritorious service, exploit, achievement, result, effect, skill"
314,心事,xīnshì,"weight on one's mind, worry"
315,意象,yìxiàng,"imagery, mental picture, thought, picture, idea, impression, image"
316,一般,yībān,alike
317,华丽,huálì,"magnificent, gorgeous"
318,下山,xiàshān,"descend mountain, descend hill"
319,预备,yūbèi,"get ready, dight, set, ready, busk, preparation, store, set up, prepare, line, gear up, provide_for, provide, equip, outfit"
320,华丽,huálì,"magnificent, gorgeous"
321,犹豫,yóuyū,"hesitant, fudge, oscillate, stagger, waver, be irresolute, scruple, irresolute, crane, pause, yo-yo, vacillate, hang, weaken, boggle, swither, dacker, balk, demur, swiver, hesitate"
322,不见了,bújiànle5,"be missing, disappear"
323,殖民,zhímín,"settle, plant, colonize, populate, establish colony, establish a colony"
324,德,dé,Germany
325,对付,duìfù,"counter, deal/cope with, face, confront, cope with, fix, make do, handle, deal, tackle, deal with"
326,奖学金,jiǎngxuéjīn,"burse, stipend, foundation, exhibition, studentship, scholarship"
327,蒋介石,jiǎngjièshí,"Kuomingtang party leader and head of Nat, Kuomingtang party leader and head of Nationalist Government in mainland China and Taiwan, Jiang Jieshi"
328,对照,duìzhào,"contrast, compare"
329,辉煌,huīhuáng,"glorious, effulgent, brilliant"
330,惨,cǎn,"tragic, gloomy, savage, sorrowful, cruel, pitiful, miserable, dark"
331,擅长,shàncháng,"excel, surpass, stand out, be good at, be skilled in, be expert in"
332,黑暗,hēiàn,dark
333,观望,guānwàng,"straddle, pussyfoot, look on (from sidelines), swiver, hesitate, waver, look on, wait and see"
334,媳妇,xífù,"the wife of a relative of the younger generation's, wife of sb. of younger generation, daughter-in-law, son's wife"
335,露天,lùtiān,"in the open air, outdoors"
336,观摩,guānmó,view and emulate
337,韩,hán,Korea
338,招收,zhāoshōu,"recruit, take in"
339,最爱,zuìài,"favor, most favored"
340,移,yí,"removal, alteration, transform, shift, remove, movement, alter, change, move"
341,显,xiǎn,"demonstrate, be obvious, manifest, appear, display, show"
342,描绘,miáohuì,"depict, describe, portray"
343,当兵,dāngbīng,"soldier, serve in army, serve in the army, be a soldier"
344,书面,shūmiàn,"written, in written form, in writing"
345,商家,shāngjiā,manager (of inn/shop/etc.)
346,偏,piān,"stubbornly, on the contrary"
347,彗星,huìxīng,comet
348,添,tiān,"add, fuel, appose, addition, increase, have a baby"
349,盼望,pànwàng,"hope/long for, look forward to"
350,描绘,miáohuì,"depict, describe, portray"
351,盆地,péndì,"pan, river basin, basin"
352,无知,wúzhī,"ignorant, stupid"
353,招收,zhāoshōu,"recruit, take in"
354,冒险,màoxiǎn,take risks/chances
355,乘客,chéngkè,"fare, rider, passenger"
356,制服,zhìfú,uniform
357,行人,xíngrén,"foot traffic, passerby, goer, pedestrian, pedestrian traffic, passenger"
358,任职,rènzhí,"assignment, be in office, serve, hold a position, hold a post"
359,光纤,guāngxiān,"glass fiber, optical fibre, fiber_optics, light guide, optical fiber, glass fibre"
360,攻,gōng,"assault, attack, censure, accuse"
361,住处,zhùchù,"domicile, hangout, dwelling, lodging, residency, domiciliation, diggings, abode, digs, quarters, habitation, lodgings, roost, living quarters, pad, residence"
362,行李,xínglǐ,"clobber, impedimenta, dunnage, luggage, baggage"
363,攻势,gōngshì,offensive
364,妨害,fánghài,"traverse, impair, bar, cumber, be harmful to, trammel, encumber, sabotage, molest, obstruct, blanket, impairment, disturb, jeopardize, annoy, put in jeopardy"
365,恰当,qiàdàng,"appropriate, proper, suitable, fitting"
366,制成,zhìchéng,"hew, make, successfully complete"
367,轿车,jiàochē,"(horse-drawn) carriage, saloon, passenger car, car, limousine, carriage, coach, bus, sedan"
368,验证,yànzhèng,test and verify
369,观摩,guānmó,view and emulate
370,市镇,shìzhèn,"small town, town"
371,心思,xīnsī,"thought, idea, thinking, state of mind, mood"
372,心意,xīnyì,"regard, kindly feeling, intention, purpose"
373,少见,shǎojiàn,"rare, seldom seen, unique"
374,无知,wúzhī,"ignorant, stupid"
375,化为,huàwéi,become
376,赶到,gǎndào,"leave for, hurry to"
377,厂牌,chǎngpái,brand name
378,线索,xiànsuǒ,"track, thread, cue, lead, handhold, purchase, scent, train of thought, clue, trail, key, clew, pointer"
379,嘉义,jiāyì,Chia-yi (a county in Taiwan)
380,道歉,dàoqiàn,apologize
381,经典,jīngdiǎn,"canon, classic, classics, sutra, scriptures, scripture, Bible"
382,子弟,zǐdì,"sons and younger brothers, children, juniors"
383,对面,duìmiàn,opposite
384,脾气,píqì,"kidney, dispose, irritation, surliness, behavior, temper, pique, habit, mould, irritability, bile, bad temper, biliousness, temperament, characteristic, dander, pettishness, disposition, stubborn disposition, blood, snappishness, proclivity, peevishness, grain"
385,想像力,xiǎngxiànglì,"imaginative power, imaginative power/faculty, imaginativeness, vision, imagination, fancy, ideality, imaginative faculty, faculty"
386,补习,bǔxí,take lessons after school/work
387,运气,yùnqì,"fortune, luck"
388,道歉,dàoqiàn,apologize
389,对比,duìbǐ,"ratio, correlation"
390,数据机,shùjùjī,modem
391,影展,yǐngzhǎn,"film exhibition, film fair, film fair/festival, photographic exhibition, film festival, photo exhibition, festival"
392,窗口,chuāngkǒu,"window, wicket, ticket window"
393,一般来说,yībānláishuō,generally speaking
394,山脉,shānmài,mountain range
395,民主化,mínzhǔhuà,democratize
396,千万,qiānwàn,"det.: ten million, (tens of) millions"
397,打架,dǎjià,"struggle, scrap, wrangle, fight, come to blows, box, scuffle, brawl"
398,土著,tǔzhù,"original inhabitants, aboriginals"
399,充裕,chōngyū,abundant
400,灵感,línggǎn,"motive, afflatus, rage, breathing, brainwave, muse, inspiration, brainchild"
401,鲜明,xiānmíng,"bright (of color), distinct, distinctive"
402,正当,zhèngdāng,"proper, legitimate"
403,局势,júshì,situation
404,细腻,xìnì,"fine and smooth, exquisite, minute"
405,连带,liándài,jointly
406,务实,wùshí,"deal with concrete matters relating to work, try to be practical/pragmatic, pragmatic, try to be pragmatic, try to be practical, deal with concrete matters"
407,国画,guóhuà,trad. Ch. painting
408,推测,tuīcè,"infer, conjecture, guess"
409,欲望,yūwàng,"appetence, indirect request, wish, appetite, stomach, concupiscence, desire, Kama, appetency, hunger, thirst, lech, orexis, rage, passion"
410,颁发,bānfā,"issue, promulgate, award"
411,逐年,zhúnián,"all the year round, for years, all year, year after year, year in year out"
412,雨水,yǔshuǐ,"rain, Rainwater, rainwater, Rainwater (second solar term), rainfall, Rain water (2nd solar term)"
413,配备,pèibèi,equipment
414,亚太,yǎtài,Asia-Pacific region
415,奠定,diàndìng,"establish, settle"
416,大王,dàiwáng,"king, magnate"
417,开展,kāizhǎn,"develop, launch, unfold"
418,颁发,bānfā,"issue, promulgate, award"
419,细腻,xìnì,"fine and smooth, exquisite, minute"
420,保健,bǎojiàn,"health care, health protection, care for one's health"
421,忽,hū,suddenly
422,存款,cúnkuǎn,"deposit, bank saving"
423,走向,zǒuxiàng,"trend, run, alignment, strike"
424,妙,miào,"wonderful, excellent, fine, ingenious, clever, subtle"
425,吾,wú,I
426,垃圾场,lèsèchǎng,"rubbish dump, garbage heap, dump, tip, crematory, garbage dump, wasteyard, refuse, refuse heap, trash dump"
427,重重,chóngchóng,"layer upon layer, ring upon ring"
428,亮丽,liànglì,"beautiful, remarkable, brilliant, splendid, smart"
429,海关,hǎiguān,"chophouse, customhouse, customshouse, custom, haikwan, customs, douane"
430,美景,měijǐng,"vision, beauty_spot, beautiful sight, beautiful scenery"
431,果真,guǒzhēn,"really, as expected"
432,首要,shǒuyào,"chief, paramountcy, premiership, primacy, of first importance"
433,音乐厅,yīnyuètīng,"odeum, concert hall, music_hall, lyceum, auditorium, odeon, music hall"
434,苗栗,miáolì,Miaoli (a county inTaiwan)
435,欺骗,qīpiàn,"cheat, dupe"
436,幸好,xìnghǎo,"fortunately, luckily"
437,办桌,bànzhuō,entertain guests at banquet
438,欺骗,qīpiàn,"cheat, dupe"
439,澳门,àomén,Aomen (Macao)
440,推测,tuīcè,"infer, conjecture, guess"
441,震荡,zhèndàng,"shake, shock, quake"
442,暴露,pùlù,"unmask, divulge, expose, develop, bewray, unhood, unhusk, uncover, lay bare, show_up, reveal, flash, uncase, debunk, discover, unkennel, revelation, betray, give_away, unveil"
443,热带,rèdài,"tropical zone, Torrid Zone, savanna, torrid, the tropics, the torrid zone, tropical_zone, tropical, tropic, tropics"
444,战事,zhànshì,"war, hostilities"
445,制,zhì,"make, manufacture, create"
446,缘,yuán,"fate, predestination"
447,夕阳,xìyáng,setting sun
448,人道,réndào,human sympathy
449,下课,xiàkè,"finish class, get out of class"
450,民主化,mínzhǔhuà,democratize
451,心胸,xīnxiōng,breadth of mind
452,尺,chǐ,m.[standard]
453,谘商,zīshāng,"confer, discuss, negotiate"
454,想不到,xiǎngbúdào,unable to anticipate
455,感官,gǎnguān,"sentience, sensory faculty, sensation, sense/sensory organ, sensory organ, sentiency, sense organ, sense"
456,号召,hàozhào,"call, appeal (for supporters)"
