,Simplified,Pinyin,Meaning
60,连接词,liánjiēcí,"connective, conjunctive, conjunction"
61,从不,cóngbù,"ne'er, never"
62,淡水,dànshuǐ,Tamshui (a town in Taiwan)
63,清,qīng,"pure, clean, fresh, cool, lonely, poor"
64,挖掘,wājué,"excavate, unearth"
65,孟子,mèngzi5,"Mengtse, Mencius, Mencius (philosopher who expounded on Dao or Way of Life)"
66,稳,wěn,"firm, stable, steady, staid, sedate, sure, certain"
67,战后,zhànhòu,postwar
68,福,fú,"felicity, happiness, blessing, good fortune"
69,鸭,yā,"drake, duckling, duck"
70,营造,yíngzào,"construct, build"
71,机制,jīzhì,mechanism
72,机率,jīlù,probability
73,赋予,fùyǔ,"indue, endow, lend, girt, gift, endue, entrust, inspire, give, impart, confer, grant"
74,职员,zhíyuán,"employee, servant, official, staff member, retainer, functionary, operative, office employees, officeholder, personnel, officer, staff_member, office worker, clerk, staffer"
75,现任,xiànrèn,"be incumbent, be currently in office"
76,录音带,lùyīndài,"magnetic_tape, tape recording, audiotape, magnetic tape, tape, recording, taping"
77,外籍,wàijí,foreign nationality
78,薄,bó,"lacking in warmth, infertile, light, cold, weak, thin, despise, flimsy"
79,时时,shíshí,"always, constantly, often"
80,事务所,shìwùsuǒ,"office, business office, business premises"
81,扭曲,niǒuqū,distort
82,叔叔,shúshú,"father's younger brother, uncle, uncle (child's address for young males)"
83,扭曲,niǒuqū,distort
84,延伸,yánshēn,"extend, stretch"
85,哎呀,āiyā,"jeez, of wonder, alas, wirra, swounds, lummy, shock, admiration"
86,流动,liúdòng,"flow, go from place to place"
87,原谅,yuánliàng,"excuse, pardon"
88,哩,li5,particle: expressing exclamation
89,气势,qìshì,"air, powder, imposing manner, aura, manner, pith, vigor, atmosphere, vigour, verve, vehemence, fervor, momentum"
90,毕业生,bìyèshēng,"alumnus, postgraduate, grad, alum, alumna, graduating class, graduate"
91,流动,liúdòng,"flow, go from place to place"
92,宗旨,zōngzhǐ,"animus, object, purpose, aim, religion, bearing"
93,关爱,guānài,care for
94,遗传,yíchuán,"bequeath, pass on to next generation"
95,包袱,bāofú,"cloth wrapper, bundle wrapped in cloth, burden, millstone round one's neck, punch line (in cross-talk)"
96,垄断,lǒngduàn,monopolize
97,讲到,jiǎngdào,"mention, observe, remark, note, refer to"
98,联赛,liánsài,"loop, league matches, league match"
99,辩论,biànlùn,"argue, debate"
100,关爱,guānài,care for
101,瘦,shòu,"skinny, emaciated, thin, waste, lean (of meat)"
102,遗传,yíchuán,"bequeath, pass on to next generation"
103,辩论,biànlùn,"argue, debate"
104,指令,zhǐlìng,"directive, instruction, dictation, bid, decree, rescript, fiat, injunction, dictate, instructions, order, bidding, mandate, command, edict"
105,皮,pí,"skin, leather, hide, wrapper, surface, thin/flat pieces/sheets, rubber"
106,图形,túxíng,"motif, delineation, pattern, picture, fig, icon, graphical, graph, design, figure, sketch, construct, diagram, drawing"
107,善用,shànyòng,"take, make good use of"
108,地步,dìbù,"state, situation, extent, plight, condition"
109,怪,guài,"surprising, strange"
110,威胁,wēixié,"menace, imperil"
111,要不然,yàobùrán,"conj.: otherwise, or else, or"
112,后悔,hòuhuǐ,"regret, repent"
113,金牌,jīnpái,gold medal
114,毒,dú,"poison, toxin, narcotics"
115,清晰,qīngxī,"distinct, clear (of sound/view)"
116,草原,cǎoyuán,"veld, ley, steppe, plain, pastureland, pasture, grassland, lea, grass, campo, prairie, grazing land, grasslands"
117,立体,lìtǐ,"three-dimensional, stereoscopic"
118,幼儿,yòuér,"babe, papoose, cheeper, child, nursling, infant, bairn, nurseling, cub, youngling"
119,潜水,qiánshuǐ,"dive, go under water"
120,矮,ǎi,"short (of stature), low"
121,据点,jùdiǎn,"bridgehead, lodgment, fortified point, base, redoubt, foothold, lodging, lodgement, beachhead, strongpoint, stronghold"
122,赔偿,péicháng,"compensate, pay for"
123,碗,wǎn,m.[container]
124,精采,jīngcǎi,"brilliant, splendid"
125,潜水,qiánshuǐ,"dive, go under water"
126,频频,pínpín,"again and again, repeatedly"
127,对话,duìhuà,dialogue
128,获利,huòlì,obtain profit
129,隐藏,yǐncáng,"cache, hold back, hidden, blot_out, suppress, disguise, concealment, remain under cover, lurk, secrete, reserve, recess, hoodwink, dissemble, stash, veil, hold in, bury, hide, conceal, occult, mask, ensconce, cover_up, palliate, obscure, hoard"
130,精采,jīngcǎi,"brilliant, splendid"
131,召集人,zhàojírén,convener
132,加工,jiāgōng,process
133,主妇,zhǔfù,"housewife, hostess"
134,补,bǔ,"mend, patch, nourish, supplementary"
135,地址,dìzhǐ,"location, domicile, street address, address, name and address, destination"
136,大为,dàwéi,"greatly, markedly, significantly"
137,抗争,kàngzhēng,"resistance, struggle, resist, contend, make a stand against, make stand against, oppose"
138,初步,chūbù,"initial, preliminary, tentative"
139,碰,pèng,"explore, stub, paw, encounter, knock against, partake, run into, take one's chance, knock, disturb, touch, meet, bump"
140,佔有率,zhànyǒulù,possessed rate
141,均衡,jūnhéng,balance
142,抗战,kàngzhàn,"fight, war of resistance"
143,毒品,dúpǐn,"kif, kaif, narcotics, drug, weed, grass, narcotic drugs, drugs"
144,甚至于,shènzhìyū,"even (to the point of), so much so that"
145,盛行,shèngxíng,"be current, be in vogue"
146,均衡,jūnhéng,balance
147,讯号,xùnhào,signal
148,服用,fúyòng,"take, use, take (medicine)"
149,班级,bānjí,classes and grades in school
150,盛行,shèngxíng,"be current, be in vogue"
151,授课,shòukè,"give lectures, give lessons"
152,动人,dòngrén,"moving, fetch, emotional, attractive, touching"
153,现状,xiànzhuàng,"circumstance, present conditions, actuality, current status, present situation, status_quo, status quo"
154,曲子,qǔzi5,"melody, song, tonal pattern, tune"
155,外人,wàirén,"inconnu, alien, outsider, stranger, bystander, foreigner"
156,反抗,fǎnkàng,"revolt, resist"
157,中原,zhōngyuán,Central Plains
158,只得,zhǐdé,have to
159,刊登,kāndēng,publish in periodical
160,蓬勃,péngbó,"full of vitality, vigorous, rising, flourishing"
161,变,biàn,"become, change into"
162,签名,qiānmíng,"sign one's name, autograph"
163,证明,zhèngmíng,"certificate, identification, testimonial, proof"
164,签名,qiānmíng,"sign one's name, autograph"
165,签订,qiāndìng,conclude and sign (treaty/contract/etc.)
166,联谊会,liányíhuì,"sociable, friendship association, mixer, social affair, social_gathering, social gathering, social, get-together"
167,签订,qiāndìng,conclude and sign (treaty/contract/etc.)
168,说来,shuōlái,having brought this up...
169,男友,nányǒu,boyfriend
170,香,xiāng,"fragrant, scented, savory, appetizing, popular, welcome"
171,演变,yǎnbiàn,transmute
172,困扰,kùnrǎo,"perplex, puzzle"
173,妥协,tuǒxié,"come to terms, compromise"
174,长江,chángjiāng,"Yangtze_River, Yangtze Kiang, Kiang, Yangtze, the Changjiang River, Yangtze River, Chang, Yangtze river, the Yangtse River"
175,骨髓,gǔsuí,"medullary, bone marrow, marrow, bone_marrow, marrowbone, medulla, medulla oblongata, bulb"
176,神奇,shénqí,"magical, mystical, miraculous"
177,理,lǐ,"texture, grain (in wood/etc.), reason, logic, truth, natural science (esp. physics), law, principle, doctrine, theory"
178,靠近,kàojìn,"come near, hug, stand_by, come on, nigh, snuggle, go up, be close to, near, be nearby, approach, draw near, cling, meet"
179,神奇,shénqí,"magical, mystical, miraculous"
180,碗,wǎn,bowl
181,溪,xī,"stream, rivulet, brook, runnel, runlet, crick, creek, small stream"
182,醒来,xǐnglái,"waken, awaken, rouse, wake up, wake"
183,演变,yǎnbiàn,transmute
184,球队,qiúduì,"side, team, ball game team"
185,妥协,tuǒxié,"come to terms, compromise"
186,说谎,shuōhuǎng,"prevaricate, fable, lie, tell a lie, falsify"
187,台中,táizhōng,Taichung (big city in Taiwan)
188,冲动,chōngdòng,"get excited, be impetuous"
189,总干事,zǒnggànshì,"general_manager, director general, general manager"
190,宁可,níngkě,"(would) rather, better"
191,农场,nóngchǎng,"rancher, pen, farming, wick, ranch, hacienda, grange, farm, homestead, farmstead, plantation, steading, land"
192,诚恳,chéngkěn,sincere
193,回顾,huígù,"look back, review"
194,心声,xīnshēng,"heartfelt wish, aspiration, thinking"
195,华视,huáshì,China TV station
196,上司,shàngsī,"superior, boss"
197,只,zhǐ,m.[general]
198,分辨,fēnbiàn,"distinguish, differentiate"
199,毛,máo,"hair, feather, down, wool, mildew, mold, Surname"
200,主管,zhǔguǎn,"be in charge of, be responsible for"
201,分手,fēnshǒu,"part, part company, separate, say good-bye, break up"
202,回顾,huígù,"look back, review"
203,喜,xǐ,"delighted, pleased, like, be fond of, be keen on, happy"
204,田野,tiányě,"countryside, open country, field, infield"
205,紧紧,jǐnjǐn,"closely, tightly"
206,一共,yīgòng,"altogether, in all, all told"
207,型式,xíngshì,"pattern, form, shape, style, mold, precept, mold-making, modelling, type, model"
208,有意思,yǒuyìsī,"interesting, meaningful, enjoyable"
209,冲动,chōngdòng,"get excited, be impetuous"
210,然,rán,"conj.: however, but"
211,君,38139,"gentleman, sir, monarch, sovereign, supreme ruler"
212,具,jù,m.[general]
213,度假,dùjià,spend one's holidays
214,根源,gēnyuán,"rootage, parent, origin, spore, source, rootstock, germ, springhead, cradle, whence, paternity, spawn, mother, root, seed, fount, fountainhead"
215,度假,dùjià,spend one's holidays
216,岛屿,dǎoyǔ,"island, islands, islands and islets, isle"
217,部位,bùwèi,"segment, part, capsule, aspect, position, region, situs, place"
218,温和,wēnhé,"mild, moderate, temperate, tame, gentle"
219,细菌,xìjùn,"bacillus, bacilli, bacteria, B, bacteriological, microbe, contaminant, bacterium, clump, germ, microphyte, bacterial"
220,情节,qíngjié,"plot, verisimilitude, buildup, scenario, literary argument, argument, circumstances, story, clue, intrigue, details, action"
221,情态,qíngtài,"mood, situation, demeanor, spirit, modal, condition"
222,造形,zàoxíng,"modelling, mold-making"
223,国防部,guófángbù,Ministry of Defense
224,逾,yū,"exceed, go beyond, become even more"
225,杀死,shāsǐ,"croak, crease, devitalize, blast, account_for, mow_down, zap, despatch, martyr, finish_off, do_away_with, unlive, slay, kill, murder, take"
226,法案,fǎàn,"bill, act, proposed law, proposed bill, proposed law/bill"
227,诚恳,chéngkěn,sincere
228,语音,yǔyīn,"spoken pronunciation of characters, pronunciation, spoken (vs. written) pronunciation of characters, speech sounds, phonetic"
229,远景,yuǎnjǐng,"distant view, long shot, futurity, vista, lookout, distance, perspective, prospect, long-range perspective, long_shot"
230,适时,shìshí,"at right moment, early, timely, betimes"
231,歌手,gēshǒu,"warbler, voice, vocalist, singer, bulbul, performer, lark, songster"
232,热情,rèqíng,"enthusiasm, passion"
233,选购,xuǎngòu,choose and buy
234,辐射,fúshè,"radiancy, Geigers, radiation, radiant"
235,亲友,qīnyǒu,"gossip, kith, hail-fellow, relatives and friends, kith and kin, sidekick, familiar, inseparable"
236,短暂,duǎnzhàn,"fleet, of short duration, brief, transient"
237,顺便,shùnbiàn,"incidentally, conveniently, en passant, obiter, apropos, in passing, handily"
238,标准,biāozhǔn,standard
239,鑑定,jiàndìng,"appraise, identify, authenticate"
240,选购,xuǎngòu,choose and buy
241,盘势,pánshì,current price tendency
242,出走,chūzǒu,"leave, run away, flee"
243,辞职,cízhí,resign
244,不大,bùdà,"not very/too, not often"
245,中小学,zhōngxiǎoxué,primary and middle school
246,王子,wángzǐ,"king's son, prince"
247,考上,kǎoshàng,"pass, be admitted to, pass entrance examination, nail, make it"
248,鑑定,jiàndìng,"appraise, identify, authenticate"
249,趋,qū,"run, hasten, hurry along, tend towards, incline towards, run/hasten forward, incline, run forward, hasten forward, tend to become, incline/tend towards"
250,辞职,cízhí,resign
251,狮子,shīzi5,"leonine, Panthera leo, king of beasts, lion"
252,建物,jiànwù,"building, structure"
253,苹果,píngguǒ,"mincemeat, pome, apple, Empire"
254,伸出,shēnchū,"extrude, obtrude, jut, jut_out, reach/jut out, extend, jut out, outstretch, stick, porrect, stretch, stretch forth, project, poke, thrust, streek, outthrust, protract, protend, outshoot, put forward, hold_out, hold out, overhang, protrude, loll, reach, reach_out, reach out, tongue, put out, jetty, stretch_out, stretch out, stick_out, stick out, push, outreach"
255,肢体,zhītǐ,"member, limbs and trunk, solid body substance, body, subfigure, limbs"
256,神通,shéntōng,magical power
257,地方性,dìfāngxìng,territoriality
258,依旧,yījiù,"as_usual, as was common, as usual, still, as before"
259,仲介,zhòngjiè,introduce
260,折扣,zhékòu,"allowance, rebate, price reduction, discount, agio, reduction, deduction, percentage"
261,仲介,zhòngjiè,introduce
262,保有,bǎoyǒu,hold
263,相继,xiāngjì,"about, one_after_another, one after another, in succession"
264,修行,xiūxíng,cultivate/practice doctrine
265,省委,shěngwěi,provincial Party committee
266,从而,cóngér,"conj.: thus, thereby"
267,自信,zìxìn,self-confidence
268,专科,zhuānkē,"specialized subject, training school, community colleges, specialty, specialism"
269,捐,juān,"donation, subscription, relinquish, abandonment, subscribe, contribution, donate, abandon, contribute"
270,竟是,jìngshì,turn out to be
271,航线,hángxiàn,"trade route, ship route, skyway, seaway, course, air or shipping line, sea lane, air/shipping line/route, passage, shipping route, air, shipping line, route, air line, line of flight, airline"
272,情结,qíngjiē,complex
273,率领,shuàilǐng,"lead, head, command"
274,细心,xìxīn,"careful, attentive"
275,旋律,xuánlù,"air, chant, canto, melodic line, rhythm, strain, melodic phrase, melodic, melody, line, aria, movement, cantus, tonal pattern, tune, descant, note"
276,最终,zuìzhōng,"final, ultimate"
277,掉,diào,"drop, reduce, exchange, lose, fall behind, be missing, fall, knock, come off, change, shed, turn"
278,种植,zhòngzhí,"plant, grow"
279,一般而言,yībānéryán,"generally, in the main, in general, generally speaking, en clair"
280,生死,shēngsǐ,"or death, life or death, life and/or death, life and death, life and"
281,化妆品,huàzhuāngpǐn,cosmetics
282,大笑,dàxiào,"guffaw, outlaugh, yell, howl, laugh, roar"
283,适度,shìdù,moderate
284,精彩,jīngcǎi,"brilliant, splendid"
285,缓慢,huǎnmàn,"largo, slow"
286,精彩,jīngcǎi,"brilliant, splendid"
287,王国,wángguó,"kingdom, realm, domain"
288,头,tóu,"det.: first, previous"
289,剧本,jùběn,"part, playbook, drama, script, play, scenario, libretto"
290,包,bāo,m.[container]
291,末,mò,"tip, end"
292,不明,bùmíng,fail to understand
293,布,bù,cloth
294,月光,yuèguāng,"moonlight, moonbeam"
295,地价,dìjià,land price
296,转业,zhuǎnyè,change job
297,讲求,jiǎngqiú,"strive for, pay attention to, be particular about, stress"
298,护理,hùlǐ,nursing
299,点头,diǎntóu,"take a bow, nod one's head, noddle, nod"
300,转业,zhuǎnyè,change job
301,嘴巴,zuǐbā,"jaw, cheeks, kisser, mouth"
302,家教,jiājiào,tutor
303,盈余,yíngyū,"surplusage, profit, margin, increment, surplus, excess"
304,竹,zhú,"Phyllostachys bambusoides, bamboo, madake, giant timber bamboo, ku-chiku"
305,坦承,tǎnchéng,"concede, confess, profess"
306,孤独,gūdú,"lonely, solitary"
307,米,mǐ,m.[standard]
308,孤独,gūdú,"lonely, solitary"
309,种植,zhòngzhí,"plant, grow"
310,表现出,biǎoxiànchū,show up
311,孙,sūn,"grandchild, grandson, generations below that of the grandchild, Sun, generations below that of grandchild, second growth of plants, Surname"
312,侵犯,qīnfàn,"violate, infringe on (sb.'s rights)"
313,果实,guǒshí,"fruitery, fruitage, gains, fruits, fruit, fructification"
314,侵犯,qīnfàn,"violate, infringe on (sb.'s rights)"
315,邮票,yóupiào,"postage_stamp, album, label, stamp, postage, postage stamp, stickies"
316,自愿,zìyuàn,"voluntary, act voluntarily"
317,挑选,tiāoxuǎn,"choose, select"
318,会计,kuàijì,"accountant, bookkeeper"
319,劳力,láolì,"labour, work force, labour force, labor (force), labor"
320,费,fèi,"cost, spend, expend"
321,新竹县,xīnzhúxiàn,Hsin-chu (a county in Taiwan)
322,运动会,yùndònghuì,"sports meeting, sport, gymkhana, athletic meeting, fixture, gate, game, sports meet, games, sports_meeting, meet"
323,坚强,jiānqiáng,"strong, firm, staunch"
324,目光,mùguāng,"sight, vision, view, gaze, look"
325,坚强,jiānqiáng,"strong, firm, staunch"
326,偏偏,piānpiān,"just, but, only"
327,挑选,tiāoxuǎn,"choose, select"
328,给付,jǐfù,pay
329,静态,jìngtài,static state
330,演唱会,yǎnchànghuì,vocal recital
331,播出,bòchū,"broadcast, disseminate"
332,经贸,jīngmào,economy and trade
333,播出,bòchū,"broadcast, disseminate"
334,发射,fāshè,"launch, project, discharge, shoot, transmit, emit"
335,干什么,gànshénmo5,do something
336,发射,fāshè,"launch, project, discharge, shoot, transmit, emit"
337,聘请,pìnqǐng,"engage, invite"
338,浪费,làngfèi,extravagant
339,舞,wǔ,dance
340,无疑,wúyí,"surely, undoubtedly, beyond doubt, certainty, pardi, certainly, easily"
341,噪音,zàoyīn,"dissonance, row, rumour, noise, discord, squeal, discordance, mush, racket"
342,与其,yǔqí,rather than
343,学说,xuéshuō,"theory, system, philosophy, school of thought, ism, doctrine, doctrinal, hypothesis"
344,日圆,rìyuán,m.[standard]
345,有力,yǒulì,"forceful, strong, potent, powerful"
346,大道,dàdào,"wide road, the way of virtue and justice"
347,午餐,wǔcān,"midday meal, lunch"
348,中,zhòng,"hit (target), attain, be hit by, pass an exam"
349,肌肉,jīròu,"brawn, muscular, beef, flesh, muscle, thew, sinew"
350,禅,chán,"zen, Zen (Buddhism), deep meditation, Zen, dhyana"
351,处境,chǔjìng,"situation, site, plight, situation (usu. unfavorable), predicament, circumstances"
352,绕,rào,"circle, revolution, coil, wind, revolve around sth., entwine, weave, baffle, go around, confuse, go round, thread, move round, revolve, confusion, meander, make a detour, bypass, reel, be fuddled, detour, become entangled"
353,国营,guóyíng,state operated/run
354,警告,jǐnggào,"warn, admonish"
355,住院,zhùyuàn,be hospitalized
356,先天,xiāntiān,"a priori, congenital, natural, innately, innate, inborn"
357,低于,dīyū,be lower than
358,夹,jiá,"press from both sides, place in between, mix, mingle, intersperse, carry secretly"
359,找寻,zhǎoxún,"find, look_for, look for, grope, seek, search, establish, regain"
360,移送,yísòng,"transfer under escort, transfer a criminal, render, turn in, get in, hand over, deliver"
361,住院,zhùyuàn,be hospitalized
362,起床,qǐchuáng,"uprise, get up from bed, arise, get out of bed, turn out, rise, deck, get_up, awake, get up"
363,相容,xiāngróng,be compatible with
364,是非,shìfēi,"right and wrong, quarrel, dispute"
365,南京,nánjīng,Nanjing (capital of Jiangsu)
366,省立,shěnglì,province-established
367,浴室,yūshì,"W.C., bathroom, shower room, balneary, water closet, loo, toilet, closet, bath"
368,拆,chāi,"section, disaffiliate, unseal, rip, dismantle, dismantlement, unweave, pull down, take apart, tear open"
369,密度,mìdù,"density, texture, thickness, consistency, compactness, concentration, denseness"
370,壮观,zhuàngguān,"sublime, spectacular, magnificent"
371,纪念馆,jìniànguǎn,"memorial museum, museum in memory of sb., memorial hall, monument, memorial hall/museum, museum, memorial"
372,迷人,mírén,"beguile, enamor, charm, becharm, enchanting, charming, enwrap, attractive"
373,高雄县,gāoxióngxiàn,Kaohsiung(a county in Taiwan)
374,深远,shēnyuǎn,profound and far-reaching
375,追查,zhuīchá,"investigate, trace, find out"
376,眼神,yǎnshén,"eye, expression in one's eyes, sight, eyesight"
377,眷村,juàncūn,military village
378,追查,zhuīchá,"investigate, trace, find out"
379,粗,cū,"wide (in diameter), thick"
380,国有,guóyǒu,"belong to the state, nationalized, state-owned"
381,开刀,kāidāo,"decapitate, operate, make sb. first target of attack, have operation, perform an operation, behead, perform an surgery, have an operation, make ... the first target of attack, perform operation, operate on, surgery, perform"
382,邀集,yāojí,"invite, invite to assemble, invite to meet together, call together"
383,水墨,shuǐmò,ink painting without color
384,激励,jīlì,"encourage, impel, urge"
385,选修,xuǎnxiū,"study, read, take ... as an elective course, take as an elective, take, learn"
386,激励,jīlì,"encourage, impel, urge"
387,甄试,zhēnshì,examination
388,标志,biāozhì,"earmark, banner, standing for, logo, symbol, marker, stamp, sign, symbolization, mark, emblem, seal, logotype, symbolizing, blip, marking, insignia"
389,甲,jiǎ,"det.: first, first of the ten Heavenly Stems"
390,去,qù,"get rid of, remove, cast out"
391,可观,kěguān,"goodly, substantial"
392,下车,xiàchē,get off/out of vehicle
393,读经,dújīng,read classics
394,提及,tíjí,"allude, cite, reference, come up, speak_to, refer to, notice, syllable, mention, advert to"
395,埋,mái,"hide away, burial, bury, inter"
396,仍旧,réngjiù,"still, as before"
397,奉献,fèngxiàn,"offer as tribute, present with all respect"
398,沿海,yánhǎi,"coast, coastal, along the coast, littoral"
399,任,rèn,m.[general]
400,安心,ānxīn,"reassured, disburden, set one's mind at rest, feel at ease, reassuring, keep one's mind on sth., be relieved"
401,奉献,fèngxiàn,"offer as tribute, present with all respect"
402,进展,jìnzhǎn,"progress, advance"
403,厚,hòu,"thick, fat, magnanimous, favor, kind, generous, deep, strong in flavor, large, stress, profound, rich"
404,农委会,nóngwěihuì,Council of Agriculture
405,即为,jíwéi,be
406,开启,kāiqǐ,open
407,立陶宛,lìtáowǎn,Lithuania
408,乡公所,xiānggōngsuǒ,administrative office for group of villages
409,开启,kāiqǐ,open
410,座谈,zuòtán,"forum, symposium"
411,门票,ménpiào,"entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance"
412,一体,yītǐ,"an organic/integral whole, all concerned"
413,裏面,lǐmiàn,"inside, interior"
414,试验,shìyàn,"test, experiment"
415,恶性,èxìng,"malignant, pernicious, vicious, deadly, malignancy, viciousness, lethal, venomous, fatal, virulent"
416,乡镇,xiāngzhèn,"villages and towns, small town, village, village and town, small towns"
417,董事,dǒngshì,"director, trustee"
418,迹象,jīxiàng,"breath, gleam, spark, intimation, indication, trace, vestige, glint, evidence, sign, showing, mark, shadow, glimmer, appearance, relic, hint, phenomenon, augury"
419,鞋子,xiézi5,"footgear, chaussure, footwear, pinchers, shoes, shoe"
420,瑞典,ruìdiǎn,Sweden
421,导师,dǎoshī,"don, guide of a great cause, hierophant, teacher, tutor, imam, supervisor, leader in a cause, preceptor, professor, preceptorship, adviser, teacher in charge of class, mentor, counselor"
422,选定,xuǎndìng,"select, designate"
423,用以,yòngyǐ,"wherewith, in order to, wherewithal, so as to"
424,出任,chūrèn,take up the post of
425,循,xún,"follow, abide by"
426,不顾,búgù,ignore
427,丝,sī,m.[proximation]
428,央行,yāngháng,The Central Bank of China
429,骚扰,sāorǎo,"harass, molest"
430,田径,tiánjìng,"track and field, track-and-field, athlete, athletics, sport"
431,在意,zàiyì,"take notice of, care about, pay attention to, take ... to heart, care, mind"
432,循,xún,"follow, abide by"
433,往来,wǎnglái,"contact, intercourse"
434,慎重,shènzhòng,"careful, cautious, serious, discreet"
435,往来,wǎnglái,"contact, intercourse"
436,何处,héchù,where
437,事变,shìbiàn,"exigency, events, course of events, emergency, incident, pinch, affair"
438,好,hào,be fond of
439,老家,lǎojiā,"native place, old home, one's original home"
440,立法委员,lìfǎwěiyuán,legislator
441,空军,kōngjūn,"airforce, air_force, Luftwaffe, air force, squadron"
442,贡献,gòngxiàn,"contribute, dedicate, devote"
443,负责任,fùzérèn,"be responsible for, responsible, conscientious, be in charge of"
444,高,gāo,surname
445,高大,gāodà,"tall and big, great, massive"
446,终身,zhōngshēn,"lifetime, life, marriage, all one's life, lifelong"
447,缺失,quēshī,"lacuna, drawback, gaps and omissions, deletion, defect, hole"
448,教会,jiàohuì,"communion, mission, ecclesiastic, kirk, ecclesia, church, chapel, (Christian) church"
449,启发,qǐfā,"enlighten, stimulate"
