,Simplified,Pinyin,Meaning
142,需要,xūyào,"need, demand"
143,失去,shīqù,"desert, shear, outgrow, loss, lost, miss, lose"
144,做为,zuòwéi,"excuse, to be as, to look upon as, purport, roof, to take for, to regard as, look on as, regard as, take for"
145,复杂,fùzá,"complicated, complex"
146,届,jiè,m.[event]
147,作用,zuòyòng,"action, function, effect, intention, motive"
148,调整,tiáozhěng,"adjust, readjust, regulate, restructure, balance"
149,佔,zhàn,"constitute, make up, account for"
150,要求,yāoqiú,"demand, request"
151,高中,gāozhōng,"senior middle school, senior high school, senior_high_school"
152,动作,dòngzuò,"demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move"
153,模式,móshì,"example, normal, rule, formula, pattern, form, shape, style, way, mode, convention, fashion, model"
154,多,duó,"to what degree, how..."
155,吸引,xīyǐn,"engross, arrest, appeal, fascinate, attraction, fetch, draw, transfix, pull in, entrance, pull, enamour, spellbind, enamor, capture, trance, captivate, call, grip, fascination, absorb, bewitch, tempt, becharm, speak_to, fix, engage, catch, rivet, enchant, beguile, charm, seduce, take, enwrap, magnetize, draw in, attract"
156,记得,jìde,"come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind"
157,卖,mài,"bring, parade, prostitute, make living at, go, sell out, show off, negotiate, exert to the utmost, tout, not spare, deal, betray, make living by, at, sell, make living by/at, betrayal, trade, fetch, market, bring in"
158,例,lì,"example, instance, precedent, case, rule, regulation"
159,推广,tuīguǎng,"popularize, spread, extend"
160,本来,běnlái,"originally, at first, of course"
161,具体,jùtǐ,"concrete, specific, particular"
162,太太,tàitài,"lady, memsahib, Dona, dona, Mrs, mum, Senora, senora, Mrs., mistress of a household, madam, Frau, goodwife, missus, senhora, married woman, wife, vrouw, Madame, madame, missis, wahine, Signora, signora"
163,之中,zhīzhōng,"inside, among, within"
164,宗教,zōngjiào,"theology, community, religious, cult, creed, faith, religion"
165,旧,jiù,"old, aged, onetime, bygone, used, worn, past, former"
166,反应,fǎnyìng,"reaction, response, repercussion"
167,观众,guānzhòng,"onlooker, TV audience, attendance, audience, spectator, viewers, followers, crowd, gallery, viewer, following, house, viewing audience"
168,立场,lìchǎng,"view, stance, language, stand, ground, capacity, standing, situation, position, perspective, standpoint, stand(point)"
169,旅遊,lǔyóu,travel
170,因而,yīnér,conj.: consequently
171,理念,lǐniàn,"sense, conception, idea"
172,它们,tāmen,"they, they (non-human)"
173,上面,shàngmiàn,"surface of, aspect, higher authority, upper side, the higher authorities, on top/surface of, on surface of, top, the higher-ups, top side, upside, on top of, respect, above, on top, regard"
174,回,huí,"return, go back"
175,支,zhī,m.[general]
176,少年,shàonián,"nipper, covey, early youth (10-16), juvenility, adolescent, youngster, teens, gossoon, boy, boy or girl of early youth, spalpeen, juvenile, callan, callant, shaver, lad, laddie, juvenile person, teenager, stripling, young boy, early youth, younker"
177,辅导,fǔdǎo,"coach, tutor"
178,争取,zhēngqǔ,"strive for, fight for, wrangle, work hard for, contest, go for, strive/fight for, contend, try_for, woo, try for, strive, win over, scramble, do all one can to"
179,辅导,fǔdǎo,"coach, tutor"
180,想到,xiǎngdào,"imagine, ideate, think, envisage, anticipate, bethink, dream, recollect, think_of, call to mind, think of, occur, conceive of"
181,可能,kěnéng,"possible, probable"
182,尊重,zūnzhòng,"respect, value, esteem"
183,替,tì,"for, on behalf of"
184,地点,dìdiǎn,"location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus"
185,何,hé,"det.: which, what"
186,党,dǎng,"section, Dang, political party, CCP, KMT, Ku_Klux_Klan, clique, The Party, party, tong, kinsfolk, the Party, faction, gang"
187,进步,jìnbù,"progress, advance, improve"
188,欲,yū,"choose, wish, care, want, desire, incline, propose"
189,危机,wéijī,"ambush, clutch, climacteric, crisis, precipice, hump, conjuncture, juncture, sharpness, gravity, edge"
190,正常,zhèngcháng,"normal, regular"
191,角度,jiǎodù,"aspect, perspective, degree, arcdegree, point of view, angle"
192,尚未,shàngwèi,"as yet, til now, heretofore, yet, thus far, so far, until now, up to now, hitherto, not_yet, not yet"
193,院长,yuànzhǎng,"director/president (of museum/institute/etc.), head of branch of government"
194,习惯,xíguàn,"habit, custom"
195,期,qí,m.[event]
196,环保,huánbǎo,environmental protection
197,交流,jiāoliú,"exchange, interflow, interchange"
198,困难,kùnnán,difficult
199,需,xū,"need, want, require"
200,完整,wánzhěng,"complete, integrated, intact"
201,费用,fèiyòng,"tax, cost, expense, expenditure, due, rate, exes, outlay, outgo, fee, terms, toll, price, disbursement, fare, expenses, disbursal, retainer, pay, damage, charge, monetary value, consideration, outgoing"
202,完整,wánzhěng,"complete, integrated, intact"
203,上述,shàngshù,above-mentioned
204,呈现,chéngxiàn,"assume, crop out, dish, appearance, show, lay out, present, basset, appear, take_on, emergence, emerge, come forth"
205,照顾,zhàogù,"look after, care for, attend to, patronize (as customer)"
206,达成,dáchéng,reach (an agreement)
207,批,pī,m.[general]
208,培养,péiyǎng,"foster, train, develop, culture"
209,垃圾,lèsè,"leavings, crap, sordes, trumpery, culch, garbage, filth, debris, cultch, sweeping, trashery, raffle, slush, truck, detritus, rubbish, trash, dirt, muck, litter, offscouring, offal, rubble, recrement, dust, rejectamenta, refuse, junk, gook"
210,图,tú,"picture, drawing, chart, map"
211,扩大,kuòdà,"enlarge, expand, extend, swell, dilate"
212,篇,piān,m.[general]
213,比例,bǐlì,"proportional, rate, proportionality, quotient, proportion, proportionment, scale, ratio, balance"
214,风格,fēnggé,"plan, signature, idiom, kind, aroma, manner, idiosyncrasy, negligence, style, mode, tone, expressive style, artistic style, touch"
215,难以,nányǐ,be difficult to
216,机关,jīguān,"mechanism, stratagem, scheme, intrigue"
217,情绪,qíngxù,"form, pulse, humor, depression, temper, feeling, spirits, monkey, emotion, sentiment, humour, soulfulness, mood, heartbeat, heartstrings, sulks, chord, vein, feelings, emotional state, spirit, frame_of_mind, sentiments, moodiness, emotions, steam, tune, soul"
218,劳工,láogōng,"work_force, navvy, galley slave, manual laborer, labor, mazdoor, peon, proletariat, working class, laborer, worker, workman, industrialist, labour, drudge, workingman, labourer"
219,一旦,yīdàn,"conj.: once, some time or other"
220,多媒体,duōméitǐ,multi-media
221,求,qiú,"seek, try, strive for"
222,绝对,juéduì,"absolutely, definitely"
223,资料库,zīliàokù,"data bank, database, data base, databank"
224,选举,xuǎnjǔ,election
225,不可能,bùkěnéng,impossibly
226,马上,mǎshàng,"in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f"
227,说话,shuōhuà,"philosophize, thrum, talk, peach, babble out, speech, articulate, chat, speak, babble, gossip, blab out, sing, address, tattle, blab, mouth, say"
228,享受,xiǎngshòu,enjoy
229,工厂,gōngchǎng,"layout, mill, factory, remuneration, workshop, industrial plant, plant, hacienda, manufactory, works, shop"
230,食物,shíwù,"scran, board, ingesta, sustentation, provender, viand, chow, aliment, pabulum, edibles, prog, nurture, cheer, eatable, edible, alimentary, eatables, chowchow, nutrient, diet, bread, trencher, sustenance, nutriment, nosh, nutrition, victuals, cib., vivers, eating, toke, meat, cib, grub, peck, viands, comestible, nourishment, fare, victual, food, commons, fodder, scoff, victualage, muckamuck, ta"
231,消息,xiāoxí,"communication, witting, message, item, news, peep, info, intelligence, notice, information, advertisement, tidings, advert, word"
232,番,fān,m.[event]
233,趋势,qūshì,"stream, gravitation, tendency, wind, tide, drift, sequel, trend, current, direction, inclination, tendence, momentum, flow"
234,房子,fángzi,"building (of less than three stories), room, building, property, house"
235,观点,guāndiǎn,"view, aspect, stand, point_of_view, light, eyes, framework, sentiment, bet, standpoint, point of view, eye, viewpoint, slant, perspective, position, angle"
236,购买,gòumǎi,"invest, take, buy, make purchases, go shopping, purchase"
237,普遍,pǔbiàn,"universal, general, widespread, common"
238,设立,shèlì,"establish, found"
239,差异,chāyì,"gap, departure, spread, variance, divergence, difference, diversity, discrepancy, imparity, disparity, contrast, interval, differentia, distinction"
240,差,chā,"be short, lack"
241,另外,lìngwài,"in addition, moreover, besides"
242,统一,tǒngyī,"unify, unite, integrate"
243,青年,qīngnián,"young people, adolescent, youngster, springal, boy, youth, youths, stripling, young, hobbledehoy, younker"
244,统一,tǒngyī,"unify, unite, integrate"
245,行政院,xíngzhèngyuàn,Executive Yuan
246,规模,guīmó,"magnitude, dimensions, extent, scale, scope"
247,股,gǔ,m.[general]
248,破坏,pòhuài,"violate, destroy"
249,想要,xiǎngyào,"please, wish, like, desire, desirable, desiderate, purport, feel_like, wish well, propose, desired, purpose, direct, want to, feel like, aim, want, calculate"
250,换,huàn,"adjourn, barter, exchange, commute, reseat, trade, conversion, convert, change"
251,选,xuǎn,"select, pick, elect, choose, take, pick out, van"
252,人力,rénlì,"strength, manpower, resources, manual labor"
253,美,měi,"America, United States"
254,水准,shuǐzhǔn,"level, plane, standard"
255,首,shǒu,m.[general]
256,河川,héchuān,"river and creek, rivers, river"
257,文字,wénzì,"writing, phraseology, writing style, language, endearment, script, written language, text, writing phraseology, writing style/phraseology, character, textual, characters, symbolic representation, version, word-sign, literal, letter, word, literalness"
258,立即,lìjí,"at_once, off-hand, promptly, at once, down, instantly, directively, straightway, herewith, thereupon, ex tempore, without_delay, pronto, right_away, instant, straight, immediately, in_short_order, right away, instanter, straightaway, in short order, off-the-cuff"
259,适当,shìdàng,"beseem, proper, suitable, suit"
260,医师,yīshī,"medico, MD, Aesculapius, physician, hakim, leech, Dr., powwow, medic, Aesculapian, doc, doctor"
261,属,shǔ,"belong, be born in the year of, belong to, be subordinate to, be"
262,重,zhòng,"heavy, weighty, important, considerable in amount/value"
263,就是说,jiùshìshuō,"that is to say, in other words, namely"
264,结婚,jiéhūn,"middle-aisle, intermarry, mate, conjoin, get married, couple, married, espouse, pair, marry, unite, get_married, get hitched with, spouse, splice, hook up with, wed"
265,有,yǒu,"be, exist, also"
266,日子,rìzi,"yom, day, a particular day, livelihood, life, date, days, time"
267,非,fēi,"run counter to, not conform to"
268,贸易,màoyì,"deal, carriage trade, trade, business, commerce"
269,相当,xiāngdāng,"match, balance, correspond to, be equal to"
270,参观,cānguān,"visit, tour"
271,公开,gōngkāi,"bare, air, unclose, publish, come_out, make known to the public, publicize, divulgate, overt, publicise, public, disclosure, make known to public, unfurl, make public"
272,顺利,shùnlì,"smooth, successful, without a hitch"
273,男,nán,"baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son"
274,销售,xiāoshòu,"sell, market"
275,办,bàn,"punish (by law), manage, get ... ready, set_up, buy a fair amount of, set up, run, management, handle, tackle, attend to, do, punish, bring ... to justice"
276,销售,xiāoshòu,"sell, market"
277,维护,wéihù,"safeguard, defend, uphold"
278,投入,tóurù,throw/put into
279,称,chēng,call
280,加上,jiāshàng,add into
281,民进党,mínjìndǎng,Democratic Progressive Party
282,必,bì,"surely, must, certainly, have to, necessarily"
283,自由,zìyóu,"freedom, liberty"
284,有限,yǒuxiàn,"limited, finite"
285,预算,yūsuàn,"estimate, forethought, budget, estimation, budgetary"
286,计算,jìsuàn,"count, calculate, compute"
287,效率,xiàolù,"sufficiency, effectualness, effectuality, productiveness, usefulness, efficiency, effectivity, effectiveness"
288,样子,yàngzi,"tendency, pattern, form, manner, likelihood, way, resemblance, semblance, sample, guise, fashion, wise, model, air, mien, appearance, shape, suggestion, gesture, sort"
289,访问,fǎngwèn,"visit, call on, interview"
290,位于,wèiyū,"be situated, situated, locate, precede, lie, come, nestle, subsist, underlie, sit, be located, skirt, rank"
291,访问,fǎngwèn,"visit, call on, interview"
292,接触,jiēchù,"come into contact with, get in touch with, engage, contact"
293,流行,liúxíng,"prevalent, popular, fashionable, in vogue, spread, rage (of contagious disease)"
294,喔,wō,particle: indicating exclamation/suggestion/mild imperative/etc.
295,股市,gǔshì,"stock exchange, securities market, stock market, stock_market"
296,召开,zhàokāi,"convene, convoke"
297,运作,yùnzuò,"operate, work"
298,出版,chūbǎn,"come off the press, publish, come out"
299,藉,jiè,depend/rely on
300,观光,guānguāng,"rubberneck, take in, visit, sightsee, travel to, go sightseeing, tour"
301,降低,jiàngdī,"reduce, cut down, drop, lower"
302,大约,dàyuē,"about, around, probably, likely"
303,来源,láiyuán,"resource, wellspring, origin, provenance, quarter, root, source, beginning, springhead, fodder, fount, quarry, fountain, mint, parentage, whence, paternity"
304,理由,lǐyóu,"excuse, reasoning, reason, wherefore, argument, meaning, account, cause, room, alibi, substance, warranty, matter, justification, occasion, score, warrant, ground, sake, why, grounds, consideration, self-justification, skill"
305,不断,búduàn,"unceasing, continuous"
306,一点,yīdiǎn,"a little, a bit"
307,回答,huídá,"answer, reply"
308,青少年,qīngshàonián,"adolescent, stilyaga, teens, young person, teenager, teenagers, young people and teenagers, youths, youth, stripling, hobbledehoy, youngsters, younker"
309,基本,jīběn,"basic, elementary"
310,一般,yībān,generally
311,看看,kànkàn,"see, look at, watch, read, look upon, regard, call on, visit"
312,合理,hélǐ,"plausible, rational, reasonable, legitimate, equitable, sensible"
313,采,cǎi,"pick, gather"
314,跟,gēn,conj.: and
315,生物,shēngwù,"living thing, organism"
316,中华民国,zhōnghuámínguó,"Republic_of_China, Republic of China"
317,直到,zhídào,"until, up to"
318,叫,jiào,ask
319,气,qì,"air, gas, smell, atmosphere, spirit"
320,给予,gěiyǔ,"bring, feed, offer, afford, hold_out, impart, adduce, lend, grant, contribute, given, concede, give to, give, bestow, add, put, render, deal, ladle, administer, assign, give_in, allow"
321,中文,zhōngwén,"Chinese, Ch. (written) language, Ch. language, Sinitic"
322,法国,fàguó,France
323,答案,dáàn,"result, script, resolution, solution, answer, key"
324,规定,guīdìng,"provide, formulate, fix, set"
325,可能,kěnéng,possibility
326,准备,zhǔnbèi,"intend, plan"
327,金融,jīnróng,"finance, banking"
328,週,zhōu,m.[standard]
329,下,xià,"put sth. into, apply, form (opinion/etc.)"
330,农民,nóngmín,"mujik, farmhand, granger, boor, farm worker, peasantry, countrymen, farmer, agriculture, husbandman, muzhik, peasant, fieldhand, moujik, fellah, muzjik"
331,法令,fǎlìng,"constitution, laws, ordinance, rescript, act, law, decretal, legislation, enactment, edict, law and decrees, regulation, ukase, decrees, decree, doom, ordonnance, statute, fiat, prescript, assize, commandment, legislative act"
332,讯息,xùnxí,"communication, message, news, signal, info, data, intelligence, dispatch, information, messages, tidings, word"
333,公里,gōnglǐ,m.[standard]
334,刚刚,gānggāng,"just now, scarcely, fresh, only, exactly, a moment ago, hardly, but, just"
335,红,hóng,"in vogue, famous, redden, red, popular"
336,较,jiào,compare
337,声,shēng,m.[activity]
338,倍,bèi,"-fold, multiplication, diameter, double, times, twice as much"
339,加,jiā,"dramatise, plant, embroider, intercalate, lard, put in, blow up, inflict, deliver, aggrandize, plus, dramatize, increase, augment, embellish, augmentation, confer, append, add, pad, summate"
340,民主,mínzhǔ,"democracy, democratic rights"
341,台北,táiběi,"Taibei, Taipei"
342,无论,wúlùn,"conj.: no matter what/how/etc., regardless"
343,办公室,bàngōngshì,"agency, office, authority, government agency, bureau"
344,一方面,yīfāngmiàn,"conj.: on one side, on the one hand..., on the other hand..., for one thing..., for another..."
345,良好,liánghǎo,"good, well"
346,级,jí,"level, rank, grade"
347,遊戏,yóuxì,"recreation, game"
348,道,dào,"doctrine, Daoism"
349,酒,jiǔ,"libation, bracer, plonk, wine, tipple, poison, pottle, spirits, creature, vin, cup, drink, hooch, arrack, medicine, alcohol, bottle, hootch, alcoholic drink, rum, bibble, potation, belly-wash, alcoholic beverage, Bacchus, booze, liquor, juice, fortifier, inebriant, lotion, intoxicant"
350,形象,xíngxiàng,"imagery, figure, form, picture, persona, image"
351,跑,pǎo,"travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg"
352,选择,xuǎnzé,choice
353,导致,dǎozhì,"bring, lead, bring_about, lead to, incite, result in, conduce, bring about, produce, bring_on, render, set off, spark_off, inspire, inflict, cause, land"
354,提到,tídào,"mention, refer to"
355,气氛,qìfēn,"mood, air, look, feeling, aura, aurae, spirit, smell, genius loci, feel, flavor, atmosphere, tone, karma, ambiance, ambience"
356,动,dòng,"concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move"
357,院士,yuànshì,academician
358,指,zhǐ,refer to
359,充分,chōngfèn,"full, ample, abundant"
360,现代,xiàndài,modern
