,Simplified,Pinyin,Meaning
38,系主任,xìzhǔrèn,"academic administrator, dean, chairman"
39,抗拒,kàngjù,"resist, defy"
40,身长,shēncháng,height (of person)
41,抗拒,kàngjù,"resist, defy"
42,低头,dītóu,"submission, surrender, submit, bow/hang one's head, bow, crouch, lower, yield, hang one's head, bow one's head, lower one's head"
43,往事,wǎngshì,"past, the past, past events"
44,毁,huǐ,"destruction, ruin, slay, damage, slander, spoil, bugger up, burn up, refashion, make over, destroy, defame, demolish"
45,恶,è,"evil, wicked, vicious"
46,华裔,huáyì,foreign citizen of Ch. origin
47,窗户,chuānghù,"window, casement"
48,陨石,yǔnshí,"meteorite, meteor, aerolite, stony meteorite"
49,週刊,zhōukān,"supplement, weekly, weekly (publication)"
50,德,dé,"morality, virtue, kindness"
51,无可,wúkě,cannot
52,阳明山,yángmíngshān,"Yangmingshan, mountain in Taiwan"
53,发表会,fābiǎohuì,"news conference, briefing"
54,高峰,gāofēng,"summit, apex, alp, vertex, acme, peak, height, pinnacle, high, all-time high"
55,歌剧,gējù,"revue, melodrama, opus, operatic, opera"
56,庄严,zhuāngyán,"solemn, dignified, stately"
57,祝福,zhùfú,"invoke blessing, wish happiness to"
58,酒精,jiǔjīng,"ethanol, alcoholic, spirits of wine, alcohol, ardent spirits, ethyl alcohol, spirit, aqua vitae"
59,毫无,háowú,not at all
60,出入,chūrù,come in and go out
61,布条,bùtiáo,"list, strips of cloth"
62,本土化,běntǔhuà,indigenization
63,史料,shǐliào,"historical data/materials, materials, historical data, historical materials, annals"
64,失误,shīwù,mistake
65,再生,zàishēng,"be reborn, regenerate"
66,中外,zhōngwài,China and foreign countries
67,预约,yūyuē,make an appointment
68,文人,wénrén,"man of letters, scholar, literati, civilian (vs. military)"
69,总务处,zǒngwùchù,general affairs section
70,出入,chūrù,come in and go out
71,天性,tiānxìng,"natural instincts, nature"
72,拓宽,tuòkuān,broaden
73,巧,qiǎo,"clever, intelligent, skillful, ingenious, artful, deceiving, pretty, cute, opportune, fortuitous, coincidental"
74,务必,wùbì,"by_any_means, always, must, should, be"
75,预约,yūyuē,make an appointment
76,蒋,jiǎng,"Jiang, Surname"
77,反射,fǎnshè,reflect
78,示威,shìwēi,"put on show of force, demonstrate, march"
79,返国,fǎnguó,return to one's country
80,角逐,jiǎozhú,"contend, tussle"
81,休假,xiūjià,have holiday/vacation/leave
82,放进,fàngjìn,put in
83,好意思,hǎoyìsī,"how can one have the nerve, how can one have the face, have the nerve"
84,休假,xiūjià,have holiday/vacation/leave
85,要件,yàojiàn,important document
86,成群,chéngqún,"cluster, in large numbers, in groups"
87,建材,jiàncái,"fixture, fitting, building materials, structural member, building material"
88,示威,shìwēi,"put on show of force, demonstrate, march"
89,地狱,dìyū,"the pit, hell, infernal, pandemonium, abyss, underworld, ballyhack, Hades, hades, blaze, Sheol, infernal region, Gehenna, Tartarus, Avernus, Topheth, Tophet, heck, nether region, Scheol, Acheron, perdition, the lower regions, Abaddon, netherworld, Hel, Inferno, inferno, Hell"
90,光荣,guāngróng,"honor, glory, credit"
91,协办,xiébàn,do sth. jointly
92,协调会,xiétiáohuì,consultation
93,目的地,mùdìdì,"bourn, goal, destination, terminus, bourne"
94,别墅,biéshù,villa
95,迫使,pòshǐ,"distress, obligate, intrude, exact, haze, enforce, feeze, pressure, tie_down, force, compel, enjoin, flog, insist, condemn, oblige, thrust, impel, necessitate, drive, hurl, sell_up, nail_down, make, corner"
96,徘徊,páihuái,"perambulate, fluctuate, roll, hesitation, mosey, pace up and down, tarry, divagate, peripatetic, roam, stray, vacillate, linger, hover, rove, cast, pace back and forth, cruise, stravage, dally, maunder, wander, loiter, stroll, stooge, waver, drift, on the prowl, range, swan, hang_around, prowl, vagabond, fluctuation, ramble, hesitate, traik, skulk"
97,启示,qǐshì,"apocalypse, illumination, revelation"
98,庄严,zhuāngyán,"solemn, dignified, stately"
99,降,jiàng,"fall, drop, lower"
100,赠送,zèngsòng,"present, complimentary, ladle, give_away, present ... as a gift, proffer, gift, give, present as gift, donate, compliment, give ... as a present"
101,面谈,miàntán,discuss face to face
102,角逐,jiǎozhú,"contend, tussle"
103,便于,biànyū,"easy to, convenient for"
104,傢伙,jiāhuǒ,"bastard, gent, bounder, gink, son-of-a-bitch, blighter, bod, heel, specimen, pistol, lad, cad, fellow, customer, implement, josser, dagger, gazabo, bleeder, blackguard, bozo, chappie, cat, joe, knocker, egg, jasper, bloke, merchant, gat, bugger, geezer, nabs, brother, feller, rascal, scout, dick, skate, hombre, cuss, jake, hound, cove, devil, dog, person, sirrah, beggar, fella, chap, guy, duck, buste"
105,返国,fǎnguó,return to one's country
106,家用,jiāyòng,family used
107,风暴,fēngbào,"tempest, roughness, firestorm, windstorm, squall, blow, tempestuousness, storm"
108,秒钟,miǎozhōng,m.[standard]
109,柏林,bólín,Berlin
110,英国人,yīngguórén,"nabob, British people, John Bull, Britisher, Anglo-Saxon, pom, Briton, English people, Anglo, Englishman, English, English person, the English, Englishmen, Brit, British, Englander, pommy, Brits, the British, limey"
111,面谈,miàntán,discuss face to face
112,拓宽,tuòkuān,broaden
113,严谨,yánjǐn,"rigorous, strict, compact, well-knit"
114,还,huán,"give back, return, repay, give/do sth. in return"
115,再生,zàishēng,"be reborn, regenerate"
116,朝向,cháoxiàng,"head, face, look, confront, front, facing, point, steer, take, orient, tend, fasten, make, turn towards, turn"
117,震惊,zhènjīng,"shock, amaze, astonish"
118,繁忙,fánmáng,busy
119,歌谣,gēyáo,"nursery rhyme, folk_song, song, lay, derry, folk song, ditty, ballad"
120,预测,yūcè,forecast
121,震惊,zhènjīng,"shock, amaze, astonish"
122,电视机,diànshìjī,"set, idiot_box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle_box, tv set, goggle box, boob tube, receiver, telly, television"
123,标榜,biāobǎng,"excessively praise, parade, glorify, advertisement, boast, boost, advertise, flaunt"
124,澄清,chéngqīng,"clear up, clarify"
125,繁忙,fánmáng,busy
126,工作者,gōngzuòzhě,worker
127,嫁,jià,marry (of a woman)
128,虚无,xūwú,nothingness
129,评核,pínghé,examine and comment
130,解严,jiěyán,"end martial law, lift curfew"
131,路径,lùjìng,"path, lane, pathway, ways and means, route, footpath, method, way, career"
132,遊乐区,yóulèqū,playground
133,澄清,chéngqīng,"clear up, clarify"
134,心血,xīnxiě,painstaking care/effort
135,关节,guānjié,joint
136,迈入,màirù,stride forward
137,讚美,zànměi,"praise, eulogize"
138,关,guān,"pass, barrier, crux, critical juncture, turning/key point, key part"
139,赛程,sàichéng,contest schedule/agenda
140,支配,zhīpèi,"arrange, allocate, budget, control, dominate, govern"
141,小提琴,xiǎotíqín,violin
142,误解,wùjiě,misunderstanding
143,人民日报,rénmínrìbào,The People's Daily
144,台语,táiyǔ,"Min, Taiwanese(Language), Formosan, Min dialect, Hokkianese, Taiwanese, Fukkianese, Amoy, Fukien"
145,不定,búdìng,"uncertain, indeterminate, indefinite, undetermined"
146,山坡,shānpō,"hillside, mountain slope"
147,不等,bùděng,disparity
148,大雨,dàyǔ,heavy rain
149,小镇,xiǎozhèn,whistle_stop
150,上来,shànglái,"come_up, come up"
151,引擎,yǐnqíng,engine
152,解严,jiěyán,"end martial law, lift curfew"
153,木材,mùcái,"patina, heartwood, wood, stuff, lumber, cabinet wood, timber"
154,芝加哥,zhījiāgē,Chicago
155,易于,yìyū,be apt to
156,后代,hòudài,"descendant, posterity, descendants, later generations, ages, limb, later ages, get, descendent, later periods, offspring, later periods in history, progeny"
157,拚命,pànmìng,"risk life, make death-defying effort"
158,祈祷,qídǎo,pray
159,板桥,bǎn,"wooden bridge, Banchiau (city in Taiwan)"
160,拜拜,bàibài,bow down
161,祈祷,qídǎo,pray
162,殿堂,diàntáng,"mansion, manse, hall, palace, temple, residence, mansion house"
163,相传,xiāngchuán,"tradition has it that..., according to legend, pass on from one to another, hand down from one to another, hand down or pass on from one to another"
164,侦讯,zhēnxùn,"interrogation, investigate and interrogate"
165,汙染,wūrǎn,pollution
166,更何况,gènghékuàng,"much less, let alone, all the more"
167,好,hǎo,"conj.: so as to, so that"
168,助,zhù,"aid, assist, assistance, help"
169,取材,qǔcái,select material (for book/etc.)
170,抽出,chōuchū,"elicit, run_out, put forth (of certain plants), take out, obtain by drawing, slide, take out (from in between), take (part from whole), draw, perm, whop, etc., pull, get out, take ... out from in between, draw_out, reel, spare, pull out"
171,重叠,chóngdié,"telescope, duplicate, superpose, overlap, repeated, lap"
172,长久以来,chángjiǔyǐlái,"long ago, long_since, lang syne, for a long time, long since"
173,骨头,gǔtóu,"os, strong character, bone, character, person of a certain character"
174,感想,gǎnxiǎng,"sentiment, reflections, feeling, thoughts, impressions, impression"
175,索取,suǒqǔ,"scrounge, extort, subpoena, obtain, charge, demand, exact, ask for"
176,起初,qǐchū,"initio, ab initio, first, primarily, early, in_the_beginning, originally, at_first, in the beginning, initially, at the start, at first, early on"
177,神圣,shénshèng,"sacred, holy"
178,探,tàn,"explore, stretch forward, visit, look for, call on, sound, stretch, stretch/pop forward, try to find out, survey, exploration, sounding, pop forward, pay a call on"
179,配,pèi,"match, find sth. to fit/replace sth. else, deserve, be worthy of, be qualified, compound, mix"
180,莫大,mòdà,"greatest, utmost"
181,美元,měiyuán,U.S. dollar
182,参展,cānzhǎn,participate in exhibition
183,前卫,qiánwèi,avant-garde
184,泪,lèi,"tear, lachrymal, teardrop, brine, eyewater"
185,都会,dūhuì,"big city, city, metropolis"
186,闪,shǎn,"sprain, get out of the way, wink, shine, leave behind, have mishap, twist, sparkle, dodge, flash"
187,参展,cānzhǎn,participate in exhibition
188,强劲,qiángjìn,"strong, forceful, sturdy, powerful"
189,清醒,qīngxǐng,"waken, wake up, sober up, be wide-awake, be clear-headed, wide-awake, wake, be sober, awaken, be sober/wide-awake, sober, come alive, awake, come to, regain consciousness, arouse, sober_up"
190,拿去,náqù,"eloign, collar, take something to, take_away, take away"
191,华侨,huá,overseas Chinese
192,消基会,xiāojīhuì,Consumer's Foundation
193,活跃,huóyuè,"animate, kick around, active, invigoration, knock_about, cavort, enliven, vitalize, knock about, energize, flourish, invigorate, brighten, kick about, vitalization, vivify, move"
194,规范,guīfàn,"direct, formulate"
195,衍生,yǎnshēng,"derive, form"
196,东北,dōngběi,"Northeast China, Manchuria"
197,房价,fángjià,"house/apartment purchase price, house purchase price, apartment purchase price, house"
198,异国,yìguó,foreign country
199,巢,cháo,"nest, lair"
200,觅食,mìshí,"forage, scavenge, look for food, forage (of animals)"
201,设厂,shèchǎng,build a factory
202,更多,gèngduō,more
203,通车,tōngchē,"be open to traffic, have transport service"
204,明知,míngzhī,"know perfectly well, be fully aware"
205,特权,tèquán,"regalia, privilege, charter, freedom, vested interest, exclusive right, franchise, perquisite, liberty, peculiar, exclusive, prerogative, vested_interest, faculty, indulgence"
206,通话,tōnghuà,"converse, communicate by telephone"
207,起步,qǐbù,start (a task)
208,拿出来,náchūlái,"take_out, take out"
209,通话,tōnghuà,"converse, communicate by telephone"
210,堆,duī,pile/heap up
211,率先,shuàixiān,take lead/initiative
212,起步,qǐbù,start (a task)
213,设厂,shèchǎng,build a factory
214,地坪,dìpíng,"terrace, floor"
215,自认,zìrèn,"avow, be conscious, own, aware, resign oneself to, accept as unavoidable"
216,投注,tóuzhù,"throw into, throw one's energy/emotion into, throw one's emotion into, throw one's energy into, mortgage, emotion into, throw one's energy"
217,羽毛,yǔmáo,"plumage, feathering, plume, feather"
218,巡视,xúnshì,make inspection tour
219,供水,gōngshuǐ,supply water
220,好比,hǎobǐ,"like, may be likened to, be just like, can be compared to"
221,求,qiú,"request, entreat"
222,红血球,hóngxiěqiú,"red_blood_cell, erythrocyte, red blood cell"
223,血压,xiěyā,blood pressure
224,社会局,shèhuìjú,Department of Social Welfare
225,巡视,xúnshì,make inspection tour
226,好莱坞,hǎoláiwù,Hollywood
227,成品,chéngpǐn,"end, end product, turnoff, end/finished product, finished product, facture"
228,相对论,xiāngduìlùn,"relativity, theory of relativity, relativism, relativistic, theory_of_relativity"
229,病变,bìngbiàn,pathology
230,建筑,jiànzhú,"build, construct, erect"
231,衍生,yǎnshēng,"derive, form"
232,雄,xióng,"male, grand, imposing, powerful, mighty"
233,供水,gōngshuǐ,supply water
234,不平,bùpíng,dissatisfaction
235,通车,tōngchē,"be open to traffic, have transport service"
236,总部,zǒngbù,"base of operations, head office, armory, base, headquarters"
237,遭遇,zāoyū,vicissitudes of life
238,迁移,qiānyí,"move, remove, migrate"
239,腐败,fǔbài,"rotten, putrid, decayed, corrupt"
240,不平,bùpíng,dissatisfaction
241,市中心,shìzhōngxīn,"central city, municipal center, down_town, core city, city center, civic center, hub, civic_center, down town, town"
242,公所,gōngsuǒ,"public affairs office, administrative office"
243,歌唱,gēchàng,sing
244,不以为然,bùyǐwéirán,"disagree, not approve of, acceptable, object to, consider sth. not so, take exception to, right"
245,说出来,shuōchūlái,"come out with, speak up"
246,出色,chūsè,"outstanding, remarkable, splendid"
247,出发点,chūfādiǎn,"terminus a quo, base, takeoff, starting_point, start, starting_post, beachhead, springboard, starting, starting point, starting post"
248,工业局,gōngyèjú,Industrial Development Bureau
249,土木,tǔmù,"girder, construction, building"
250,中药,zhōngyào,trad. Ch. medicine
251,工夫,gōngfū,"workmanship, skill, art"
252,蓝图,lántú,"pattern, blueprint, cyanotype, design, project outline"
253,糟糕,zāogāo,"terrible, Too bad!, What a mess!"
254,女朋友,nǔpéngyǒu,"jane, girl, girl friend, lady friend, girlfriend, amie"
255,腐败,fǔbài,"rotten, putrid, decayed, corrupt"
256,忍,rěn,"forbear, endure, put up with, be hardhearted enough to, hold back, bear, bide, toleration, tolerate, have the heart to, tolerance"
257,发佈,fābù,"issue, announce"
258,搬到,bāndào,move
259,菁英,jīngyīng,"elite, person of outstanding ability"
260,颁奖,bānjiǎng,present reward/honor
261,哟,yāo,particle: expressing exclamation/warning/negative evaluation/etc.
262,迁移,qiānyí,"move, remove, migrate"
263,轮,lún,m.[event]
264,起码,qǐmǎ,at least
265,亲眼,qīnyǎn,"with one's own eyes, personally"
266,谈话,tánhuà,"talk, chat"
267,绰号,chuòhào,nickname
268,歌唱,gēchàng,sing
269,疑虑,yílù,"misgivings, doubts"
270,频宽,pínkuān,"channel capacity, broadband"
271,宁愿,níngyuàn,"prefer, (would) rather, better, choose"
272,餐饮,cānyǐn,"catering, foods, table"
273,善恶,shànè,good and evil
274,定义,dìngyì,define
275,高市,gāoshì,Kaohsiung city (a city in Taiwan)
276,起飞,qǐfēi,take off (of planes/etc.)
277,追寻,zhuīxún,"pursue, search, track down"
278,起飞,qǐfēi,take off (of planes/etc.)
279,国度,guódù,"country, state, nation, national expenditure"
280,拿,ná,introducing instrument or target
281,深感,shēngǎn,feel deeply
282,神明,shénmíng,"god, gods, divinities, deity, deities, divinity"
283,情侣,qínglǔ,"sweethearts, lovers"
284,透过,tòuguò,seep through
285,进场,jìnchǎng,march into arena
286,担忧,dānyōu,be apprehensive
287,圣经,shèngjīng,"Holy Scripture, bible, Word of God, Holy Bible, scriptural, Vulgate, Holy_Writ, testimony, book, writings of ancient sages, version, Holy Writ, Scripture, Word, scripture, Bible, Good Book"
288,崩溃,bēngkuì,"collapse, fall apart"
289,意图,yìtú,"intention, intent"
290,节约,jiéyuē,"economize, save"
291,诉说,sùshuō,"tell, relate, recount"
292,善意,shànyì,"good_faith, grace, good intention, benevolence, love, goodwill, good will"
293,黑暗,hēiàn,"dark aspect, seamy side"
294,伤口,shāngkǒu,"wound, cut"
295,节约,jiéyuē,"economize, save"
296,黑面琵鹭,hēimiànpílù,Black-faced Spoonbill
297,援助,yuánzhù,"support, aid"
298,进场,jìnchǎng,march into arena
299,维他命,wéitāmìng,"calciferol, vitamine, vitamin"
300,运转,yùnzhuǎn,"revolve, turn round, work, operate"
301,指称,zhǐchēng,"assert, declare, profess"
302,乖,guāi,"be at variance, well-behaved, obedient, oppose"
303,改编,gǎibiān,"adapt, rearrange, revise"
304,决心,juéxīn,"decide, make up one's mind"
305,忠告,zhōnggào,"remonstrance, remonstration, monition, wind, admonishment, sincere advice, tip, steer, advice, advert, lead, rede, dehortation, expostulation, counsel, hint, admonition, exhortation, confidential information, pointer"
306,改编,gǎibiān,"adapt, rearrange, revise"
307,佳作,jiāzuò,"fine piece of writing, excellent work"
308,法师,fǎshī,"exorcist, reverend, rabbi, enchanter, monk, a title of respect for a Buddhist or Taoist priest, magus, Master (title for Buddhist/Daoist priest), Master, master, Master (title for Buddhist, Daoist priest)"
309,刻,kē,"carve, engrave, cut"
310,彷彿,fǎngfú,"seem, as if"
311,指称,zhǐchēng,"assert, declare, profess"
312,面孔,miànkǒng,"phiz, face, physiognomy"
313,浪潮,làngcháo,"moving ridge, wave, tide"
314,研商,yánshāng,study and discuss
315,贯彻,guànchè,"carry out, implement"
316,美商,měishāng,"American business man, American merchants"
317,香蕉,xiāngjiāo,banana
318,香味,xiāngwèi,"spicery, incense, redolence, odor, aroma, spiciness, sweetness, fragrance, flavor, bouquet, sapidness, flavour, sapidity, perfume, spice, smell, snuff, scent, fragrancy, balm, nose, zest"
319,信号,xìnhào,"sign, cue, beacon, code, beacon fire, messenger, signal, semaphore, signaling, waft"
320,恐龙,kǒnglóng,"carnosaur, tyrannosaurus, Titanosaurus, dinosaur, dinosaurian"
321,研商,yánshāng,study and discuss
322,流血,liúxiě,"shed blood, hemorrhage, bloody, bleed"
323,长城,chángchéng,"impregnable bulwark, the Great Wall, Great Wall"
324,食堂,shítáng,"mess_hall, eatery, hall, buttery, commissariat, (institutional) dining room, mess hall, mess, refectory, dining room, canteen"
325,最少,zuìshǎo,minimum
326,斜,xié,"oblique, inclined, tilted"
327,业余,yèyū,"unpaid, dilettante, amateur, recreational"
328,空前,kōngqián,unprecedented
329,宝座,bǎozuò,throne
330,运转,yùnzhuǎn,"revolve, turn round, work, operate"
331,拨,bō,"move with hand/foot/stick/etc., turn, stir, poke"
332,体贴,tǐtiē,"be considerate, be thoughtful"
333,转身,zhuǎnshēn,"turn round, go_about, face about, turn"
334,坏事,huàishì,"rascality, evildoing, misdoing, villainy, roguery, bad thing, malfeasance, evil deed, caper"
335,大展,dàzhǎn,exhibition
336,玉,yū,jade
337,民营化,mínyínghuà,"denationalize, privatize"
338,大举,dàjǔ,"go_all_out, on a large scale, in a large scale, in a big way, (do sth.) on a large scale"
339,上扬,shàngyáng,rise
340,大半,dàbàn,det.: more than half
341,不动产,búdòngchǎn,"immovable, demesne, real estate, movable, estate, realty, immovables, reality, real property, freehold, real_estate, hereditament, real_property"
342,一块,yīkuài,"at same place, together"
343,聚会,jùhuì,"get-together, gathering"
344,公关,gōngguān,person in public relations
345,写成,xiěchéng,write
346,鼓舞,gǔwǔ,"inspire, hearten, dance for joy, rejoice"
347,联合会,liánhéhuì,"union, league, federation"
348,学长,xuézhǎng,"fellow student, department/division head in college/university, one's senior at school"
349,树枝,shùzhī,"branch, twig"
350,绿化,lùhuà,"make (a place) green, afforest"
351,头部,tóubù,"costard, crest, caput, head, nose, top section"
352,绿化,lùhuà,"make (a place) green, afforest"
353,赌博,dǔbó,gamble
354,中途,zhōngtú,"halfway, midstream, midway"
355,鼓舞,gǔwǔ,"inspire, hearten, dance for joy, rejoice"
356,贪污,tānwū,"corrupt, venal"
357,高明,gāomíng,"brilliant, wise"
358,深入,shēnrù,"go deep into, penetrate into"
359,弃,qì,"abandonment, abandon, discard, throw away"
360,财源,cáiyuán,"financial resources, source of revenue"
361,处置,chǔzhì,"deal with, manage, dispose of, punish"
362,专属,zhuānshǔ,be specific to
363,处置,chǔzhì,"deal with, manage, dispose of, punish"
364,洽谈,qiàtán,"hold trade talk, negotiate"
365,国中生,guózhōngshēng,students of junior high school
366,突破,túpò,"breakthrough, penetration"
367,降至,jiàngzhì,"drop to, fall to"
368,信讬,xìntuō,entrust
369,贪污,tānwū,"corrupt, venal"
370,假使,jiǎshǐ,"conj.: if, in case, in the event that"
371,张开,zhāngkāi,"gap, yawn, gape, dehisce, unfold, open, spread, yaw, splay"
372,单打,dāndǎ,play by oneself
373,停车位,tíngchēwèi,parking spot
374,绑,bǎng,"bind, tie, bind sb.'s hands behind him, truss up"
375,填,tián,"writing, fill in, stuff, write, fill, close, charge, fill up"
376,贵宾,guìbīn,"honored guest, VIP, visiting fireman, visitant, honoured guest, distinguished guest, visiting_fireman, honored/distinguished guest, honored"
377,葡萄,pútáo,grape
378,隔壁,gébì,next door
379,沿岸,yánàn,"coast, banks, seacoast, bank"
380,光华,guānghuá,"resplendence, splendor, brilliance, splendour, resplendency, glory"
381,倾倒,qīngdào,pour
382,混,hùn,fool/play around together
383,束缚,shùfú,"tie up, fetter"
384,朝廷,cháotíng,"imperial government, royal, court, courtly, royal government, government, royal/imperial court/government, imperial court, royal court"
385,两,liǎng,m.[standard]
386,低落,dīluò,"low, downcast"
387,字典,zìdiǎn,"lexicon, wordbook, lexical, thesaurus, chararter dictionary, dictionary"
388,如意,rúyì,as one wishes
389,注目,zhùmù,"notice, fix one's eyes on, fix eyes on, rivet, remark, gaze at"
390,色调,sèdiào,"hue, tincture, tint, nuance, tonality, tone, chromaticity, tinct, dye, key, shade"
391,冷漠,lěngmò,"cold and detached, unconcerned, indifferent"
392,低落,dīluò,"low, downcast"
393,供需,gōngxū,supply and demand
394,告,gào,"accuse, go to law against"
395,例外,lìwài,excepted
396,作物,zuòwù,crop
397,洽谈,qiàtán,"hold trade talk, negotiate"
398,但愿,dànyuàn,"wish, if only..., I wish that..., may, might"
399,束缚,shùfú,"tie up, fetter"
400,任内,rènnèi,during term of office
401,奇异,qíyì,"bizarre, freak, odd, queer, fantastic, strange"
402,冷漠,lěngmò,"cold and detached, unconcerned, indifferent"
403,交互,jiāohù,"each other, mutual, alternately, in turn"
404,即已,jíyǐ,already
405,典范,diǎnfàn,"quintessence, nonpareil, example, specimen, nonsuch, apotheosis, ideal, nonesuch, prototype, monument, paragon, role model, soul, saint, model"
406,剖析,pǒuxī,"analyze, dissect"
407,红茶,hóngchá,"tea, bohea, black_tea, black tea"
408,剖析,pǒuxī,"analyze, dissect"
409,官兵,guānbīng,"officers and men, government troops"
410,人马,rénmǎ,"rider and mount, forces, coolies and beasts of burden, troops"
411,尼泊尔,níbóěr,Nepal
412,友谊,yǒuyí,"fellowship, comity, communion, attachment, companionship, friendly relationship, sodality, association, friendship, good-fellowship, friendliness, company, palship"
413,方程式,fāngchéngshì,"equation, formula"
414,加重,jiāzhòng,"make heavier, punctuate, increase, make or become more serious, weight, become more serious, exacerbate, aggravate, exasperate, make more serious, become heavier, increase the weight of, make"
415,半数,bànshù,"half, half (the number), det.: half"
416,中华民族,zhōnghuámínzú,"the Chinese nation, Ch. people"
417,引来,yǐnlái,"invoke, bring, invite, draw, ask for"
418,权势,quánshì,power and influence
419,及早,jízǎo,"at an early date, as soon as possible"
420,倘若,tǎngruò,"conj.: if, supposing, in case"
421,厘清,líqīng,"clarify, bring home, make clear"
422,城乡,chéngxiāng,"urban and rural, town and country"
423,集,jí,collection of writings
424,看成,kànchéng,"take for/as, as, look upon .. as, take for, take as, regard ... as"
425,功用,gōngyòng,"effect, function, usefulness, utility, use"
426,审慎,shěnshèn,cautious; circumspect
427,纤维,xiānwéi,"fiber, staple"
428,等,děng,"class, grade"
429,感慨,gǎnkài,sigh with emotion
430,酸,suān,"sick at heart, grieved, distressed, aching, tingling"
431,云门,yúnmén,Cloud Gate
432,节日,jiérì,"festival, holiday"
433,废弃物,fèiqìwù,"litter, refuse, trash"
434,睡眠,shuìmián,sleep
435,尽情,jìnqíng,"fully, as much as one likes"
436,猪肉,zhūròu,pork
437,疑惑,yíhuò,"be perplexed, be uncertain"
438,频谱,pínpǔ,"spectrum, spectrogram"
439,构图,gòutú,composition (of picture)
440,灭,miè,"destruction, go out, put out, wipe out, extermination, put/go out, put, exterminate, turn off, destroy, extinguish"
441,装备,zhuāngbèi,"equipment, outfit"
442,集会,jíhuì,"assemble, rally, gather"
443,稍后,shāohòu,later on
444,集会,jíhuì,"assemble, rally, gather"
445,隔离,gélí,"keep apart, segregate, isolate"
446,富有,fùyǒu,"be rich in, be full of"
447,置身,zhìshēn,place/keep oneself
448,跟随,gēnsuí,"keep abreast, succeed, heel, come after, keep up, follow, tag, pursue"
449,寒冷,hánlěng,"cold, frigid"
450,隔离,gélí,"keep apart, segregate, isolate"
451,标记,biāojì,"sign, mark, symbol"
452,极其,jíqí,"absolutely, extremely, very, parlous, heaps, utterly, entirely, miserably, goldarn, precious, exceedingly, passing, definitely, plaguily, passingly, totally, staving, goldurn, completely"
453,摸索,mōsuǒ,"grope, feel about, fumble, try to find out"
454,劳动力,láodònglì,"labor force, labor, capacity for physical labor, able-bodied person"
455,慈善,císhàn,"benevolent, charitable, philanthropic, benevolently"
456,炼钢,liàngāng,make steel
457,开朗,kāilǎng,clear up (of weather)
458,激起,jīqǐ,"elicit, feed, animate, stir up, arise, pique, enliven, fire, fan, inspire, galvanize, raise, enkindle, stir, arouse, wind up, excite, turn on, provoke, spark, kindle, sex, prompt, evoke, uprouse, ferment, whip_up, awake, rouse, evocation, invigorate, exalt"
459,监狱,jiānyū,"prison, jail"
460,剧院,jùyuàn,theater
461,摸索,mōsuǒ,"grope, feel about, fumble, try to find out"
462,诱惑,yòuhuò,"tempt, seduce, lure"
463,涨幅,zhǎngfú,range of rise
464,寿命,shòumìng,life
465,莫过于,mòguòyū,nothing is more...than
466,相对的,xiāngduìde5,relatively
467,风光,fēngguāng,"scene, view, sight"
468,长老,zhǎnglǎo,"elder, patriarch, elders, eldership, senior monk, paterfamilias, village elders, head of household, elder of a Buddhist monastery, graybeard, presbyter, sheikh, past_master, dean, past master, abbe"
469,河南,hénán,Henan province
