,Simplified,Pinyin,Meaning
254,改组,gǎizǔ,"reorganize, reshuffle"
255,执,zhí,"hold in hand, persist in, stick to, carry out, implement, direct, manage, catch, capture"
256,自卑,zìbēi,"feel oneself inferior, have low self-esteem"
257,占据,zhànjù,"inhabit, occupy, stand, assume, prevail, hold, invade, occupation, take, take up"
258,牟,móu,Surname
259,伴奏,bànzòu,accompany (with musical instruments)
260,交响乐团,jiāoxiǎngyuètuán,"orchestra, symphony_orchestra, symphony orchestra, symphony, philharmonic"
261,步行,bùxíng,"hoof it, tread, ambulate, leg it, foot, pedestrianize, footslog, tramp, go on foot, hoof, step, locomote, walk"
262,肝硬化,gānyìnghuà,"cirrhosis of the liver, cirrhosis (of liver), hepatocirrhosis, cirrhosis"
263,何谓,héwèi,"what is, what is the meaning of, what is meant by"
264,作弊,zuòbì,"indulge in corrupt practices, crib, cheat, fix, practice corruption, exam, misbehave, cheat on test, cheat on exam, corruption, practice fraud, practise fraud"
265,占用,zhànyòng,"occupy, take over"
266,享受到,xiǎngshòudào,be able to enjoy
267,周恩来,zhōuēnlái,first premier of PRC
268,改组,gǎizǔ,"reorganize, reshuffle"
269,西瓜,xīguā,"water melon, watermelon"
270,佔用,zhànyòng,"occupy, take over"
271,夸克,kuākè,quark
272,妓女,jìnǔ,"slattern, ho, cyprian, scrubber, bitch, hetaera, tootsie, bawd, lady of pleasure, girlie, demimonde, wench, working girl, floozie, sporting lady, fancy woman, streetwalker, nightwalker, prostitute, dickeybird, street_girl, harlot, hooker, street girl, light-o'-love, woman of the street, floozy, courtesan, moll, doxy, strumpet, tart, whore, cocotte, trollop, hustler, brass"
273,哥伦比亚,gēlúnbǐyǎ,"Columbia, Colombia"
274,副词,fùcí,adverb
275,迷惑,míhuò,"puzzle, confuse, baffle"
276,时分,shífēn,time
277,迷惑,míhuò,"puzzle, confuse, baffle"
278,迴避,huíbì,"evade, dodge, avoid (meeting sb.)"
279,副主席,fùzhǔxí,"subchairman, croupier, vice-chairman, vice chairman, cochairman"
280,狭小,xiáxiǎo,"narrow and small, narrow"
281,祭祀,jìsì,offer sacrifices to gods/ancestors
282,时间表,shíjiānbiǎo,"time_sheet, schedule, timetable, time sheet"
283,带走,dàizǒu,take away
284,矩阵,jǔzhèn,"matrix, dot matrix"
285,祭祀,jìsì,offer sacrifices to gods/ancestors
286,访谈,fǎngtán,interview
287,侦测,zhēncè,"reconnoiter, scout, pry"
288,割,gē,"hack, cut, fissure, slit, crop, slice, mow, carbonado"
289,贩售,fànshòu,"deal, trade, sell, peddle"
290,执意,zhíyì,"insist on, be bent on"
291,托,tuō,"hold in palm, support from under, serve as foil, set off, plead, give as a pretext, rely on, entrust, put lining in"
292,副所长,fùsuǒzhǎng,associate head of an institute/etc.
293,泡茶,pàochá,make tea
294,设想,shèxiǎng,"imagine, assume, have consideration for"
295,青花,qīnghuā,blue and white porcelain
296,规章,guīzhāng,"rules, rule, regulation, regulations, regs, observance"
297,城墙,chéngqiáng,"enceinte, city wall, rampart"
298,武装,wǔzhuāng,arm
299,美德,měidé,"good, virtue, merit, goodness, virture, moral excellence, excellency"
300,按摩,ànmó,massage
301,自卑,zìbēi,"feel oneself inferior, have low self-esteem"
302,流露,liúlù,betray/reveal unintentionally
303,理事会,lǐshìhuì,"council, board of directors"
304,爬山,páshān,"mountaineer, climb mountain, climb"
305,拯救,zhěngjiù,"spare, help, extricate, rescue, save, deliver"
306,美方,měifāng,"burro, USA authorities"
307,纪律,jìlù,"disciplinary, discipline, ferule, morale, regime, laws and regulations"
308,娃娃,wáwá,"mammet, baby, doll, child"
309,勉励,miǎnlì,"encourage, urge"
310,按摩,ànmó,massage
311,流露,liúlù,betray/reveal unintentionally
312,增资,zēngzī,increase capital
313,学识,xuéshì,"knowledge, learning, acquisition, reading, acquirement, attainment, literature, scholarly attainments, cognition, erudition, education, acquire, scholarship"
314,漏洞,lòudòng,"leak, flow, hole, loophole"
315,营区,yíngqū,post
316,预见,yūjiàn,"envision, predict, foresee, previse, foreknow, prefigure, envisage"
317,震动,zhèndòng,"shake, shock, vibrate"
318,增资,zēngzī,increase capital
319,忧心,yōuxīn,worried; anxious
320,应对,yìngduì,"reply, answer"
321,呕吐,ǒutù,"heave, barf, sick, puke, gag, vomit, cat, upchuck, reject, spew, vomitive, disgorge, bring_up, be sick, regorge, heave_up, throw up"
322,忧心,yōuxīn,worried; anxious
323,质问,zhíwèn,"interrogate, bombard, pose, heckle, call to account, inquire, interrogation, oppugn, question, quiz, ask"
324,驾车,jiàchē,"drive, drive a vehicle, drive a car"
325,驾,jià,"harness, draw (cart/etc.), drive, pilot, sail"
326,震动,zhèndòng,"shake, shock, vibrate"
327,编码,biānmǎ,compile
328,编班,biānbān,group into classes
329,纲领,gānglǐng,"summary, creed, programme, political program, political platform, guiding principle, digest, outline, program, platform"
330,换成,huànchéng,change to
331,勤劳,qínláo,"hardworking, ply, industrious"
332,木板,mùbǎn,"batten, deal, board, plank, planch, softwood"
333,开销,kāixiāo,"disbursal, expense, spending, outlay, disbursement, expense account"
334,演进,yǎnjìn,"evolve, progress gradually"
335,催,cuī,"urge, hurry, press, hasten, expedite"
336,募款,mùkuǎn,"collection, fundraising"
337,善后,shànhòu,deal with aftermath
338,复出,fùchū,restart
339,黑洞,hēidòng,"dark cave/hole, black hole"
340,演进,yǎnjìn,"evolve, progress gradually"
341,费时,fèishí,"take time, be time-consuming"
342,盟军,méngjūn,"Allies Forces, allied forces"
343,感触,gǎnchù,"feel, texture, sentiment, thoughts and feelings, feeling, tactile property"
344,就医,jiùyī,seek medical advice
345,报考,bàokǎo,enter oneself for an examination
346,节节,jiéjié,"one after another, step by step"
347,善后,shànhòu,deal with aftermath
348,燕子,yànzi,"barn_swallow, swallow"
349,经济学,jīngjìxué,economics
350,镜,jìng,"mirror, lens, glass"
351,子公司,zǐgōngsī,"subsidiary company, subsidiary corporation, subcompany, subsidiary"
352,下台,xiàtái,"fall out of power, leave office, step down from the stage/platform"
353,打量,dǎliàng,"estimate, conjecture, size up, reckon, look up and down, suppose, give the once over, think, look ... up and down, measure with the eye, give the eye, calculate"
354,人造,rénzào,"man-made, synthetic, artificial"
355,方才,fāngcái,"just now, a moment ago, not...until, just, only by"
356,布置,bùzhì,"dispose, embellish, arrange, set up, lay, assign, fix up, upholster"
357,手帕,shǒupà,handkerchief
358,北投,běitóu,Peitou
359,临,lín,facing
360,公信力,gōngxìnlì,"trustworthiness, credit"
361,鹰,yīng,"hawk, eagle, falcon"
362,浏览,liúlǎn,"thumb, glance, riff, scan, riffle, leaf, riffle through, pass over, browse, dip_into, skim, skim through, run_through, flick, flip, dip into, glance over, peruse"
363,虽说,suīsuō,"conj.: though, although"
364,蹲,dūn,"squat on heels, stay"
365,变异,biànyì,variation
366,复出,fùchū,restart
367,翻译,fānyì,"translator, interpreter"
368,加装,jiāzhuāng,"install, erect, fix, mount"
369,反驳,fǎnbó,"refute, retort, negate"
370,旗帜,qízhì,"flag, stand, banner, colors, standard, colours, pennon, ensign, streamer, national flag, rallying point, signal flag"
371,挤满,jǐmǎn,"swarm, crawl, filled to overflowing, jam, draw together, crowd, crowded, overcrowd, crowd together, throng"
372,共存,gòngcún,coexist
373,文革,wéngé,Great Proletarian Cultural Revolution
374,考古学家,kǎogǔxuéjiā,"archeologist, archaeologist"
375,主从,zhǔcóng,principal and subordinate
376,回报,huíbào,"repay, reciprocate, retaliate"
377,下台,xiàtái,"fall out of power, leave office, step down from the stage/platform"
378,公用,gōngyòng,be for public use
379,编班,biānbān,group into classes
380,升迁,shēngqiān,be transferred and promoted
381,手表,shǒubiǎo,wristwatch
382,外地,wàidì,"parts of the country other than where one is, place other than where one is"
383,代,dài,take the place of
384,天候,tiānhòu,weather
385,外头,wàitóu,"outside, out"
386,升迁,shēngqiān,be transferred and promoted
387,反驳,fǎnbó,"refute, retort, negate"
388,前科,qiánkē,"record, record of previous crime, previous criminal record, criminal record"
389,舌头,shétou5,"lingua, clack, tongue, clapper, ability to talk, glossa, enemy soldier captured to extract inform, enemy soldier captured to extract information, an enemy soldier captured for the purpose of extra"
390,有机,yǒujī,organic
391,政坛,zhèngtán,political circles
392,宣示,xuānshì,"announce, proclaim"
393,急切,jíqiè,"eager, impatient, in a hurry, in haste"
394,轨迹,guǐjī,"track, orbit, trail, locus"
395,东南,dōngnán,"sou'-east, Southeast China, southeast, SE"
396,迎面,yíngmiàn,"head-on, face-to-face"
397,休憩,xiūqì,have/take a rest
398,咦,yí,of surprise/disapproval
399,套牢,tàoláo,"lock, lock up"
400,爹,diē,"old man, father, papa, pappa, daddy, pa, pop, dada, dad, pater"
401,宫廷,gōngtíng,"royal, royal/imperial court, cupbearer, court, royal or imperial court, royal court, imperial court, palace"
402,砂石车,shāshíchē,sandstone car/truck
403,限定,xiàndìng,"prescribe limit to, demarcate, specify, qualify, restrict, restriction, set limit to, specialize, prescribe a limit to, prescribe, prescribe/set limit to, set a limit to, restrain, delimitate, define, terminate, ration, determine, limit, delineate, delimit"
404,庭院,tíngyuàn,"mews, patio, area, court, courtyard, close, cortile, yard, garth, garden"
405,建立起,jiànlìqǐ,"establish, set up, found"
406,投下,tóuxià,"throw, drop, sink, fling, overhand"
407,乱象,luànxiàng,maze
408,签,qiān,"sign, autograph"
409,尖锐,jiānruì,"sharp-pointed, sharpen, penetrate, acuminate, shrill, sharp, sharpened, intense, penetrating, piercing, incisive, acute"
410,列举,lièjǔ,"chronicle, cite item by item, specify, list, marshal, number, enumeration, article, particularize, rehearse, count, recite, enumerate, itemize"
411,作曲,zuòqǔ,"write music, compose"
412,波湾,bōwān,Persian Gulf
413,底层,dǐcéng,"first floor, understratum, bottom, underside, the lowest rung, first, undersurface, underlayer, ground level, ground floor, first/ground floor, substratum, first_floor, basement"
414,延迟,yánchí,"delay, postpone"
415,收看,shōukàn,"watch, tune in, watch (e.g., receive, look in, watch (e.g., TV), tune into, TV)"
416,奔驰,bēnchí,"run quickly, speed"
417,延迟,yánchí,"delay, postpone"
418,作曲,zuòqǔ,"write music, compose"
419,自古以来,zìgǔyǐlái,"from time immemorial, since ancient times"
420,匈牙利,xiōngyálì,"Hungarian, Hungary"
421,自行车,zìxíngchē,"two-wheeler, roadster, machine, bicycle, wheel, push-bike, cycle, motorcycle, bike, velocipede"
422,走廊,zǒuláng,"slype, porch, hallway, foyer, corridor, hall, passageway, gallery, walkway, piazza, vestibule, ambulatory, verandah, alure, passage, aisle"
423,老太婆,lǎotàipó,"beldame, old_woman, grandam, beldam, old woman, grimalkin"
424,休憩,xiūqì,have/take a rest
425,在职,zàizhí,be on the job
426,高压,gāoyā,"high pressure, high voltage/tension, coercion, tyranny"
427,基隆市,jīlóngshì,Keelung (city in Taiwan)
428,砸,zá,"tamp, bungle, failure, fall through, smash, pound, fail, break, be bungled, ram"
429,排行榜,páihángbǎng,seniority among siblings
430,问到,wèndào,ask
431,统筹,tǒngchóu,plan as a whole
432,闪烁,shǎnshuò,"twinkle, flicker, glisten"
433,晚,wǎn,m.[standard]
434,野狼,yěláng,wolf
435,启动,qǐdòng,start
436,消费性,xiāofèixìng,consumption
437,迴响,huíxiǎng,echo
438,统独,tǒngdú,consolidation and independence
439,岗位,gāngwèi,"post, station"
440,假装,jiǎzhuāng,"pretend, feign, simulate"
441,逃逸,táoyì,"run away, abscond"
442,急于,jíyū,"anxious, anxious to (do sth.), eager, desperate"
443,亟待,jídài,earnestly expect
444,启动,qǐdòng,start
445,强行,qiángxíng,force
446,知性,zhīxìng,"intellectuality, nous"
447,突,tú,"suddenly, abruptly"
448,排球,páiqiú,volleyball
449,省下,shěngxià,"make unnecessary, save, save (money)"
450,套牢,tàoláo,"lock, lock up"
451,动脉,dòngmài,artery
452,控告,kònggào,"charge, accuse"
453,草丛,cǎocóng,thick growth of grass
454,曹,cáo,Surname
455,连,lián,"join, link, connect"
456,副总裁,fùzǒngcái,"veep, vice-president"
457,退伍,tuìwǔ,be demobilized
458,渊源,yuānyuán,"origin, source"
459,茫然,mángrán,"ignorant, in the dark"
460,从容,cōngróng,"calm, unhurried, leisurely"
461,统筹,tǒngchóu,plan as a whole
462,张力,zhānglì,"tensility, tension, strain, pulling force, tensional"
463,崇高,chónggāo,"lofty, sublime"
464,婚前,hūnqián,before marriage
465,过夜,guòyè,"pass the night, stay overnight"
466,割礼,gēlǐ,circumcision rite
467,开采,kāicǎi,"mine, extract, exploit"
468,当面,dāngmiàn,"directly, face_to_face, face to face, in one's presence"
469,视力,shìlì,"eyeshot, eye, seeing, visual sense, view, beholding, visual perception, vision, visual modality, light, visual sensation, eyesight, sight, sightedness"
470,罪名,zuìmíng,"charge, accusation"
471,滑,huá,"slippery, smooth, cunning, crafty"
